sample_id,sample_num,sample_mass_mg,N_reten_time_min,N_response,N_weight_mg,N_weight_per,NC_response_ratio,C_reten_time_min,C_response,C_weight_mg,C_weight_per,fire_scar,plot_id,horizon,date_processed,prehomog_wet_mass,x2_5_coarsewet_mass,above5_coarsewet_mass,rock_mass_g,rock_volume_ml,tin_number,tin_mass,tin_wet_mass_110,archive_wet_mass,airdry_wet_mass,x2_5_drybag_mass,above5_coarsedry_mass,tin_dry_110,archive_dry_60,radiocarbon_sample,extra_rock_mass,extra_rock_volume,notes.y,soil_depth_cm,corer_diam_cm
17,CCE17,15.019,2.04,238.856,0.037,0.25,0.02,3.3,11982.4,0.762,5.07,Dry Creek,DrCr2C,M1,NA,263.336,0.187,0,0.115,0.1,59,0.975,20.497,60.146,80.93,2.82,0,14.81,45.94,1,0,0,,5,6.98
18,CCE18,59.84,2.04,175.723,0.026,0.04,0.023,3.4,7688.455,0.454,0.76,Dry Creek,DrCr2C,M2,NA,281.79,0,0,0,0,2,0.993,20.364,65.32,197.831,0,0,15.974,53.737,0,0,0,,5,6.98
20,CCE20,14.949,2.02,547.933,0.084,0.56,0.025,3.18,21588.372,1.428,9.55,Dry Creek,DrCr3A,M1,10/3/24,259.86,0,0,0,0,10,1.02,20.07,70.78,72.21,0,0,10.986,39.897,1,0,0,,5,6.98
21,CCE21,39.898,2.04,153.709,0.023,0.06,0.025,3.42,6218.184,0.366,0.92,Dry Creek,DrCr3A,M2,9/27/24,301.54,0,0,0,0,28,1.02,20,58.65,226.16,0,0,15.76,48.67,0,0,0,,5,6.98
23,CCE23,7.967,2.02,285.045,0.044,0.55,0.021,3.28,13690.205,0.877,11.01,Dry Creek,DrCr3B,M1,9/27/24,277.822,0.583,0,0,0,18,0.99,20.073,62.834,200.516,2.98,0,12.07,37.93,0,0,0,,5,6.98
24,CCE24,29.995,1.98,204.555,0.03,0.1,0.02,3.28,10424.935,0.617,2.06,Dry Creek,DrCr3B,M2,10/2/24,335.858,0,0,0,0,8,1.006,21.085,61.199,157.371,0,0,16.638,50.131,1,0,0,,5,6.98
26,CCE26,19.97,2,427.994,0.066,0.33,0.02,3.18,21453.798,1.404,7.03,Dry Creek,DrCr3C,M1,10/3/24,225.11,0,0,0,0,12,1.02,22.56,60.83,43.96,0,0,14.56,41.151,1,0,0,,5,6.98
27,CCE27,20.39,2.02,307.809,0.046,0.22,0.017,3.22,18075.978,1.105,5.42,Dry Creek,DrCr3C,M2,9/27/24,284.66,0,0,0,0,4,1.022,20.003,68.282,195.161,0,0,13.99,49.91,0,0,0,airdry tore w/bag,5,6.98
29,CCE29,30.108,1.94,208.265,0.033,0.11,0.017,3.22,12597.872,0.796,2.65,Dry Creek,DrCr4A,M1,9/27/24,222.394,0.83,0,0,0,11,1.021,19.588,59.02,142.882,3.1,0,15.32,48.77,0,0,0,,5,6.98
30,CCE30,60.079,2.06,190.133,0.029,0.05,0.021,3.4,9213.339,0.55,0.91,Dry Creek,DrCr4A,M2,9/27/24,294.5,0,0,0,0,12,1.023,22.725,62.035,219.489,0,0,17.86,48.93,0,0,0,,5,6.98
32,CCE32,20.009,2,153.776,0.024,0.12,0.015,3.3,10049.727,0.627,3.13,Dry Creek,DrCr4B,M1,9/27/24,210.125,1.339,0,NA,NA,14,1.033,19.508,57.067,131.928,3.36,0,14.91,45.72,0,0,0,airdry tore w/bag,5,6.98
33,CCE33,79.934,2.08,193.081,0.029,0.04,0.028,3.42,7018.402,0.412,0.52,Dry Creek,DrCr4B,M2,9/27/24,299.78,0.6,0,0,0,25,1.03,21.07,61.02,221.79,3.04,0,18.55,55.77,0,0,0,,5,6.98
35,CCE35,20.104,2.02,222.908,0.033,0.17,0.015,3.26,14517.258,0.872,4.34,Dry Creek,DrCr4C,M1,9/27/24,158.21,0.99,0,0,0,24,1.04,19.69,64,79.03,3.46,0,13.78,47.49,0,0,0,,5,6.98
36,CCE36,30.141,2.02,150.165,0.022,0.07,0.022,3.36,6942.33,0.408,1.35,Dry Creek,DrCr4C,M2,9/27/24,256.875,1.862,0.783,0,0,10,1.019,21.815,62.023,169.51,3.89,3.33,16.56,49.58,0,0,0,,5,6.98
38,CCE38,20.117,2,186.452,0.028,0.14,0.017,3.28,11028.93,0.654,3.25,Dry Creek,DrCr5A,M1,9/27/24,163.66,0.82,0,0,0,6,1.01,20.22,63.67,85.99,3.35,0,15.72,52.19,0,0,0,,5,6.98
39,CCE39,40.191,2,163.127,0.024,0.06,0.021,3.34,7910.632,0.465,1.16,Dry Creek,DrCr5A,M2,9/27/24,229.02,0.22,0,0,0,23,0.99,22.27,61.47,152.68,2.87,0,19.36,55.59,0,0,0,,5,6.98
41,CCE41,39.867,2.06,315.598,0.047,0.12,0.02,3.32,16007.293,0.968,2.43,Dry Creek,DrCr5B,M1,9/27/24,229.33,1.49,0,0,0,26,1.04,23.27,61.55,149.06,3.39,0,17.22,48.62,0,0,0,,5,6.98
42,CCE42,59.957,2.06,197.009,0.03,0.05,0.022,3.38,8935.483,0.532,0.89,Dry Creek,DrCr5B,M2,9/27/24,265.517,0,0,0,0,9,0.998,21.63,63.657,179.33,0,0,17.05,52.53,0,0,0,airdry tore w/bag,5,6.98
44,CCE44,20.052,1.98,146.256,0.023,0.11,0.017,3.3,8513.325,0.531,2.65,Dry Creek,DrCr5C,M1,9/27/24,205.606,0.76,0,0,0,8,0.996,19.517,60.675,124.21,3.2,0,15.94,51.52,0,0,0,,5,6.98
45,CCE45,44.809,1.94,167.868,0.028,0.06,0.024,3.28,7035.573,0.43,0.96,Dry Creek,DrCr5C,M2,9/27/24,255.168,0,0,0,0,7,1.092,19.63,64.303,168.945,0,0,16.23,57.82,0,0,0,,5,6.98
47,CCE47,8.012,1.94,146.911,0.023,0.28,0.019,3.28,7779.465,0.479,5.98,Dry Creek,DrCr6A,M1,9/27/24,306.809,0,0,NA,NA,19,1.006,21.78,60.067,230.234,0,0,13.24,38.77,0,0,0,,6,6.98
48,CCE48,15.003,2.04,179.921,0.028,0.19,0.019,3.34,9329.6,0.585,3.9,Dry Creek,DrCr6A,M2,9/27/24,241.473,0.321,0,0,0,17,1.021,22.058,62.262,162.456,2.86,0,15.42,45.49,0,0,0,,4,6.98
50,CCE50,8.023,2.04,331.98,0.051,0.64,0.018,3.22,18831.805,1.232,15.36,Dry Creek,DrCr6B,M1,11/5/24,225.163,0,0,0,0,80,0.968,20.878,60.049,58.328,0,0,8.6,23.83,1,2.7,1,rocks in archive,5,6.98
51,CCE51,20.026,1.98,298.929,0.046,0.23,0.02,3.24,14766.942,0.941,4.7,Dry Creek,DrCr6B,M2,9/27/24,283.352,0,0,0,0,16,0.991,22.485,58.482,208.992,0,0,15.02,41.3,0,0,0,,5,6.98
53,CCE53,8.082,1.96,172.193,0.027,0.33,0.016,3.26,10996.429,0.694,8.59,Dry Creek,DrCr6C,M1,9/27/24,280.295,0,0,0,0,15,1,19.021,59.48,202.384,0,0,15.51,37.36,0,0,0,,5,6.98
54,CCE54,39.957,2.06,185.669,0.028,0.07,0.027,3.4,6972.425,0.409,1.02,Dry Creek,DrCr6C,M2,9/27/24,338.17,0,0,0,0,27,1.01,23.8,64.3,255.52,0,0,18.72,53.26,0,0,0,,5,6.98
56,CCE56,10.015,2.02,373.898,0.055,0.55,0.02,3.22,18797.048,1.154,11.52,Haystack,Hays1A,M1,10/3/24,144.46,0.15,1.1,15.35,6,16,0.98,13.005,23.368,34.402,2.788,3.192,7.453,15.59,1,0,0,small sample; bags ratioed down: 60g in RC,6,6.98
58,CCE58,20.039,2,278.573,0.043,0.21,0.02,3.24,13987.267,0.888,4.43,Haystack,Hays1B,M1,10/2/24,195.406,0.044,0,9.064,2.95,4,1.024,19.083,19.492,41.43,3.112,0,14.425,17.486,1,0,0,small sample leftover; lots of rocks,5,6.98
59,CCE59,19.955,2,184.285,0.028,0.14,0.023,3.32,8171.609,0.509,2.55,Haystack,Hays1B,M2,11/14/24,258.16,0,0,34.6,18,75,1.03,20.91,59.81,33.64,0,0,16.253,48.969,1,0,0,,5,6.98
61,CCE61,14.983,2.06,463.536,0.071,0.47,0.019,3.2,24041.701,1.606,10.72,Haystack,Hays1C,M1,9/30/24,224.743,0.494,0,58.367,24.8,32,2.127,17.16,37.551,NA,3.106,0,11.406,28.735,1,0,0,Small sample,5,6.98
62,CCE62,30.31,2.04,195.894,0.029,0.1,0.034,3.42,5825.762,0.338,1.12,Haystack,Hays1C,M2,11/4/24,360.81,0,0,36.89,18,75,1.03,20.67,63.04,130.39,0,0,16,51.4,1,0.44,0.02,,5,6.98
64,CCE64,20.009,1.98,242.618,0.037,0.19,0.022,3.28,10989.684,0.689,3.44,Haystack,Hays2A,M1,10/4/24,255.259,0.28,0,14.54,3,5,1.02,20.28,62.26,51.18,2.95,0,14.895,48.015,1,0,0,,5,6.98
65,CCE65,29.978,1.94,186.386,0.029,0.1,0.026,3.28,7173.38,0.437,1.46,Haystack,Hays2A,M2,10/1/24,293.795,0,0,5.192,2.5,3,1,20.547,61.756,107.54,0,0,15.732,49.971,1,0,0,,5,6.98
67,CCE67,20.008,2.04,296.265,0.045,0.245333,0.021,3.3,14446.183,0.899,4.964191,Haystack,Hays2B,M1,9/30/24,265.39,0.17,0,23.49,10,30,1.02,20.77,60.15,55.38,2.806,0,15.043,46.119,1,0,0,many rocks,5,6.98
68,CCE68,19.994,1.98,146.861,0.023,0.11,0.021,3.32,6874.043,0.421,2.11,Haystack,Hays2B,M2,10/15/24,364.74,0,0,12.85,6,15,0.99,20.35,60.6,170.13,0,0,15.758,49.55,1,0,0,,5,6.98
70,CCE70,20.005,1.98,161.625,0.025,0.12,0.02,3.32,7903.209,0.487,2.44,Haystack,Hays2C,M1,10/2/24,309.298,0.924,0,22.786,8.5,9,1,20.105,62.13,94.527,3.343,0,14.461,47.445,1,0,0,,5,6.98
71,CCE71,59.927,2.06,234.552,0.035,0.06,0.038,3.42,6244.488,0.364,0.61,Haystack,Hays2C,M2,11/18/24,414.2,0.875,0,52.28,20,14,1.028,21.689,62.92,148.48,3.333,0,17.917,57.27,1,0,0,"archive_dry_60 originally not recorded, but sample had not been ground yet, so HK weighed sample on 11/25/2024",5,6.98
73,CCE73,20.008,2,236.533,0.036,0.18,0.021,3.28,11069.239,0.694,3.47,Haystack,Hays3A,M1,9/30/24,232.67,0,1.61,NA,11.4,1,1.01,16.55,58.23,40.29,0,3.802,12.166,44.958,1,0,0,no rock_mass recorded.,5,6.98
74,CCE74,40.175,2.06,236.333,0.035,0.09,0.027,3.38,8613.708,0.507,1.26,Haystack,Hays3A,M2,NA,354.65,0,0,18.19,10,31,2.13,20.6,60.24,146.92,0,0,16.654,50.245,1,0,0,,5,6.98
76,CCE76,14.95,2.04,283.379,0.044,0.29,0.021,3.3,13582.072,0.869,5.82,Haystack,Hays3B,M1,9/30/24,149.657,0.147,0,5.545,1.9,29,1.035,20.116,61.223,59.928,2.836,0,13.655,43.6,0,0,0,small rocks <2mm; last sample w/o RC subsample,5,6.98
77,CCE77,20.004,1.98,195.289,0.03,0.15,0.024,3.32,8199.662,0.507,2.53,Haystack,Hays3B,M2,10/3/24,213.55,0,0,13.6,5,14,1.02,21.01,39.96,40.85,0,0,15.925,32.491,1,0,0,small sample; archive & airdry reduced,5,6.98
79,CCE79,19.956,2,292.396,0.045,0.23,0.02,3.24,14277.503,0.908,4.55,Haystack,Hays3C,M1,10/1/24,191.795,0,0,9.889,2,2,0.995,20.47,58.765,17.115,0,0,13.084,40.83,1,0,0,small sample; archive & airdry reduced,5,6.98
80,CCE80,30.137,1.94,198.207,0.031,0.1,0.026,3.26,7730.902,0.473,1.57,Haystack,Hays3C,M2,10/3/24,364.717,0,0,86.456,24,11,1.02,20.331,60.053,89.192,0,0,15.509,49.338,1,0,0,large rock in sample,5,6.98
82,CCE82,19.942,2,387.508,0.059,0.3,0.021,3.22,18179.783,1.174,5.89,Haystack,Hays4A,M1,10/24/24,208.763,0.444,0,0,0,27,1.01,20.513,60.587,31.934,2.975,0,13.387,41.903,1,0,0,,5,6.98
84,CCE84,20.022,2,249.754,0.038,0.19,0.02,3.26,12495.439,0.788,3.94,Haystack,Hays4B,M1,10/24/24,228.002,0.158,0.528,22.552,9,55,0.99,20.356,41.332,38.464,2.879,3.063,15.835,34.844,1,0,0,sample sizes for archive and airdry reduced,5,6.98
85,CCE85,20.45,1.98,168.655,0.026,0.13,0.021,3.3,7924.152,0.489,2.39,Haystack,Hays4B,M2,10/22/24,346.419,0,0,36.66,17,66,0.956,20.312,60.02,139.14,0,0,16.63,50.761,1,0,0,"mixed up with 97; not 100% on archive samples, other samples 100% resolved (lighter archive bag went to lighter dry archive bag)",5,6.98
87,CCE87,40.234,2.06,226.819,0.034,0.08,0.029,3.4,7876.675,0.463,1.15,Haystack,Hays4C,M1,10/23/24,390.246,0,0,113.125,90,62,0.977,21.823,60.035,68.581,0,0,18.675,60.288,1,0,0,,8,6.98
89,CCE89,10.168,2.04,342.2,0.051,0.5,0.02,3.28,16844.583,1.023,10.06,Haystack,Hays5A,M1,11/1/24,90.38,0,0,9.31,1,59,0.98,15.4,22.72,21.86,0,0,10.21,12.849,1,0,0,,3,6.98
91,CCE91,15.026,2.02,205.466,0.032,0.21,0.02,3.32,10265.759,0.647,4.31,Haystack,Hays5B,M1,10/22/24,162.74,0,0,8.42,0.04,60,0.97,20.77,60.43,41.21,0,0,14.15,39.07,1,0,0,,5,6.98
93,CCE93,14.984,2.04,231.788,0.036,0.24,0.016,3.3,14477.256,0.93,6.21,Haystack,Hays5C,M1,10/1/24,169.52,0.399,0.424,4.71,2,20,1.74,20.19,42.39,40.6,3.09,3.07,14.355,32.371,1,0,0,pulled from RC bag to make 40g of sample for airdry; 2 twigs taken from airdry bag after dried,5,6.98
94,CCE94,40.249,2.06,187.694,0.028,0.07,0.03,3.42,6268.104,0.365,0.91,Haystack,Hays5C,M2,10/22/24,371.18,0,0,23.86,10,77,1.04,20.76,63.14,159.51,0,0,17.07,54.62,1,0,0,,5,6.98
97,CCE97,20.109,2.02,180.655,0.027,0.13,0.025,3.34,7293.246,0.429,2.13,Haystack,Hays6B,M1,10/22/24,288.42,0,0,30.15,12,76,0.97,20.2,60.24,82.19,0,0,15.941,50.53,1,0,0,"mixed up with 85; not 100% on archive samples, other samples 100% resolved (lighter archive bag went to lighter dry archive bag)",5,6.98
98,CCE98,30.096,2.02,179.512,0.027,0.09,0.029,3.36,6252.675,0.368,1.22,Haystack,Hays6B,M2,10/24/24,375.68,0,0,56.7,30,30,1.01,20.3,60.56,130.94,0,0,16.562,52.061,1,0,0,,5,6.98
100,CCE100,20.086,2,315.087,0.048,0.24,0.017,3.2,18642.729,1.214,6.04,Haystack,Hays6C,M1,10/22/24,165.524,0.661,0,19.676,8,64,0.965,15.462,23.801,34.306,2.92,0,11.27,19.92,1,0,0,small sample & big rock in RC; all sample bags reduced,5,6.98
102,CCE102,19.93,2,253.351,0.039,0.2,0.02,3.26,12916.389,0.822,4.12,Lost Horse,LoHo1A,M1,10/4/24,247.46,0.44,0.6,12.92,5.4,18,0.98,20.77,55.46,44.83,3.102,3.538,15.666,44.759,1,0,0,small sample,5,6.98
103,CCE103,20.877,1.96,171.68,0.026,0.13,0.02,3.28,8395.96,0.519,2.49,Lost Horse,LoHo1A,M2,10/14/24,351.9,0,0,21.49,9,4,1.02,20.93,60.98,147.19,0,0,15.727,48.2,1,0,0,,5,6.98
105,CCE105,14.918,2.04,316.216,0.049,0.33,0.02,3.28,16123.125,1.043,6.99,Lost Horse,LoHo1B,M1,10/15/24,203.362,0.106,0,9.06,4,23,1.001,20.123,41.003,33,2.86,0,12.327,27.06,1,0,0,small sample,5,6.98
106,CCE106,30.091,1.96,250.982,0.039,0.13,0.021,3.22,11804.227,0.743,2.47,Lost Horse,LoHo1B,M2,10/15/24,312.38,0,0,40.332,15,7,1.041,21.51,61.883,78.247,0,0,16.134,52.86,1,0,0,,5,6.98
108,CCE108,14.983,2.04,275.268,0.043,0.28,0.017,3.26,16177.414,1.047,6.99,Lost Horse,LoHo1C,M1,10/15/24,257.96,0.39,0.09,9.33,1,6,1.01,20.75,60.84,70.67,2.84,2.82,13.24,40.13,1,0,0,,5,6.98
109,CCE109,20.034,2,198.651,0.031,0.15,0.021,3.3,9420.771,0.586,2.92,Lost Horse,LoHo1C,M2,10/9/24,289.602,0,0,35.938,15,7,1.041,20.181,61.936,64.286,0,0,13.971,48.185,1,0,0,,5,6.98
111,CCE111,20.008,2.02,222.394,0.034,0.181333,0.02,3.34,11067.983,0.676,3.736964,Lost Horse,LoHo2A,M1,10/14/24,208.946,0,0,14.928,7,25,1.018,20.906,44.771,30.819,0,0,15.163,34.7,1,0,0,small sample,5,6.98
112,CCE112,20.178,1.96,151.766,0.023,0.12,0.024,3.32,6354.763,0.392,1.94,Lost Horse,LoHo2A,M2,10/10/24,379.32,0,0,22.68,11,8,1,21.24,60.06,159.14,0,0,16.287,48.201,1,0,0,,5,6.98
114,CCE114,19.87,1.98,367.282,0.056,0.28,0.017,3.16,21278.623,1.4,7.05,Lost Horse,LoHo2B,M1,10/11/24,276.29,0.74,0,25.52,13,4,1.02,21,62.53,64.66,2.853,0,13.317,41.761,1,0,0,,5,6.98
115,CCE115,20.01,1.98,289.48,0.044,0.22,0.016,3.2,17643.624,1.144,5.72,Lost Horse,LoHo2B,M2,10/4/24,161.469,0,0,37.94,14,22,1.02,15.228,19.201,26.34,0,0,10.813,17.672,1,0,0,small sample,3,6.98
117,CCE117,19.895,2,258.621,0.04,0.2,0.022,3.26,11732.154,0.743,3.73,Lost Horse,LoHo2C,M1,10/11/24,230.32,0,0,22.45,8.75,31,2.14,20.39,46.94,35.1,0,0,16.417,40.587,1,0,0,small sample,5,6.98
118,CCE118,39.67,2.06,202.612,0.03,0.08,0.03,3.42,6838.744,0.402,1.01,Lost Horse,LoHo2C,M2,10/7/24,393.58,0,0,90.11,33,23,1,20.47,60.77,123.88,0,0,17,51.1,1,3,1.2,large rocks,5,6.98
120,CCE120,20.056,1.98,196.983,0.03,0.15,0.02,3.28,9611.375,0.603,3.01,Lost Horse,LoHo3A,M1,10/8/24,294.24,0,0,71.96,30,4,1.02,20.73,60.74,43.75,0,0,14.4,47.8,1,0,0,many rocks,5,6.98
121,CCE121,40.039,2.04,176.556,0.026,0.07,0.031,3.4,5691.77,0.335,0.84,Lost Horse,LoHo3A,M2,10/9/24,377.563,0,0,61.24,26,13,1.017,19.852,57.858,121.328,0,0,16.402,52.152,1,0.6,0.4,rocks in archive,5,6.98
123,CCE123,20.022,2,160.611,0.025,0.12,0.019,3.34,8385.377,0.519,2.59,Lost Horse,LoHo3B,M1,10/14/24,250.93,0.68,0,11.05,5,19,1.01,20.64,61.34,64.36,3.06,0,15.953,47.43,1,0,0,,5,6.98
124,CCE124,40.665,2.06,250.071,0.037,0.09,0.025,3.38,9901.313,0.585,1.44,Lost Horse,LoHo3B,M2,10/11/24,310.88,0,0,25.374,11,5,1.021,19.55,60.29,94.65,0,0,15.622,50.534,1,0,0,,5,6.98
126,CCE126,40.804,2.06,297.988,0.044,0.11,0.019,3.3,15972.239,0.966,2.37,Lost Horse,LoHo3C,M1,11/18/24,234.186,1.001,0,75.956,30,1,1.028,20.789,30.522,24.79,3.4,0,16.58,29.45,1,0,0,"~75 in RC; small sample, big rock",5,6.98
127,CCE127,39.732,2.04,231.62,0.034,0.09,0.031,3.4,7384.143,0.434,1.09,Lost Horse,LoHo3C,M2,10/7/24,370.26,0,0,48.83,70.9,14,1.03,20.76,61.94,131.26,0,0,16.5,53.6,1,1.33,0.65,did not clean sieve in between sample,5,6.98
129,CCE129,19.956,1.98,283.273,0.044,0.22,0.019,3.24,14978.053,0.961,4.82,Lost Horse,LoHo4A,M1,10/10/24,216.14,0.27,0,30.56,12,14,1.02,20.4,35.06,22.56,2.859,0,15.643,30.206,1,2.9,2.8,small sample,5,6.98
130,CCE130,19.966,1.98,182.571,0.028,0.14,0.021,3.3,8759.054,0.547,2.74,Lost Horse,LoHo4A,M2,10/7/24,309.24,0.32,0,16.62,8,24,1.03,20.27,60.05,114.46,2.9,0,15.2,46.4,1,2.18,0.82,,5,6.98
132,CCE132,8.114,1.98,289.669,0.044,0.55,0.022,3.26,12967.902,0.825,10.17,Lost Horse,LoHo4B,M1,10/4/24,158.44,0,0,40.47,14.5,21,1.036,15.351,17.553,24.78,0,0,12.963,17.776,1,0,0,small sample,5,6.98
133,CCE133,20.016,2,180.963,0.028,0.14,0.019,3.3,9545.703,0.599,2.99,Lost Horse,LoHo4B,M2,10/7/24,308.06,0,0,10,5,25,1.01,20.91,60.68,120.77,0,0,15.6,47.7,1,0,0,,5,6.98
135,CCE135,20.116,2.04,293.551,0.044,0.22,0.018,3.28,16461.609,0.998,4.96,Lost Horse,LoHo4C,M1,10/7/24,214.015,0,0,28.358,6.5,5,1.019,20.516,36.165,24.955,0,0,15.2,30.2,1,0,0,"took tin sample after RC, small rocks",5,6.98
136,CCE136,20.123,2,200.947,0.03,0.15,0.019,3.3,10857.349,0.643,3.2,Lost Horse,LoHo4C,M2,10/14/24,312.32,0,0,24.08,10,2,0.99,20.26,61.89,109.56,0,0,15.407,49.64,1,0,0,,5,6.98
138,CCE138,19.874,1.96,156.243,0.024,0.12,0.018,3.28,8503.634,0.526,2.65,Lost Horse,LoHo5A,M1,10/10/24,315.901,0,0,33.504,14,24,1.033,21.031,62.385,90.933,0,0,16.7,50.794,1,0,0,,5,6.98
139,CCE139,40.892,2.06,244.478,0.036,0.09,0.021,3.34,11550.486,0.686,1.68,Lost Horse,LoHo5A,M2,10/14/24,291.081,0,0,15.427,7,5,1.02,19.926,59.96,82.355,0,0,15.817,51.9,1,0,0,,5,6.98
141,CCE141,30.275,2,214.896,0.032,0.11,0.019,3.3,11047.139,0.655,2.16,Lost Horse,LoHo5B,M1,10/10/24,262.122,0.676,0,17.596,7,18,0.984,20.339,61.477,55.334,2.84,0,16.301,51.969,1,0,0,,5,6.98
142,CCE142,40.005,2.08,197.537,0.03,0.07,0.024,3.4,8128.76,0.481,1.2,Lost Horse,LoHo5B,M2,10/11/24,322.828,0,0,13.437,9.5,2,0.99,20.103,61.247,113.062,0,0,16.582,54.006,1,0,0,,5,6.98
144,CCE144,19.813,2,233.274,0.036,0.18,0.02,3.28,11513.572,0.728,3.68,Lost Horse,LoHo5C,M1,10/4/24,265.463,0.316,0,41.543,19.8,19,1.008,14.642,52.12,41.72,2.992,0,13.261,49.557,1,0,0,"many rocks, sample dried during processing",5,6.98
145,CCE145,40.909,2.04,178.963,0.027,0.07,0.025,3.4,7148.57,0.42,1.03,Lost Horse,LoHo5C,M2,12/2/24,358.88,0,0,43.114,22,14,1.02,21.14,62.58,106.97,0,0,18.405,59.667,1,0,0,not originally on data sheet; found in freezer,0,6.98
146,CCE146,40.72,2.04,269.689,0.04,0.1,0.021,3.34,12869.375,0.768,1.89,Lost Horse,LoHo6A,M1,10/9/24,258.697,0,0,51.01,22.5,12,1.025,19.89,39.965,42.785,0,0,16.089,36.745,1,0,0,small sample+no tag,5,6.98
147,CCE147,40.709,2.04,233.502,0.035,0.09,0.023,3.36,9995.987,0.591,1.45,Lost Horse,LoHo6A,M2,10/8/24,348.229,0.103,0,29.64,12,2,0.992,21.873,63.369,122.332,2.7,0,18.9,55.4,1,0,0,no paper slip,5,6.98
149,CCE149,19.908,1.98,192.925,0.03,0.15,0.021,3.3,9020.804,0.564,2.83,Lost Horse,LoHo6B,M1,10/4/24,322.196,0.644,0,25.194,10.5,17,1.026,20.29,59.797,95.109,3.132,0,15.404,50.731,1,0,0,no paper slip,5,6.98
150,CCE150,29.839,2.04,153.539,0.023,0.08,0.022,3.4,7126.012,0.419,1.4,Lost Horse,LoHo6B,M2,10/7/24,300.88,0,0,10.65,6,15,1,20.7,61.58,108.69,0,0,16.2,51,1,0,0,no paper slip,5,6.98
152,CCE152,20.055,1.98,174.551,0.027,0.13,0.019,3.3,9012.029,0.564,2.81,Lost Horse,LoHo6C,M1,10/7/24,237.83,0,0,27.83,11.5,19,1.01,16.22,43.98,42.496,0,0,13,40.2,1,0,0,small sample+no tag,5,6.98
153,CCE153,40.191,2.02,167.619,0.025,0.06,0.025,3.36,6626.214,0.39,0.97,Lost Horse,LoHo6C,M2,10/9/24,336.51,0,0,45.8,70.6,16,0.99,21.25,62.83,98.75,0,0,17.709,58.136,1,6.1,0.25,,5,6.98
