date,fire_scar,site,plot,location,site_notes,plant_species,plant_species_cover,veg_cover_notes,photos,plant_photos
7/27/2025,Slate,SLAT6,A,3 m,Cone ball in plot,Cornus canadensis,0.1,,c23fd613-b015-4c3e-ae5c-9f1e92715183,
7/27/2025,Slate,SLAT6,A,3 m,Cone ball in plot,Vaccinium vitis-idaea,0.1,,c23fd613-b015-4c3e-ae5c-9f1e92715183,
7/27/2025,Slate,SLAT6,A,3 m,Cone ball in plot,Coarse woody debris,10,Cone ball at top,c23fd613-b015-4c3e-ae5c-9f1e92715183,
7/27/2025,Slate,SLAT6,A,3 m,Cone ball in plot,Fine Woody Debris,15,Included cone ball in estimate ,c23fd613-b015-4c3e-ae5c-9f1e92715183,
8/8/2025,Isom,ISOM1,A,9 m,,Petasites frigidus,2,,e422620c-4054-44da-ba68-11261f1778fc,
8/8/2025,Isom,ISOM1,A,9 m,,Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum],12,,e422620c-4054-44da-ba68-11261f1778fc,
8/8/2025,Isom,ISOM1,A,9 m,,Epilobium angustifolium [Chamerion angustifolium],1,,e422620c-4054-44da-ba68-11261f1778fc,
8/8/2025,Isom,ISOM1,A,9 m,,Rosa acicularis,2,,e422620c-4054-44da-ba68-11261f1778fc,
8/8/2025,Isom,ISOM1,A,9 m,,Fine Woody Debris,1,,e422620c-4054-44da-ba68-11261f1778fc,
8/8/2025,Isom,ISOM1,A,9 m,,Coarse woody debris,1,,e422620c-4054-44da-ba68-11261f1778fc,
8/8/2025,Isom,ISOM1,A,9 m,,Salix spp,6,,e422620c-4054-44da-ba68-11261f1778fc,
8/8/2025,Isom,ISOM1,A,9 m,,Equisetum arvense,5,,e422620c-4054-44da-ba68-11261f1778fc,
8/8/2025,Isom,ISOM1,A,9 m,,Equisetum scirpoides,2,,e422620c-4054-44da-ba68-11261f1778fc,
8/8/2025,Isom,ISOM1,A,9 m,,Calamagrostis,1,,e422620c-4054-44da-ba68-11261f1778fc,
8/8/2025,Isom,ISOM1,A,9 m,,Vaccinium vitis-idaea,0.1,,e422620c-4054-44da-ba68-11261f1778fc,
7/27/2025,Slate,SLAT5,A,9 m,,Coarse woody debris,40,,f6c7ed12-d66b-472c-a36e-dc453f80850c,
7/27/2025,Slate,SLAT5,A,9 m,,Fine Woody Debris,10,,f6c7ed12-d66b-472c-a36e-dc453f80850c,
7/27/2025,Slate,SLAT5,A,9 m,,Epilobium angustifolium [Chamerion angustifolium],3,,f6c7ed12-d66b-472c-a36e-dc453f80850c,
7/27/2025,Slate,SLAT5,A,9 m,,Equisetum arvense,7,,f6c7ed12-d66b-472c-a36e-dc453f80850c,
7/21/2025,Aggie,AGCR2,B,3 m,,Picea mariana,9,,215bf254-71a4-4b26-b140-6e94d31cecee,
7/21/2025,Aggie,AGCR2,B,3 m,,Vaccinium uliginosum,4,,215bf254-71a4-4b26-b140-6e94d31cecee,
7/21/2025,Aggie,AGCR2,B,3 m,,Epilobium angustifolium [Chamerion angustifolium],3,,215bf254-71a4-4b26-b140-6e94d31cecee,
7/21/2025,Aggie,AGCR2,B,3 m,,Vaccinium vitis-idaea,10,,215bf254-71a4-4b26-b140-6e94d31cecee,
7/21/2025,Aggie,AGCR2,B,3 m,,Rubus chamaemorus,2,,215bf254-71a4-4b26-b140-6e94d31cecee,
7/21/2025,Aggie,AGCR2,B,3 m,,Equisetum sylvaticum,5,,215bf254-71a4-4b26-b140-6e94d31cecee,
7/21/2025,Aggie,AGCR2,B,3 m,,Unknown grass 1,8,,215bf254-71a4-4b26-b140-6e94d31cecee,
7/21/2025,Aggie,AGCR2,B,3 m,,Ledum palustre subsp. decumbens [Rhododendron tomentosum],7,,215bf254-71a4-4b26-b140-6e94d31cecee,
7/21/2025,Aggie,AGCR2,B,3 m,,Polygonum ,0.1,,215bf254-71a4-4b26-b140-6e94d31cecee,
8/3/2025,Chitanana,CHIT3,A,3 m,,Vaccinium uliginosum,1,,43a8d8a5-734c-487a-8568-8bf17103f9c4,
8/3/2025,Chitanana,CHIT3,A,3 m,,Vaccinium vitis-idaea,3,,43a8d8a5-734c-487a-8568-8bf17103f9c4,
8/3/2025,Chitanana,CHIT3,A,3 m,,Eriophorum vaginatum,7,,43a8d8a5-734c-487a-8568-8bf17103f9c4,
8/3/2025,Chitanana,CHIT3,A,3 m,,Ledum palustre subsp. decumbens [Rhododendron tomentosum],8,,43a8d8a5-734c-487a-8568-8bf17103f9c4,
8/3/2025,Chitanana,CHIT3,A,3 m,,Rubus chamaemorus,18,,43a8d8a5-734c-487a-8568-8bf17103f9c4,
8/3/2025,Chitanana,CHIT3,A,3 m,,Coarse woody debris,4,,43a8d8a5-734c-487a-8568-8bf17103f9c4,
8/3/2025,Chitanana,CHIT3,A,3 m,,Fine Woody Debris,6,,43a8d8a5-734c-487a-8568-8bf17103f9c4,
8/4/2025,Yukon Creek,YUCR4,A,6 m,,Coarse woody debris,3,,2b07a178-2dc0-4eee-808e-7ebcb76a04c0,
8/4/2025,Yukon Creek,YUCR4,A,6 m,,Fine Woody Debris,2,,2b07a178-2dc0-4eee-808e-7ebcb76a04c0,
8/4/2025,Yukon Creek,YUCR4,A,6 m,,Betula neoalaskana,8,,2b07a178-2dc0-4eee-808e-7ebcb76a04c0,
8/4/2025,Yukon Creek,YUCR4,A,6 m,,Populus tremuloides,1,,2b07a178-2dc0-4eee-808e-7ebcb76a04c0,
8/4/2025,Yukon Creek,YUCR4,A,6 m,,Picea mariana,0.1,,2b07a178-2dc0-4eee-808e-7ebcb76a04c0,
8/4/2025,Yukon Creek,YUCR4,A,6 m,,Equisetum sylvaticum,3,,2b07a178-2dc0-4eee-808e-7ebcb76a04c0,
8/4/2025,Yukon Creek,YUCR4,A,6 m,,Epilobium angustifolium [Chamerion angustifolium],1,,2b07a178-2dc0-4eee-808e-7ebcb76a04c0,
8/4/2025,Yukon Creek,YUCR4,A,6 m,,Calamagrostis spp.,2,,2b07a178-2dc0-4eee-808e-7ebcb76a04c0,
8/8/2025,Isom,ISOM2,C,3 m,,Arctagrostis latifolia,8,,6644b51e-a353-42cf-a71a-7c0496ade280,
8/8/2025,Isom,ISOM2,C,3 m,,Equisetum sylvaticum,16,,6644b51e-a353-42cf-a71a-7c0496ade280,
8/8/2025,Isom,ISOM2,C,3 m,,Spiraea beauverdiana (stevenii),13,,6644b51e-a353-42cf-a71a-7c0496ade280,
8/8/2025,Isom,ISOM2,C,3 m,,Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum],25,,6644b51e-a353-42cf-a71a-7c0496ade280,
8/8/2025,Isom,ISOM2,C,3 m,,Rosa acicularis,4,,6644b51e-a353-42cf-a71a-7c0496ade280,
8/8/2025,Isom,ISOM2,C,3 m,,Vaccinium vitis-idaea,4,,6644b51e-a353-42cf-a71a-7c0496ade280,
7/25/2025,McDonald,MCDO3,A,3 m,,Arctagrostis latifolia,6,,e95da108-71a6-4533-ba0f-92b56c91b4d1,
7/25/2025,McDonald,MCDO3,A,3 m,,Unknown grass 1,3,,e95da108-71a6-4533-ba0f-92b56c91b4d1,
7/25/2025,McDonald,MCDO3,A,3 m,,Unknown grass 2,5,Might be festuca,e95da108-71a6-4533-ba0f-92b56c91b4d1,
7/25/2025,McDonald,MCDO3,A,3 m,,Rosa acicularis,1,,e95da108-71a6-4533-ba0f-92b56c91b4d1,
7/25/2025,McDonald,MCDO3,A,3 m,,Betula neoalaskana,1,,e95da108-71a6-4533-ba0f-92b56c91b4d1,
7/25/2025,McDonald,MCDO3,A,3 m,,Betula glandulosa,2,,e95da108-71a6-4533-ba0f-92b56c91b4d1,
7/25/2025,McDonald,MCDO3,A,3 m,,Vaccinium uliginosum,1,,e95da108-71a6-4533-ba0f-92b56c91b4d1,
7/25/2025,McDonald,MCDO3,A,3 m,,Vaccinium vitis-idaea,0.1,,e95da108-71a6-4533-ba0f-92b56c91b4d1,
7/25/2025,McDonald,MCDO3,A,3 m,,Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum],0.1,,e95da108-71a6-4533-ba0f-92b56c91b4d1,
7/25/2025,McDonald,MCDO3,A,3 m,,Fine Woody Debris,3,,e95da108-71a6-4533-ba0f-92b56c91b4d1,
7/29/2025,McDonald,MCDO4,B,6 m,,Snag,7,,aa4f08ee-e3c8-406f-9805-76eba4b9b853,
7/29/2025,McDonald,MCDO4,B,6 m,,Fine Woody Debris,13,,aa4f08ee-e3c8-406f-9805-76eba4b9b853,
7/29/2025,McDonald,MCDO4,B,6 m,,Coarse woody debris,11,,aa4f08ee-e3c8-406f-9805-76eba4b9b853,
7/29/2025,McDonald,MCDO4,B,6 m,,Galium boreale,1,,aa4f08ee-e3c8-406f-9805-76eba4b9b853,
7/29/2025,McDonald,MCDO4,B,6 m,,Petasites frigidus,2,,aa4f08ee-e3c8-406f-9805-76eba4b9b853,
7/29/2025,McDonald,MCDO4,B,6 m,,Rosa acicularis,1,,aa4f08ee-e3c8-406f-9805-76eba4b9b853,
7/29/2025,McDonald,MCDO4,B,6 m,,Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum],1,,aa4f08ee-e3c8-406f-9805-76eba4b9b853,
7/29/2025,McDonald,MCDO4,B,6 m,,Vaccinium uliginosum,1,,aa4f08ee-e3c8-406f-9805-76eba4b9b853,
7/29/2025,McDonald,MCDO4,B,6 m,,Vaccinium vitis-idaea,1,,aa4f08ee-e3c8-406f-9805-76eba4b9b853,
7/26/2025,Slate,SLAT3,B,6 m,,Eriophorum vaginatum,20,,40db856a-d037-40a0-bf9a-2e118078278f,
7/26/2025,Slate,SLAT3,B,6 m,,Rubus chamaemorus,8,,40db856a-d037-40a0-bf9a-2e118078278f,
7/26/2025,Slate,SLAT3,B,6 m,,Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum],7,,40db856a-d037-40a0-bf9a-2e118078278f,
7/26/2025,Slate,SLAT3,B,6 m,,Vaccinium uliginosum,2,,40db856a-d037-40a0-bf9a-2e118078278f,
7/26/2025,Slate,SLAT3,B,6 m,,Vaccinium vitis-idaea,2,,40db856a-d037-40a0-bf9a-2e118078278f,
7/26/2025,Slate,SLAT3,B,6 m,,Fine Woody Debris,5,,40db856a-d037-40a0-bf9a-2e118078278f,
8/3/2025,Chitanana,CHIT4,B,6 m,,Eriophorum vaginatum,12,,66e1e7f2-f83f-4918-b578-a47594f9c36d,
8/3/2025,Chitanana,CHIT4,B,6 m,,Vaccinium uliginosum,7,,66e1e7f2-f83f-4918-b578-a47594f9c36d,
8/3/2025,Chitanana,CHIT4,B,6 m,,Vaccinium vitis-idaea,7,,66e1e7f2-f83f-4918-b578-a47594f9c36d,
8/3/2025,Chitanana,CHIT4,B,6 m,,Rubus chamaemorus,6,,66e1e7f2-f83f-4918-b578-a47594f9c36d,
8/3/2025,Chitanana,CHIT4,B,6 m,,Ledum palustre subsp. decumbens [Rhododendron tomentosum],12,,66e1e7f2-f83f-4918-b578-a47594f9c36d,
8/3/2025,Chitanana,CHIT4,B,6 m,,Picea mariana,0.1,,66e1e7f2-f83f-4918-b578-a47594f9c36d,
8/3/2025,Chitanana,CHIT4,B,6 m,,Fine Woody Debris,3,,66e1e7f2-f83f-4918-b578-a47594f9c36d,
8/8/2025,Isom,ISOM1,C,9 m,,Vaccinium vitis-idaea,4,,7b43f317-efc7-4f15-9ac3-66588f4b90dd,
8/8/2025,Isom,ISOM1,C,9 m,,Rubus chamaemorus,1,,7b43f317-efc7-4f15-9ac3-66588f4b90dd,
8/8/2025,Isom,ISOM1,C,9 m,,Petasites frigidus,1,,7b43f317-efc7-4f15-9ac3-66588f4b90dd,
8/8/2025,Isom,ISOM1,C,9 m,,Spiraea beauverdiana (stevenii),11,,7b43f317-efc7-4f15-9ac3-66588f4b90dd,
8/8/2025,Isom,ISOM1,C,9 m,,Salix spp,12,,7b43f317-efc7-4f15-9ac3-66588f4b90dd,
8/8/2025,Isom,ISOM1,C,9 m,,Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum],19,,7b43f317-efc7-4f15-9ac3-66588f4b90dd,
8/8/2025,Isom,ISOM1,C,9 m,,Calamagrostis ,2,,7b43f317-efc7-4f15-9ac3-66588f4b90dd,
8/8/2025,Isom,ISOM1,C,9 m,,Rosa acicularis,3,,7b43f317-efc7-4f15-9ac3-66588f4b90dd,
8/8/2025,Isom,ISOM1,C,9 m,,Coarse woody debris,2,,7b43f317-efc7-4f15-9ac3-66588f4b90dd,
8/8/2025,Isom,ISOM1,C,9 m,,Fine Woody Debris,1,,7b43f317-efc7-4f15-9ac3-66588f4b90dd,
7/29/2025,McDonald,MCDO6,C,3 m,,Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum],1,,fb16cbf3-a98d-48f0-8aa4-a4df30fbc3b2,
7/29/2025,McDonald,MCDO6,C,3 m,,Carex spp,3,,fb16cbf3-a98d-48f0-8aa4-a4df30fbc3b2,
7/29/2025,McDonald,MCDO6,C,3 m,,Vaccinium uliginosum,0.1,,fb16cbf3-a98d-48f0-8aa4-a4df30fbc3b2,
7/29/2025,McDonald,MCDO6,C,3 m,,Eriophorum vaginatum,1,,fb16cbf3-a98d-48f0-8aa4-a4df30fbc3b2,
7/29/2025,McDonald,MCDO6,C,3 m,,Coarse woody debris,5,,fb16cbf3-a98d-48f0-8aa4-a4df30fbc3b2,
7/29/2025,McDonald,MCDO6,C,3 m,,Fine Woody Debris,0.1,,fb16cbf3-a98d-48f0-8aa4-a4df30fbc3b2,
7/23/2025,Globe,GLOB4,A,3 m,,Epilobium angustifolium [Chamerion angustifolium],25,,c25c9459-66fd-4377-a313-88a9e5bf0c1f,
7/23/2025,Globe,GLOB4,A,3 m,,Equisetum scirpoides,7,,c25c9459-66fd-4377-a313-88a9e5bf0c1f,
7/23/2025,Globe,GLOB4,A,3 m,,Rosa acicularis,1,,c25c9459-66fd-4377-a313-88a9e5bf0c1f,
7/31/2025,Globe,GLOB3,C,6 m,,Salix spp,7,,e7c47e22-4a45-48a5-b6b6-3be77c4645b9,
7/31/2025,Globe,GLOB3,C,6 m,,Betula neoalaskana,2,,e7c47e22-4a45-48a5-b6b6-3be77c4645b9,
7/31/2025,Globe,GLOB3,C,6 m,,Eriophorum vaginatum,6,,e7c47e22-4a45-48a5-b6b6-3be77c4645b9,
7/31/2025,Globe,GLOB3,C,6 m,,Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum],5,,e7c47e22-4a45-48a5-b6b6-3be77c4645b9,
7/31/2025,Globe,GLOB3,C,6 m,,Rubus chamaemorus,2,,e7c47e22-4a45-48a5-b6b6-3be77c4645b9,
7/31/2025,Globe,GLOB3,C,6 m,,Vaccinium uliginosum,0.1,,e7c47e22-4a45-48a5-b6b6-3be77c4645b9,
7/31/2025,Globe,GLOB3,C,6 m,,Vaccinium vitis-idaea,1,,e7c47e22-4a45-48a5-b6b6-3be77c4645b9,
7/31/2025,Globe,GLOB3,C,6 m,,Betula glandulosa,0.1,,e7c47e22-4a45-48a5-b6b6-3be77c4645b9,
7/31/2025,Globe,GLOB3,C,6 m,,Unknown grass 1,2,,e7c47e22-4a45-48a5-b6b6-3be77c4645b9,
7/31/2025,Globe,GLOB3,C,6 m,,Fine Woody Debris,3,,e7c47e22-4a45-48a5-b6b6-3be77c4645b9,
7/31/2025,Globe,GLOB3,C,6 m,,Coarse woody debris,1,,e7c47e22-4a45-48a5-b6b6-3be77c4645b9,
8/8/2025,Isom,ISOM1,C,3 m,,Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum],23,,113418da-df31-4033-bceb-9ca52a8ad63c,
8/8/2025,Isom,ISOM1,C,3 m,,Calamagrostis ,10,,113418da-df31-4033-bceb-9ca52a8ad63c,
8/8/2025,Isom,ISOM1,C,3 m,,Vaccinium vitis-idaea,1,,113418da-df31-4033-bceb-9ca52a8ad63c,
