fulcrum_id,created_at,updated_at,created_by,updated_by,system_created_at,system_updated_at,version,status,project,assigned_to,latitude,longitude,geometry,fire_scar,site,site_remove,additional_species_list,additional_species_list_other,additional_species_notes,photos,photos_caption,photos_url,gps_altitude,gps_horizontal_accuracy,gps_vertical_accuracy,gps_speed,gps_course
a149c975-532c-465d-bd1e-76543e23e9c5,2024-07-16 20:34:30 UTC,2024-07-17 06:32:48 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-17 06:29:13 UTC,2024-07-17 06:32:49 UTC,2,,,,,,,Shovel,Shcr1,2,"Cornus canadensis,Alnus viridis",,,,,,,,,,
f076cbbb-ac91-42e9-bbfe-0ec71016891a,2024-07-16 22:00:47 UTC,2024-07-16 22:01:47 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-17 06:29:14 UTC,2024-07-17 06:29:14 UTC,1,,,,,,,ShCr,,3,"Populus tremuloides,Salix spp,Betula nana,Spiraea beauverdiana (stevenii)",,,,,,,,,,
1f23f371-a635-4be9-bdd2-eedf116fafc1,2024-07-16 23:34:47 UTC,2024-07-16 23:35:41 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-17 06:29:14 UTC,2024-07-17 06:29:14 UTC,1,,,,,,,Shovel creek,,4,Alnus viridis,,,,,,,,,,
de350143-0531-4fb0-9be9-4c289f639dfb,2024-07-16 23:35:42 UTC,2024-07-16 23:35:50 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-17 06:29:15 UTC,2024-07-17 06:29:15 UTC,1,,,,,,,Shovel creek,,4,Empetrum nigrum,,,,,,,,,,
1c828f61-5a40-4bf0-a269-57528284532b,2024-07-15 00:43:38 UTC,2024-07-17 06:34:22 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-17 06:34:24 UTC,2024-07-17 06:34:24 UTC,1,,,,,,,Haystack,Hays3,3,,,0,,,,,,,,
9b290745-916f-4de9-b687-a86d9965bb1f,2024-07-17 18:18:53 UTC,2024-07-17 18:19:26 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-18 05:42:26 UTC,2024-07-18 05:42:26 UTC,1,,,,,,,Shovel Creek,ShCr5,3,Spiraea beauverdiana (stevenii),,,,,,,,,,
0342eadd-ce84-4416-b095-3785280a5229,2024-07-17 19:24:56 UTC,2024-07-17 19:25:18 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-18 05:42:27 UTC,2024-07-18 05:42:27 UTC,1,,,,,,,Shovel Creek,ShCr6,3,Salix spp,,,,,,,,,,
38bc08e0-b000-4f19-98f7-3a6499eb7c05,2024-07-18 19:44:19 UTC,2024-07-18 19:44:50 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-19 18:39:52 UTC,2024-07-19 18:39:52 UTC,1,,,,,,,Lost horse,LoHo4,3,,Liverwort ,,,,,,,,,
b5e57f79-e2ff-4ecd-bafa-82f68780a0fb,2024-07-18 22:00:13 UTC,2024-07-18 22:25:54 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-19 18:39:58 UTC,2024-07-19 18:39:58 UTC,1,,,,,,,Lost horse,LoHo5,3,Calamagrostis canadensis,,,,,,,,,,
b6485aca-f89d-47f4-af9e-9a878bc2f4a3,2024-07-19 00:27:13 UTC,2024-07-19 01:25:50 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-19 18:39:59 UTC,2024-07-19 18:39:59 UTC,1,,,,,,,Lost horse,LoHo5,3,"Picea mariana,Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum],Salix spp,Empetrum nigrum,Epilobium angustifolium [Chamerion angustifolium],Luzula multiflora",,,,,,,,,,
fdf2b3b4-acf1-4e5b-929c-5a5095bcb476,2024-07-23 23:16:25 UTC,2024-07-23 23:17:13 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-24 03:25:15 UTC,2024-07-24 03:25:15 UTC,1,,,,,,,Hess creek,HeCr6,1,"Polygonum alpinum,Rosa acicularis",,,,,,,,,,
df2512b8-73c5-46ee-ab3f-111f7f69b782,2024-07-22 20:45:44 UTC,2024-07-22 20:46:30 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-24 03:27:43 UTC,2024-07-24 03:27:43 UTC,1,,,,,,,Hess Creek,HeCr1,3,"Potentilla fruticose [Dasiphora fruticosa],Salix spp",,,,,,,,,,
291ddeaf-7227-42cb-9a03-e4391c78ad3f,2024-07-23 00:21:22 UTC,2024-07-23 00:21:32 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-24 03:27:44 UTC,2024-07-24 03:27:44 UTC,1,,,,,,,Hess Creek,HeCr2,3,,,,,,,,,,,
a7c6549a-f637-4550-887a-4a09ad0cc5a5,2024-07-23 17:32:04 UTC,2024-07-23 17:32:45 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-24 03:27:45 UTC,2024-07-24 03:27:45 UTC,1,,,,,,,Hess Creek,HeCr3,3,Potentilla fruticose [Dasiphora fruticosa],,7/22/24,,,,,,,,
905769f3-ced2-4dab-a85c-8747d5a5f308,2024-07-23 18:54:36 UTC,2024-07-23 18:56:18 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-24 03:27:46 UTC,2024-07-24 03:27:46 UTC,1,,,,,,,Hess Creek,HeCr4,3,Empetrum nigrum,,,,,,,,,,
3db31a02-300f-48fc-8b86-2ddd7560c757,2024-07-25 01:08:41 UTC,2024-07-25 01:08:54 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-26 17:23:10 UTC,2024-07-26 17:23:10 UTC,1,,,,,,,Hess Creek,HeCr5,3,Populus tremuloides,,,,,,,,,,
97b86bd4-a811-4808-bb27-1a30702aa31e,2024-07-25 21:05:10 UTC,2024-07-25 21:06:22 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-26 17:23:11 UTC,2024-07-26 17:23:11 UTC,1,,,,,,,Haystack4,HAYS4,3,,Sphagnum ,,,,,,,,,
ca4182cb-43ac-43b0-9909-9eef43efee55,2024-07-25 23:48:21 UTC,2024-07-26 00:05:51 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-26 17:23:12 UTC,2024-07-26 17:23:12 UTC,1,,,,,,,Haystack,HAYS5,3,"Spiraea beauverdiana (stevenii),Linnaea borealis",,,,,,,,,,
17c23c84-6f20-4639-b3a7-4e821d8be0ad,2024-07-26 02:08:58 UTC,2024-07-26 02:14:33 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-26 17:23:12 UTC,2024-07-26 17:23:12 UTC,1,,,,,,,Haystack,HAYS6,3,Lycopodium annotinum,Dicranum,Lycopodium spp unknown but could not type in another “other”,,,,,,,,
1ad1daae-9398-40f7-9453-e820be6e62fc,2024-07-28 19:06:37 UTC,2024-07-28 20:07:44 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-29 04:41:52 UTC,2024-07-29 04:41:52 UTC,1,,,,,,,McCoy Creek,MCCR1,3,"Oxycoccus microcarpos [Vaccinium oxycoccos],Calamagrostis canadensis",Sphagnum ,,,,,,,,,
7e6d9383-313c-4edd-abf9-a6ceea9a150b,2024-07-28 22:43:02 UTC,2024-07-28 23:05:31 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-29 04:41:53 UTC,2024-07-29 04:41:53 UTC,1,,,,,,,McCoy Creek,MCCR4,3,"Equisetum sylvaticum,Vaccinium vitis-idaea,Unknown 1,Rosa acicularis",Taraxacum officionale ,Unknown 1 is solidago spp,,,,,,,,
bf50e983-49e7-4480-a94d-f8276424af6c,2024-07-29 01:57:44 UTC,2024-07-29 17:57:16 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-29 04:41:53 UTC,2024-07-30 05:39:34 UTC,2,,,,,,,McCoy Creek,MCCR5,3,Spiraea beauverdiana (stevenii),,,,,,,,,,
e03ef233-7713-4464-babb-ea02ee978c4e,2024-07-29 19:53:32 UTC,2024-07-29 19:53:48 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-30 05:39:35 UTC,2024-07-30 05:39:35 UTC,1,,,,,,,McCoy Creek,MCCR6,3,,,,,,,,,,,
ea6f10a4-279b-4790-9f4f-40bd05fb08e9,2024-07-29 23:46:35 UTC,2024-07-30 00:37:13 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-30 05:39:35 UTC,2024-07-30 05:39:35 UTC,1,,,,,,,McCoy Creek,McCr2,3,"Betula nana,Rosa acicularis,Salix spp",,,,,,,,,,
4a63fc4a-fed7-4289-ad05-47e99e8af0d6,2024-07-31 02:44:10 UTC,2024-07-31 02:44:30 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-31 15:10:05 UTC,2024-07-31 15:10:05 UTC,1,,,,,,,Nugget Creek,NuCr3,3,Vaccinium vitis-idaea,,,,,,,,,,
5ff8d24b-0576-491f-91e9-83027d01994a,2024-07-30 19:25:15 UTC,2024-07-30 19:41:41 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-31 15:13:00 UTC,2024-07-31 15:13:00 UTC,1,,,,,,,Nugget creek,NuCr1,1,"Vaccinium uliginosum,Unburned Foliose Lichen",Pleurozium ,,,,,,,,,
425ab2c8-9595-4154-a3fb-3ca1061cbdac,2024-07-30 22:46:45 UTC,2024-07-30 22:48:41 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-31 15:13:01 UTC,2024-07-31 15:13:01 UTC,1,,,,,,,Nugget creek,NuCr2,1,Unknown forb 1,,Unkn aster,"6ec78503-16fc-450b-ab44-72ad976a422c,9431ad9e-4477-48fb-8b67-fded2b8d2a1d",",",https://web.fulcrumapp.com/photos/view?photos=6ec78503-16fc-450b-ab44-72ad976a422c%2C9431ad9e-4477-48fb-8b67-fded2b8d2a1d,,,,,
e31dcb38-3ca1-42f5-a0dd-a0fb3ae33daa,2024-07-31 19:32:40 UTC,2024-07-31 19:32:52 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-08-01 05:48:22 UTC,2024-08-01 05:48:22 UTC,1,,,,,,,Nugget creek,NuCr4,1,,,,,,,,,,,
b763dfe6-921d-4130-85cf-a07a79988397,2024-07-31 22:28:07 UTC,2024-07-31 22:29:59 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-08-01 05:48:23 UTC,2024-08-01 05:48:23 UTC,1,,,,,,,Nugget creek,NuCr5,1,"Salix spp,Betula neoalaskana,Rosa acicularis",,,,,,,,,,
5e0d9d46-d292-4e33-9f99-4a4407c0aedf,2024-08-01 01:27:16 UTC,2024-08-01 01:27:35 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-08-01 05:48:24 UTC,2024-08-01 05:48:24 UTC,1,,,,,,,Nugget creek,NuCr6,1,Unknown 1,,Unkn aster,,,,,,,,
80ef9b51-d92a-481d-9979-918f4a88f825,2024-08-01 19:25:22 UTC,2024-08-01 20:07:20 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-08-02 06:11:16 UTC,2024-08-02 06:11:16 UTC,1,,,,,,,Munson creek,MuCr1,1,"Cornus canadensis,Equisetum scirpoides,Alnus viridis,Solidago multiradiata",Pyrola spp,,,,,,,,,
6eed5449-6e52-498d-bbff-5173efd6376b,2024-08-01 22:35:59 UTC,2024-08-01 22:36:22 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-08-02 06:11:16 UTC,2024-08-02 06:11:16 UTC,1,,,,,,,Munson creek,MuCr2,1,,,,,,,,,,,
b122b495-ad2a-4e70-afeb-b6903750c459,2024-08-02 01:52:15 UTC,2024-08-02 02:17:14 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-08-02 06:11:17 UTC,2024-08-02 06:11:17 UTC,1,,,,,,,Munson creek,MuCr3,1,"Alnus viridis,Epilobium angustifolium [Chamerion angustifolium]",,,,,,,,,,
6d3aa61a-f706-43b3-8016-db3c3e6f3f7a,2024-08-02 20:07:06 UTC,2024-08-02 23:28:10 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-08-03 15:19:01 UTC,2024-08-03 15:19:01 UTC,1,,,,,,,Teklanika,Tekl4,1,"Marchantia polymorpha,Epilobium angustifolium [Chamerion angustifolium]",,,,,,,,,,
63659890-4100-4b99-9873-3e40d3e54db4,2024-08-02 23:28:13 UTC,2024-08-02 23:28:25 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-08-03 15:19:02 UTC,2024-08-03 15:19:02 UTC,1,,,,,,,Teklanika,Tekl5,1,,,,,,,,,,,
291509fe-f12c-42c0-823d-e1c5409a1d41,2024-08-03 01:51:05 UTC,2024-08-03 01:51:21 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-08-03 15:19:02 UTC,2024-08-03 15:19:02 UTC,1,,,,,,,Teklanika,Tekl6,1,,,,,,,,,,,
2d22ad22-591b-4238-8ea6-0deb137041e4,2024-08-03 19:57:08 UTC,2024-08-03 23:59:16 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-08-04 04:45:53 UTC,2024-08-04 04:45:53 UTC,1,,,,,,,Teklanika,Tekl1,1,"Stellaria longipes,Betula neoalaskana,Populus tremuloides",Irisitosa spp,,,,,,,,,
3e0b5c88-c053-4070-96a2-f7801f08e481,2024-08-03 23:59:18 UTC,2024-08-04 00:00:58 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-08-04 04:45:54 UTC,2024-08-04 04:45:54 UTC,1,,,,,,,Teklanika,Tekl2,1,Betula nana,Capinoides semprevirens ,,,,,,,,,
a17518c9-2265-4588-8c8e-a13288b34fba,2024-08-04 02:28:31 UTC,2024-08-04 02:28:40 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-08-04 04:45:54 UTC,2024-08-04 04:45:54 UTC,1,,,,,,,Teklanika,Tekl3,1,Petasites frigidus,,,,,,,,,,
8c750c69-f525-4343-a92f-9b99897ca83f,2024-08-04 22:50:59 UTC,2024-08-04 22:53:45 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-08-05 05:45:09 UTC,2024-08-05 05:45:09 UTC,1,,,,,,,Munson Creek ,MuCr4,1,,Capinoides semprevirens,,,,,,,,,
854073a5-4026-4cba-8517-7296cfe13295,2024-08-05 01:26:23 UTC,2024-08-05 01:26:39 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-08-05 05:45:10 UTC,2024-08-05 05:45:10 UTC,1,,,,,,,Munson Creek ,MuCr5,1,Epilobium angustifolium [Chamerion angustifolium],,,,,,,,,,
4dbe3b00-54ee-4610-964b-2b992c5bdc30,2024-08-05 18:55:47 UTC,2024-08-05 18:56:36 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-08-06 06:02:01 UTC,2024-08-06 06:02:01 UTC,1,,,,,,,Dry Creek,DrCr1,1,Equisetum scirpoides,Sphagnum,,,,,,,,,
b77f5cdc-f5f9-4993-82f9-f64a43d8e06a,2024-08-05 21:47:22 UTC,2024-08-05 22:35:06 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-08-06 06:02:02 UTC,2024-08-06 06:02:02 UTC,1,,,,,,,Dry Creek,DrCr2,1,"Equisetum arvense,Rubus chamaemorus,Arctostaphylos rubra [Arctous rubra]",,,,,,,,,,
e8cd0bd1-4d42-4fa5-b144-630e7ce577a9,2024-08-06 00:44:42 UTC,2024-08-06 00:44:49 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-08-06 06:02:03 UTC,2024-08-06 06:02:03 UTC,1,,,,,,,Dry Creek,DrCr3,1,,,,,,,,,,,
53b311b6-b384-4c46-958a-6a5cb50b5b02,2024-08-06 19:51:33 UTC,2024-08-06 19:55:45 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-08-07 06:27:00 UTC,2024-08-07 06:27:00 UTC,1,,,,,,,Dry Creek,DrCr4,1,"Salix spp,Carex spp",Capinoides semprevirens ,,,,,,,,,
4e624023-6a4a-403b-8b93-da6158926079,2024-08-06 22:42:32 UTC,2024-08-07 01:14:08 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-08-07 06:27:01 UTC,2024-08-07 06:27:01 UTC,1,,,,,,,Dry Creek,DrCr5,1,"Orthilia secunda,Rosa acicularis,Betula nana",,,,,,,,,,
0386ebc8-c19d-4b80-b23c-d56a538dabb4,2024-08-07 01:14:09 UTC,2024-08-07 01:14:17 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-08-07 06:27:01 UTC,2024-08-07 06:27:01 UTC,1,,,,,,,Dry Creek,DrCr6,1,,,,,,,,,,,
0cbde114-bc37-4ef4-9828-42f38952758d,2024-08-07 20:15:49 UTC,2024-08-07 20:29:16 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-08-08 06:28:57 UTC,2024-08-08 06:28:57 UTC,1,,,,,,,McCoy Creek,McCr3,1,"Polygonum alpinum,Cornus canadensis",,,,,,,,,,
