"","date","fire_scar","site","plot","location","site_notes","ground_cover_type","ground_percent_cover","ground_cover_notes"
"88","2024-08-03","Teklanika ","Tekl2","A","3 m","","Fine Woody Debris",0.1,""
"89","2024-08-03","Teklanika ","Tekl2","A","3 m","","Litter",0.1,""
"90","2024-08-03","Teklanika ","Tekl2","A","3 m","","Marchantia polymorpha",92.7,""
"91","2024-07-16","Shovel Creek","ShCr2","C","6 m","","Ceratodon/Pohlia",2,""
"92","2024-07-16","Shovel Creek","ShCr2","C","6 m","","Polytrichum",1,""
"93","2024-07-16","Shovel Creek","ShCr2","C","6 m","","Grass Litter",17,""
"94","2024-07-16","Shovel Creek","ShCr2","C","6 m","","Coarse Woody Debris",5,""
"95","2024-07-16","Shovel Creek","ShCr2","C","6 m","","Fine Woody Debris",1,""
"96","2024-07-16","Shovel Creek","ShCr2","C","6 m","","Litter",1,""
"97","2024-07-16","Shovel Creek","ShCr2","C","6 m","","Organic",73,""
"98","2024-07-25","Haystack","Hays5","A","9 m","","Rabbit Scat",0.1,""
"99","2024-07-25","Haystack","Hays5","A","9 m","","Litter",1,""
"100","2024-07-25","Haystack","Hays5","A","9 m","","Fine Woody Debris",4,""
"101","2024-07-25","Haystack","Hays5","A","9 m","","Coarse Woody Debris",0.1,""
"102","2024-07-25","Haystack","Hays5","A","9 m","","Burned Lichen",0.1,""
"103","2024-07-25","Haystack","Hays5","A","9 m","","Organic",0.1,""
"104","2024-07-25","Haystack","Hays5","A","9 m","","Burned Moss",94.6,""
"105","2024-07-22","Hess Creek","HeCr1","C","3 m","","Liverwort",0.1,""
"106","2024-07-22","Hess Creek","HeCr1","C","3 m","","Unknown moss ",4,""
"107","2024-07-22","Hess Creek","HeCr1","C","3 m","","Ceratodon/Pohlia",3,""
"108","2024-07-22","Hess Creek","HeCr1","C","3 m","","Dead lichen ",1,""
"109","2024-07-22","Hess Creek","HeCr1","C","3 m","","Unknown featermoss",0.1,""
"110","2024-07-22","Hess Creek","HeCr1","C","3 m","","Organic",1,""
"111","2024-07-22","Hess Creek","HeCr1","C","3 m","","Coarse Woody Debris",9,""
"112","2024-07-22","Hess Creek","HeCr1","C","3 m","","Fine Woody Debris",3,""
"113","2024-07-22","Hess Creek","HeCr1","C","3 m","","Grass Litter",77.8,""
"114","2024-07-22","Hess Creek","HeCr1","C","3 m","","Litter",1,""
"115","2024-08-02","Teklanika ","Tekl5","A","3 m","","Burned Lichen",2,""
"116","2024-08-02","Teklanika ","Tekl5","A","3 m","","Fine Woody Debris",0.1,""
"117","2024-08-02","Teklanika ","Tekl5","A","3 m","","Coarse Woody Debris",1,""
"118","2024-08-02","Teklanika ","Tekl5","A","3 m","","Ceratodon purpureus",0.1,""
"119","2024-08-02","Teklanika ","Tekl5","A","3 m","","Organic",96.7,""
"120","2024-08-02","Teklanika ","Tekl5","A","3 m","","Litter",0.1,""
"121","2024-08-03","Teklanika ","Tekl1","B","6 m","","Coarse Woody Debris",3,""
"122","2024-08-03","Teklanika ","Tekl1","B","6 m","","Fine Woody Debris",1,""
"123","2024-08-03","Teklanika ","Tekl1","B","6 m","","Mushroom",0.1,""
"124","2024-08-03","Teklanika ","Tekl1","B","6 m","","Burned Lichen",0.1,""
"125","2024-08-03","Teklanika ","Tekl1","B","6 m","","Mineral ",0.1,""
"126","2024-08-03","Teklanika ","Tekl1","B","6 m","","Litter",0.1,""
"127","2024-08-03","Teklanika ","Tekl1","B","6 m","","Organic",95.6,""
"128","2024-07-18","Lost Horse","LoHo5","C","9 m","","Burned Lichen",3,""
"129","2024-07-18","Lost Horse","LoHo5","C","9 m","","Burned Moss",4,""
"130","2024-07-18","Lost Horse","LoHo5","C","9 m","","Coarse Woody Debris",2,""
"131","2024-07-18","Lost Horse","LoHo5","C","9 m","","Fine Woody Debris",1,""
"132","2024-07-18","Lost Horse","LoHo5","C","9 m","","Litter",2,""
"133","2024-07-18","Lost Horse","LoHo5","C","9 m","","Organic",88,""
"134","2024-08-04","Munson Creek","MuCr4","A","3 m","","Marchantia polymorpha",1,""
"135","2024-08-04","Munson Creek","MuCr4","A","3 m","","Ceratodon purpureus",5,""
"136","2024-08-04","Munson Creek","MuCr4","A","3 m","","Coarse Woody Debris",4,""
"137","2024-08-04","Munson Creek","MuCr4","A","3 m","","Fine Woody Debris",3,""
"138","2024-08-04","Munson Creek","MuCr4","A","3 m","","Burned Lichen",1,""
"139","2024-08-04","Munson Creek","MuCr4","A","3 m","","Polytrichum",8,""
"140","2024-08-04","Munson Creek","MuCr4","A","3 m","","Organic",77.9,""
"141","2024-08-04","Munson Creek","MuCr4","A","3 m","","Mushroom",0.1,""
"142","2024-07-15","Lost Horse","LoHo1","B","3 m","","Burned lichen",17,"Half singed"
"143","2024-07-15","Lost Horse","LoHo1","B","3 m","","Coarse Woody Debris",5,""
"144","2024-07-15","Lost Horse","LoHo1","B","3 m","","Organic",22,""
"145","2024-07-15","Lost Horse","LoHo1","B","3 m","","Fine Woody Debris",1,""
"146","2024-07-15","Lost Horse","LoHo1","B","3 m","","Burned Moss",55,""
"147","2024-07-23","Hess Creek","HeCr4","B","3 m","","Coarse Woody Debris",2,""
"148","2024-07-23","Hess Creek","HeCr4","B","3 m","","Grass Litter",0.1,""
"149","2024-07-23","Hess Creek","HeCr4","B","3 m","","Fine Woody Debris",1,""
"150","2024-07-23","Hess Creek","HeCr4","B","3 m","","Litter",12,""
"151","2024-07-23","Hess Creek","HeCr4","B","3 m","","Ceratodon purpureus",9,""
"152","2024-07-23","Hess Creek","HeCr4","B","3 m","","Aulocomnium",0.1,""
"153","2024-07-23","Hess Creek","HeCr4","B","3 m","","Burned Moss",5,""
"154","2024-07-23","Hess Creek","HeCr4","B","3 m","","Organic",70.8,""
"155","2024-08-01","Munson Creek","MuCr2","C","6 m","","Rock",0.1,""
"156","2024-08-01","Munson Creek","MuCr2","C","6 m","","Coarse Woody Debris",6,""
"157","2024-08-01","Munson Creek","MuCr2","C","6 m","","Fine Woody Debris",2,""
"158","2024-08-01","Munson Creek","MuCr2","C","6 m","","Litter",1,""
"159","2024-08-01","Munson Creek","MuCr2","C","6 m","","Burned Lichen",0.1,""
"160","2024-08-01","Munson Creek","MuCr2","C","6 m","","Polytrichum",14,""
"161","2024-08-01","Munson Creek","MuCr2","C","6 m","","Organic",38,""
"162","2024-08-01","Munson Creek","MuCr2","C","6 m","","Ceratodon purpureus",38.8,""
"163","2024-08-01","Munson Creek","MuCr3","B","3 m","","Polytrichum",1,""
"164","2024-08-01","Munson Creek","MuCr3","B","3 m","","Ceratodon purpureus",6,""
"165","2024-08-01","Munson Creek","MuCr3","B","3 m","","Pleurozium",0.1,""
"166","2024-08-01","Munson Creek","MuCr3","B","3 m","","Coarse Woody Debris",2,""
"167","2024-08-01","Munson Creek","MuCr3","B","3 m","","Fine Woody Debris",0.1,""
"168","2024-08-01","Munson Creek","MuCr3","B","3 m","","Litter",15,""
"169","2024-08-01","Munson Creek","MuCr3","B","3 m","","Organic",75.8,""
"170","2024-07-14","Haystack","Hays2","C","3 m","","Ceratodon/Pohlia",5,""
"171","2024-07-14","Haystack","Hays2","C","3 m","","Grass Litter",6,""
"172","2024-07-14","Haystack","Hays2","C","3 m","","Fine Woody Debris",3,""
"173","2024-07-14","Haystack","Hays2","C","3 m","","Coarse Woody Debris",4,""
"174","2024-07-14","Haystack","Hays2","C","3 m","","Litter",2,""
"175","2024-07-14","Haystack","Hays2","C","3 m","","Polytrichum",0.1,""
"176","2024-07-14","Haystack","Hays2","C","3 m","","Organic",80,""
"177","2024-08-05","Dry Creek","DrCr3","A","3 m","","Coarse Woody Debris",11,""
"178","2024-08-05","Dry Creek","DrCr3","A","3 m","","Fine Woody Debris",2,""
"179","2024-08-05","Dry Creek","DrCr3","A","3 m","","Mushroom",0.1,""
"180","2024-08-05","Dry Creek","DrCr3","A","3 m","","Polytrichum",0.1,""
"181","2024-08-05","Dry Creek","DrCr3","A","3 m","","Grass Litter",4,"Includes Eri vag litter"
"182","2024-08-05","Dry Creek","DrCr3","A","3 m","","Litter",4,""
"183","2024-08-05","Dry Creek","DrCr3","A","3 m","","Burned Lichen",0.1,""
"184","2024-08-05","Dry Creek","DrCr3","A","3 m","","Burned Moss",40,""
"185","2024-08-05","Dry Creek","DrCr3","A","3 m","","Organic",37.7,""
"186","2024-08-05","Dry Creek","DrCr3","A","3 m","","Ceratodon purpureus",1,""
"187","2024-08-02","Teklanika ","Tekl5","B","6 m","","Burned Lichen",14,""
"188","2024-08-02","Teklanika ","Tekl5","B","6 m","","Coarse Woody Debris",1,""
"189","2024-08-02","Teklanika ","Tekl5","B","6 m","","Fine Woody Debris",0.1,""
"190","2024-08-02","Teklanika ","Tekl5","B","6 m","","Litter",0.1,""
"191","2024-08-02","Teklanika ","Tekl5","B","6 m","","Organic",84.8,""
"192","2024-07-30","Nugget Creek","NuCr2","C","3 m","","Ceratodon purpureus",14,""
"193","2024-07-30","Nugget Creek","NuCr2","C","3 m","","Coarse Woody Debris",2,""
"194","2024-07-30","Nugget Creek","NuCr2","C","3 m","","Fine Woody Debris",1,""
"195","2024-07-30","Nugget Creek","NuCr2","C","3 m","","Litter",4,""
"196","2024-07-30","Nugget Creek","NuCr2","C","3 m","","Grass Litter",9,""
"197","2024-07-30","Nugget Creek","NuCr2","C","3 m","","Organic",9,""
"198","2024-07-30","Nugget Creek","NuCr2","C","3 m","","Burned Moss",1,""
"199","2024-07-30","Nugget Creek","NuCr2","C","3 m","","Polytrichum",60,""
"200","2024-07-25","Haystack","Hays5","B","6 m","","Mushroom",0.1,""
"201","2024-07-25","Haystack","Hays5","B","6 m","","Coarse Woody Debris",18,""
"202","2024-07-25","Haystack","Hays5","B","6 m","","Fine Woody Debris",6,""
"203","2024-07-25","Haystack","Hays5","B","6 m","","Ceratodon purpureus",2,""
"204","2024-07-25","Haystack","Hays5","B","6 m","","Grass Litter",0.1,""
"205","2024-07-25","Haystack","Hays5","B","6 m","","Litter",9,""
"206","2024-07-25","Haystack","Hays5","B","6 m","","Organic",64.8,""
"207","2024-07-30","Nugget Creek","NuCr1","A","3 m","","Ceratodon purpureus",10,""
"208","2024-07-30","Nugget Creek","NuCr1","A","3 m","","Organic",6,""
"209","2024-07-30","Nugget Creek","NuCr1","A","3 m","","Grass Litter",0.1,"Carex"
"210","2024-07-30","Nugget Creek","NuCr1","A","3 m","","Mushroom",0.1,""
"211","2024-07-30","Nugget Creek","NuCr1","A","3 m","","Coarse Woody Debris",4,""
"212","2024-07-30","Nugget Creek","NuCr1","A","3 m","","Fine Woody Debris",3,""
"213","2024-07-30","Nugget Creek","NuCr1","A","3 m","","Polytrichum",12,""
"214","2024-07-30","Nugget Creek","NuCr1","A","3 m","","Litter",64.8,""
"215","2024-07-16","Shovel Creek","ShCr1","A","3 m","","Sphagnum",0.1,""
"216","2024-07-16","Shovel Creek","ShCr1","A","3 m","","Ceratodon/Pohlia",6,""
"217","2024-07-16","Shovel Creek","ShCr1","A","3 m","","Polytrichum",0.1,""
"218","2024-07-16","Shovel Creek","ShCr1","A","3 m","","Coarse Woody Debris",0.1,""
"219","2024-07-16","Shovel Creek","ShCr1","A","3 m","","Fine Woody Debris",3,""
"220","2024-07-16","Shovel Creek","ShCr1","A","3 m","","Organic",2,""
"221","2024-07-16","Shovel Creek","ShCr1","A","3 m","","Litter",88.7,""
"222","2024-08-03","Teklanika ","Tekl3","C","6 m","","Coarse Woody Debris",2,""
"223","2024-08-03","Teklanika ","Tekl3","C","6 m","","Fine Woody Debris",1,""
"224","2024-08-03","Teklanika ","Tekl3","C","6 m","","Marchantia polymorpha",2,""
"225","2024-08-03","Teklanika ","Tekl3","C","6 m","","Standing water",1,""
"226","2024-08-03","Teklanika ","Tekl3","C","6 m","","Ceratodon purpureus",0.1,""
"227","2024-08-03","Teklanika ","Tekl3","C","6 m","","Litter",44,""
"228","2024-08-03","Teklanika ","Tekl3","C","6 m","","Organic",49.9,""
"229","2024-07-23","Hess Creek","HeCr6","A","9 m","","Coarse Woody Debris",0.1,""
"230","2024-07-23","Hess Creek","HeCr6","A","9 m","","Fine Woody Debris",1,""
"231","2024-07-23","Hess Creek","HeCr6","A","9 m","","Litter",9,""
"232","2024-07-23","Hess Creek","HeCr6","A","9 m","","Ceratodon purpureus",20,""
"233","2024-07-23","Hess Creek","HeCr6","A","9 m","","Organic",69.8,""
"234","2024-07-23","Hess Creek","HeCr6","A","9 m","","Burned Lichen",0.1,""
"235","2024-07-15","Lost Horse","LoHo3","A","3 m","","Coarse Woody Debris",2,""
"236","2024-07-15","Lost Horse","LoHo3","A","3 m","","Fine Woody Debris",2,""
"237","2024-07-15","Lost Horse","LoHo3","A","3 m","","Ceratodon purpureus",0.1,""
"238","2024-07-15","Lost Horse","LoHo3","A","3 m","","Organic",95.9,""
"239","2024-08-01","Munson Creek","MuCr1","B","3 m","","Marchantia polymorpha",1,""
"240","2024-08-01","Munson Creek","MuCr1","B","3 m","","Polytrichum",2,""
"241","2024-08-01","Munson Creek","MuCr1","B","3 m","","Fine Woody Debris",2,""
"242","2024-08-01","Munson Creek","MuCr1","B","3 m","","Coarse Woody Debris",3,""
"243","2024-08-01","Munson Creek","MuCr1","B","3 m","","Litter",18,""
"244","2024-08-01","Munson Creek","MuCr1","B","3 m","","Organic",38,""
"245","2024-08-01","Munson Creek","MuCr1","B","3 m","","Ceratodon purpureus",36,""
"246","2024-07-22","Hess Creek","HeCr1","A","6 m","","Coarse Woody Debris",7,""
"247","2024-07-22","Hess Creek","HeCr1","A","6 m","","Fine Woody Debris",3,""
"248","2024-07-22","Hess Creek","HeCr1","A","6 m","","Ceratodon/Pohlia",5,""
"249","2024-07-22","Hess Creek","HeCr1","A","6 m","","Organic",2,""
"250","2024-07-22","Hess Creek","HeCr1","A","6 m","","Litter",30,""
"251","2024-07-22","Hess Creek","HeCr1","A","6 m","","Grass Litter",53,""
"252","2024-08-06","Dry Creek","DrCr4","B","6 m","","Polytrichum",1,""
"253","2024-08-06","Dry Creek","DrCr4","B","6 m","","Ceratodon purpureus",1,""
"254","2024-08-06","Dry Creek","DrCr4","B","6 m","","Coarse Woody Debris",9,""
"255","2024-08-06","Dry Creek","DrCr4","B","6 m","","Fine Woody Debris",0.1,""
"256","2024-08-06","Dry Creek","DrCr4","B","6 m","","Grass Litter",5,""
"257","2024-08-06","Dry Creek","DrCr4","B","6 m","","Organic",18,""
"258","2024-08-06","Dry Creek","DrCr4","B","6 m","","Litter",65.9,""
"259","2024-07-29","McCoy Creek","McCr2","B","6 m","","Ceratodon purpureus",4,""
"260","2024-07-29","McCoy Creek","McCr2","B","6 m","","Coarse Woody Debris",3,""
"261","2024-07-29","McCoy Creek","McCr2","B","6 m","","Fine Woody Debris",0.1,""
"262","2024-07-29","McCoy Creek","McCr2","B","6 m","","Burned Lichen",1,""
"263","2024-07-29","McCoy Creek","McCr2","B","6 m","","Burned Moss",0.1,""
"264","2024-07-29","McCoy Creek","McCr2","B","6 m","","Mineral ",0.1,""
"265","2024-07-29","McCoy Creek","McCr2","B","6 m","","Polytrichum",0.1,""
"266","2024-07-29","McCoy Creek","McCr2","B","6 m","","Litter",9,""
"267","2024-07-29","McCoy Creek","McCr2","B","6 m","","Marchantia polymorpha",27,""
"268","2024-07-29","McCoy Creek","McCr2","B","6 m","","Organic",55.6,""
"269","2024-08-06","Dry Creek","DrCr6","C","6 m","","Polytrichum",0.1,""
"270","2024-08-06","Dry Creek","DrCr6","C","6 m","","Coarse Woody Debris",11,""
"271","2024-08-06","Dry Creek","DrCr6","C","6 m","","Fine Woody Debris",1,""
"272","2024-08-06","Dry Creek","DrCr6","C","6 m","","Grass Litter",4,""
"273","2024-08-06","Dry Creek","DrCr6","C","6 m","","Burned Lichen",4,""
"274","2024-08-06","Dry Creek","DrCr6","C","6 m","","Litter",1,""
"275","2024-08-06","Dry Creek","DrCr6","C","6 m","","Organic",4,""
"276","2024-08-06","Dry Creek","DrCr6","C","6 m","","Ceratodon purpureus",0.1,""
"277","2024-08-06","Dry Creek","DrCr6","C","6 m","","Burned Moss",74.8,""
"278","2024-08-06","Dry Creek","DrCr4","A","3 m","","Burned Lichen",8,""
"279","2024-08-06","Dry Creek","DrCr4","A","3 m","","Polytrichum",0.1,""
"280","2024-08-06","Dry Creek","DrCr4","A","3 m","","Coarse Woody Debris",2,""
"281","2024-08-06","Dry Creek","DrCr4","A","3 m","","Fine Woody Debris",0.1,""
"282","2024-08-06","Dry Creek","DrCr4","A","3 m","","Grass Litter",20,""
"283","2024-08-06","Dry Creek","DrCr4","A","3 m","","Litter",7,""
"284","2024-08-06","Dry Creek","DrCr4","A","3 m","","Burned Moss",62.8,""
"285","2024-07-28","McCoy Creek","McCr5","A","6 m","","Coarse Woody Debris",1,""
"286","2024-07-28","McCoy Creek","McCr5","A","6 m","","Fine Woody Debris",2,""
"287","2024-07-28","McCoy Creek","McCr5","A","6 m","","Dead Sphagnum",6,"Dead from fire but not singed"
"288","2024-07-28","McCoy Creek","McCr5","A","6 m","","Polytrichum",0.1,""
"289","2024-07-28","McCoy Creek","McCr5","A","6 m","","Litter",12,""
"290","2024-07-28","McCoy Creek","McCr5","A","6 m","","Grass Litter",0.1,""
"291","2024-07-28","McCoy Creek","McCr5","A","6 m","","Burned Moss",1,""
"292","2024-07-28","McCoy Creek","McCr5","A","6 m","","Organic",77.8,""
"293","2024-08-02","Teklanika ","Tekl6","C","6 m","","Coarse Woody Debris",1,""
"294","2024-08-02","Teklanika ","Tekl6","C","6 m","","Fine Woody Debris",0.1,""
"295","2024-08-02","Teklanika ","Tekl6","C","6 m","","Burned Lichen",1,""
"296","2024-08-02","Teklanika ","Tekl6","C","6 m","","Litter",8,""
"297","2024-08-02","Teklanika ","Tekl6","C","6 m","","Organic",89.9,""
"298","2024-07-23","Hess Creek","HeCr6","C","3 m","","Burned Lichen",1,""
"299","2024-07-23","Hess Creek","HeCr6","C","3 m","","Foliose Lichen",1,""
"300","2024-07-23","Hess Creek","HeCr6","C","3 m","","Organic",11,""
"301","2024-07-23","Hess Creek","HeCr6","C","3 m","","Aulocomnium",1,""
"302","2024-07-23","Hess Creek","HeCr6","C","3 m","","Grass Litter",4,""
"303","2024-07-23","Hess Creek","HeCr6","C","3 m","","Ceratodon purpureus",35,""
"304","2024-07-23","Hess Creek","HeCr6","C","3 m","","Litter",47,""
"305","2024-07-23","Hess Creek","HeCr6","C","3 m","","Merchantia ",0.1,""
"306","2024-07-15","Lost Horse","LoHo2","B","3 m","","Burned Lichen",1,""
"307","2024-07-15","Lost Horse","LoHo2","B","3 m","","Burned Moss",6,""
"308","2024-07-15","Lost Horse","LoHo2","B","3 m","","Coarse Woody Debris",11,""
"309","2024-07-15","Lost Horse","LoHo2","B","3 m","","Fine Woody Debris",6,""
"310","2024-07-15","Lost Horse","LoHo2","B","3 m","","Organic",76,""
"311","2024-08-03","Teklanika ","Tekl3","A","6 m","","Marchantia polymorpha",7,""
"312","2024-08-03","Teklanika ","Tekl3","A","6 m","","Standing water",2,""
"313","2024-08-03","Teklanika ","Tekl3","A","6 m","","Coarse Woody Debris",2,""
"314","2024-08-03","Teklanika ","Tekl3","A","6 m","","Fine Woody Debris",1,""
"315","2024-08-03","Teklanika ","Tekl3","A","6 m","","Mushroom",0.1,""
"316","2024-08-03","Teklanika ","Tekl3","A","6 m","","Ceratodon purpureus",9,""
"317","2024-08-03","Teklanika ","Tekl3","A","6 m","","Organic",16,""
"318","2024-08-03","Teklanika ","Tekl3","A","6 m","","Litter",62.9,""
"319","2024-07-28","McCoy Creek","McCr5","B","3 m","","Mushroom",0.1,""
"320","2024-07-28","McCoy Creek","McCr5","B","3 m","","Litter",5,""
"321","2024-07-28","McCoy Creek","McCr5","B","3 m","","Burned Moss",3,""
"322","2024-07-28","McCoy Creek","McCr5","B","3 m","","Fine Woody Debris",3,""
"323","2024-07-28","McCoy Creek","McCr5","B","3 m","","Coarse Woody Debris",0.1,""
"324","2024-07-28","McCoy Creek","McCr5","B","3 m","","Polytrichum",0.1,""
"325","2024-07-28","McCoy Creek","McCr5","B","3 m","","Organic",88.7,""
"326","2024-08-04","Munson Creek","MuCr5","A","6 m","","Coarse Woody Debris",2,""
"327","2024-08-04","Munson Creek","MuCr5","A","6 m","","Fine Woody Debris",1,""
