"","date","fire_scar","site","plot","location","site_notes","plant_species","plant_species_cover","veg_cover_notes"
"34","2024-08-03","Teklanika ","Tekl3","C","3 m","","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]",1,""
"35","2024-08-03","Teklanika ","Tekl3","C","3 m","","Equisetum scirpoides",2,""
"36","2024-08-03","Teklanika ","Tekl3","C","3 m","","Equisetum arvense",4,""
"37","2024-08-03","Teklanika ","Tekl3","C","3 m","","Vaccinium uliginosum",1,""
"38","2024-08-03","Teklanika ","Tekl3","C","3 m","","Potentilla fruticose [Dasiphora fruticosa]",1,""
"39","2024-08-03","Teklanika ","Tekl3","C","3 m","","Arctostaphylos rubra [Arctous rubra]",0.1,""
"40","2024-08-03","Teklanika ","Tekl3","C","3 m","","Iris setosa",0.1,""
"41","2024-08-03","Teklanika ","Tekl3","C","3 m","","Calamagrostis canadensis",2,""
"42","2024-08-03","Teklanika ","Tekl3","C","3 m","","Epilobium angustifolium [Chamerion angustifolium]",2,""
"43","2024-08-03","Teklanika ","Tekl3","C","3 m","","Betula nana",3,""
"44","2024-08-03","Teklanika ","Tekl3","C","3 m","","Salix spp",7,""
"45","2024-08-03","Teklanika ","Tekl3","C","3 m","","Coarse woody debris",1,""
"46","2024-08-03","Teklanika ","Tekl3","C","3 m","","Fine Woody Debris",3,""
"47","2024-08-03","Teklanika ","Tekl3","C","3 m","","Picea mariana",0.1,""
"48","2024-07-29","McCoy Creek","McCr6","A","6 m","","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]",11,""
"49","2024-07-29","McCoy Creek","McCr6","A","6 m","","Vaccinium uliginosum",3,""
"50","2024-07-29","McCoy Creek","McCr6","A","6 m","","Vaccinium vitis-idaea",2,""
"51","2024-07-29","McCoy Creek","McCr6","A","6 m","","Salix spp",4,"Not rooted in plot"
"52","2024-07-29","McCoy Creek","McCr6","A","6 m","","Carex spp",6,""
"53","2024-07-29","McCoy Creek","McCr6","A","6 m","","Fine Woody Debris",4,""
"54","2024-07-29","McCoy Creek","McCr6","A","6 m","","Coarse woody debris",2,""
"55","2024-07-29","McCoy Creek","McCr6","A","6 m","","Betula nana",0.1,""
"56","2024-07-29","McCoy Creek","McCr6","A","6 m","","Calamagrostis canadensis",0.1,""
"57","2024-07-28","McCoy Creek","McCr1","C","6 m","","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]",3,""
"58","2024-07-28","McCoy Creek","McCr1","C","6 m","","Vaccinium uliginosum",2,""
"59","2024-07-28","McCoy Creek","McCr1","C","6 m","","Vaccinium vitis-idaea",0.1,""
"60","2024-07-28","McCoy Creek","McCr1","C","6 m","","Eriophorum vaginatum",1,""
"61","2024-07-28","McCoy Creek","McCr1","C","6 m","","Rubus chamaemorus",6,""
"62","2024-07-28","McCoy Creek","McCr1","C","6 m","","Coarse woody debris",2,""
"63","2024-07-28","McCoy Creek","McCr1","C","6 m","","Fine Woody Debris",3,""
"64","2024-07-28","McCoy Creek","McCr1","C","6 m","","Picea mariana",0.1,""
"65","2024-08-05","Dry Creek","DrCr2","B","3 m","","Calamagrostis canadensis",4,""
"66","2024-08-05","Dry Creek","DrCr2","B","3 m","","Carex spp",3,""
"67","2024-08-05","Dry Creek","DrCr2","B","3 m","","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]",12,""
"68","2024-08-05","Dry Creek","DrCr2","B","3 m","","Betula nana",35,""
"69","2024-08-05","Dry Creek","DrCr2","B","3 m","","Vaccinium uliginosum",24,""
"70","2024-08-05","Dry Creek","DrCr2","B","3 m","","Coarse woody debris",0.1,""
"71","2024-08-05","Dry Creek","DrCr2","B","3 m","","Equisetum scirpoides",0.1,""
"72","2024-08-05","Dry Creek","DrCr2","B","3 m","","Picea mariana",0.1,""
"73","2024-08-05","Dry Creek","DrCr2","B","3 m","","Salix spp",0.1,"Not rooted in plot"
"74","2024-07-31","Nugget Creek","NuCr6","C","3 m","","Epilobium angustifolium [Chamerion angustifolium]",25,""
"75","2024-07-31","Nugget Creek","NuCr6","C","3 m","","Coarse woody debris",27,""
"76","2024-07-31","Nugget Creek","NuCr6","C","3 m","","Fine Woody Debris",2,""
"77","2024-07-17","Shovel Creek","ShCr6","B","3 m","","Cornus canadensis",6,""
"78","2024-07-17","Shovel Creek","ShCr6","B","3 m","","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]",4,""
"79","2024-07-17","Shovel Creek","ShCr6","B","3 m","","Vaccinium uliginosum",5,""
"80","2024-07-17","Shovel Creek","ShCr6","B","3 m","","Vaccinium vitis-idaea",8,""
"81","2024-07-17","Shovel Creek","ShCr6","B","3 m","","Spiraea beauverdiana (stevenii)",3,""
"82","2024-07-17","Shovel Creek","ShCr6","B","3 m","","Calamagrostis canadensis",4,""
"83","2024-07-17","Shovel Creek","ShCr6","B","3 m","","Litter - herbaceous",2,""
"84","2024-07-17","Shovel Creek","ShCr6","B","3 m","","Betula nana",25,""
"85","2024-07-17","Shovel Creek","ShCr6","B","3 m","","Coarse woody debris",2,""
"86","2024-07-17","Shovel Creek","ShCr6","B","3 m","","Fine Woody Debris",3,""
"87","2024-08-03","Teklanika ","Tekl2","A","3 m","","Equisetum arvense",6,""
"88","2024-08-03","Teklanika ","Tekl2","A","3 m","","Betula neoalaskana",0.1,""
"89","2024-08-03","Teklanika ","Tekl2","A","3 m","","Carex spp",2,""
"90","2024-08-03","Teklanika ","Tekl2","A","3 m","","Epilobium angustifolium [Chamerion angustifolium]",17,""
"91","2024-08-03","Teklanika ","Tekl2","A","3 m","","Coarse woody debris",10,""
"92","2024-08-03","Teklanika ","Tekl2","A","3 m","","Fine Woody Debris",0.1,""
"93","2024-08-03","Teklanika ","Tekl2","A","3 m","","Equisetum scirpoides",0.1,""
"94","2024-07-16","Shovel Creek","ShCr2","C","6 m","","Vaccinium uliginosum",2,""
"95","2024-07-16","Shovel Creek","ShCr2","C","6 m","","Vaccinium vitis-idaea",2,""
"96","2024-07-16","Shovel Creek","ShCr2","C","6 m","","Epilobium angustifolium [Chamerion angustifolium]",3,""
"97","2024-07-16","Shovel Creek","ShCr2","C","6 m","","Salix spp",2,""
"98","2024-07-16","Shovel Creek","ShCr2","C","6 m","","Calamagrostis canadensis",4,""
"99","2024-07-16","Shovel Creek","ShCr2","C","6 m","","Coarse woody debris",14,""
"100","2024-07-16","Shovel Creek","ShCr2","C","6 m","","Fine Woody Debris",3,""
"101","2024-07-25","Haystack","Hays5","A","9 m","","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]",4,""
"102","2024-07-25","Haystack","Hays5","A","9 m","","Cornus canadensis",1,""
"103","2024-07-25","Haystack","Hays5","A","9 m","","Betula nana",1,""
"104","2024-07-25","Haystack","Hays5","A","9 m","","Calamagrostis canadensis",0.1,""
"105","2024-07-25","Haystack","Hays5","A","9 m","","Coarse woody debris",0.1,""
"106","2024-07-25","Haystack","Hays5","A","9 m","","Fine Woody Debris",1,""
"107","2024-07-25","Haystack","Hays5","A","9 m","","Vaccinium vitis-idaea",0.1,""
"108","2024-07-22","Hess Creek","HeCr1","C","3 m","","Rosa acicularis",10,""
"109","2024-07-22","Hess Creek","HeCr1","C","3 m","","Coarse woody debris",2,""
"110","2024-07-22","Hess Creek","HeCr1","C","3 m","","Fine Woody Debris",0.1,""
"111","2024-07-22","Hess Creek","HeCr1","C","3 m","","Calamagrostis canadensis",55,""
"112","2024-07-22","Hess Creek","HeCr1","C","3 m","","Grass litter",10,""
"113","2024-07-22","Hess Creek","HeCr1","C","3 m","","Epilobium angustifolium [Chamerion angustifolium]",1,""
"114","2024-07-22","Hess Creek","HeCr1","C","3 m","","Betula nana",0.1,""
"115","2024-07-22","Hess Creek","HeCr1","C","3 m","","Rubus idaeus",0.1,""
"116","2024-07-22","Hess Creek","HeCr1","C","3 m","","Unknown grass 1",2,""
"117","2024-08-02","Teklanika ","Tekl5","A","3 m","","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]",2,""
"118","2024-08-02","Teklanika ","Tekl5","A","3 m","","Eriophorum vaginatum",5,""
"119","2024-08-02","Teklanika ","Tekl5","A","3 m","","Salix spp",6,""
"120","2024-08-02","Teklanika ","Tekl5","A","3 m","","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]",2,""
"121","2024-08-02","Teklanika ","Tekl5","A","3 m","","Vaccinium uliginosum",1,""
"122","2024-08-02","Teklanika ","Tekl5","A","3 m","","Equisetum palustre",2,""
"123","2024-08-02","Teklanika ","Tekl5","A","3 m","","Coarse woody debris",0.1,""
"124","2024-08-03","Teklanika ","Tekl1","B","6 m","","Saussurea angustifolia",3,""
"125","2024-08-03","Teklanika ","Tekl1","B","6 m","","Calamagrostis canadensis",0.1,""
"126","2024-08-03","Teklanika ","Tekl1","B","6 m","","Equisetum scirpoides",0.1,""
"127","2024-08-03","Teklanika ","Tekl1","B","6 m","","Salix spp",6,""
"128","2024-08-03","Teklanika ","Tekl1","B","6 m","","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]",1,""
"129","2024-08-03","Teklanika ","Tekl1","B","6 m","","Vaccinium vitis-idaea",0.1,""
"130","2024-08-03","Teklanika ","Tekl1","B","6 m","","Vaccinium uliginosum",2,""
"131","2024-08-03","Teklanika ","Tekl1","B","6 m","","Coarse woody debris",2,""
"132","2024-08-03","Teklanika ","Tekl1","B","6 m","","Equisetum arvense",0.1,""
"133","2024-07-18","Lost Horse","LoHo5","C","9 m","","Salix spp",3,""
"134","2024-07-18","Lost Horse","LoHo5","C","9 m","","Coarse woody debris",1,""
"135","2024-07-18","Lost Horse","LoHo5","C","9 m","","Fine Woody Debris",1,""
"136","2024-08-04","Munson Creek","MuCr4","A","3 m","","Vaccinium vitis-idaea",0.1,""
"137","2024-08-04","Munson Creek","MuCr4","A","3 m","","Picea mariana",0.1,""
"138","2024-08-04","Munson Creek","MuCr4","A","3 m","","Epilobium angustifolium [Chamerion angustifolium]",15,""
"139","2024-08-04","Munson Creek","MuCr4","A","3 m","","Coarse woody debris",6,""
"140","2024-08-04","Munson Creek","MuCr4","A","3 m","","Fine Woody Debris",1,""
"141","2024-08-04","Munson Creek","MuCr4","A","3 m","","Ledum palustre subsp. decumbens [Rhododendron tomentosum]",0.1,""
"142","2024-07-15","Lost Horse","LoHo1","B","3 m","","Coarse woody debris",7,""
"143","2024-07-15","Lost Horse","LoHo1","B","3 m","","Fine Woody Debris",2,""
"144","2024-07-15","Lost Horse","LoHo1","B","3 m","","Vaccinium uliginosum",0.1,""
"145","2024-07-23","Hess Creek","HeCr4","B","3 m","","Rubus chamaemorus",3,""
"146","2024-07-23","Hess Creek","HeCr4","B","3 m","","Salix spp",3,""
"147","2024-07-23","Hess Creek","HeCr4","B","3 m","","Vaccinium vitis-idaea",1,""
"148","2024-07-23","Hess Creek","HeCr4","B","3 m","","Vaccinium uliginosum",3,""
"149","2024-07-23","Hess Creek","HeCr4","B","3 m","","Carex spp",0.1,""
"150","2024-07-23","Hess Creek","HeCr4","B","3 m","","Calamagrostis canadensis",4,""
"151","2024-07-23","Hess Creek","HeCr4","B","3 m","","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]",17,""
"152","2024-07-23","Hess Creek","HeCr4","B","3 m","","Arctostaphylos rubra [Arctous rubra]",25,""
"153","2024-07-23","Hess Creek","HeCr4","B","3 m","","Equisetum scirpoides",3,""
"154","2024-07-23","Hess Creek","HeCr4","B","3 m","","Equisetum arvense",1,""
"155","2024-07-23","Hess Creek","HeCr4","B","3 m","","Coarse woody debris",6,""
"156","2024-07-23","Hess Creek","HeCr4","B","3 m","","Fine Woody Debris",2,""
"157","2024-07-23","Hess Creek","HeCr4","B","3 m","","Grass litter",2,""
"158","2024-07-23","Hess Creek","HeCr4","B","3 m","","Betula neoalaskana",0.1,""
"159","2024-07-23","Hess Creek","HeCr4","B","3 m","","Picea mariana",0.1,""
"160","2024-08-01","Munson Creek","MuCr2","C","6 m","","Epilobium angustifolium [Chamerion angustifolium]",2,""
"161","2024-08-01","Munson Creek","MuCr2","C","6 m","","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]",1,""
"162","2024-08-01","Munson Creek","MuCr2","C","6 m","","Calamagrostis canadensis",3,""
"163","2024-08-01","Munson Creek","MuCr2","C","6 m","","Coarse woody debris",2,""
"164","2024-08-01","Munson Creek","MuCr2","C","6 m","","Fine Woody Debris",0.1,""
"165","2024-08-01","Munson Creek","MuCr2","C","6 m","","Polygonum alpinum",1,""
"166","2024-08-01","Munson Creek","MuCr2","C","6 m","","Picea mariana",0.1,""
"167","2024-08-01","Munson Creek","MuCr2","C","6 m","","Vaccinium vitis-idaea",0.1,""
"168","2024-08-01","Munson Creek","MuCr2","C","6 m","","Betula nana",0.1,""
"169","2024-08-01","Munson Creek","MuCr3","B","3 m","","Vaccinium vitis-idaea",0.1,""
"170","2024-08-01","Munson Creek","MuCr3","B","3 m","","Eriophorum vaginatum",4,""
"171","2024-08-01","Munson Creek","MuCr3","B","3 m","","Carex spp",1,""
"172","2024-08-01","Munson Creek","MuCr3","B","3 m","","Equisetum sylvaticum",0.1,""
"173","2024-08-01","Munson Creek","MuCr3","B","3 m","","Betula neoalaskana",0.1,""
"174","2024-08-01","Munson Creek","MuCr3","B","3 m","","Calamagrostis canadensis",7,""
"175","2024-08-01","Munson Creek","MuCr3","B","3 m","","Grass litter",6,""
"176","2024-08-01","Munson Creek","MuCr3","B","3 m","","Coarse woody debris",3,""
"177","2024-08-01","Munson Creek","MuCr3","B","3 m","","Fine Woody Debris",2,""
"178","2024-08-01","Munson Creek","MuCr3","B","3 m","","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]",2,""
"179","2024-08-01","Munson Creek","MuCr3","B","3 m","","Ledum palustre subsp. decumbens [Rhododendron tomentosum]",2,""
"180","2024-07-14","Haystack","Hays2","C","3 m","","Betula nana",1,""
"181","2024-07-14","Haystack","Hays2","C","3 m","","Calamagrostis canadensis",70,""
"182","2024-07-14","Haystack","Hays2","C","3 m","","Coarse woody debris",20,""
"183","2024-07-14","Haystack","Hays2","C","3 m","","Vaccinium vitis-idaea",3,""
"184","2024-07-14","Haystack","Hays2","C","3 m","","Cornus canadensis",8,""
"185","2024-07-14","Haystack","Hays2","C","3 m","","Vaccinium uliginosum",1,""
"186","2024-07-14","Haystack","Hays2","C","3 m","","Spiraea beauverdiana (stevenii)",2,""
"187","2024-07-14","Haystack","Hays2","C","3 m","","Epilobium angustifolium [Chamerion angustifolium]",2,""
"188","2024-07-14","Haystack","Hays2","C","3 m","","Fine Woody Debris",2,""
"189","2024-08-05","Dry Creek","DrCr3","A","3 m","","Coarse woody debris",2,""
"190","2024-08-05","Dry Creek","DrCr3","A","3 m","","Vaccinium vitis-idaea",0.1,""
"191","2024-08-05","Dry Creek","DrCr3","A","3 m","","Rubus chamaemorus",0.1,""
"192","2024-08-05","Dry Creek","DrCr3","A","3 m","","Eriophorum vaginatum",27,""
"193","2024-08-05","Dry Creek","DrCr3","A","3 m","","Fine Woody Debris",0.1,""
"194","2024-08-05","Dry Creek","DrCr3","A","3 m","","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]",22,""
"195","2024-08-05","Dry Creek","DrCr3","A","3 m","","Calamagrostis canadensis",3,""
"196","2024-08-05","Dry Creek","DrCr3","A","3 m","","Grass litter",2,""
"197","2024-08-05","Dry Creek","DrCr3","A","3 m","","Vaccinium uliginosum",0.1,""
"198","2024-08-05","Dry Creek","DrCr3","A","3 m","","Picea mariana",0.1,""
"199","2024-08-02","Teklanika ","Tekl5","B","6 m","","Vaccinium vitis-idaea",1,""
"200","2024-08-02","Teklanika ","Tekl5","B","6 m","","Rubus chamaemorus",0.1,""
"201","2024-08-02","Teklanika ","Tekl5","B","6 m","","Vaccinium uliginosum",3,""
"202","2024-08-02","Teklanika ","Tekl5","B","6 m","","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]",3,""
"203","2024-08-02","Teklanika ","Tekl5","B","6 m","","Solidago spp",6,""
"204","2024-08-02","Teklanika ","Tekl5","B","6 m","","Coarse woody debris",0.1,""
"205","2024-08-02","Teklanika ","Tekl5","B","6 m","","Calamagrostis canadensis",0.1,""
"206","2024-08-02","Teklanika ","Tekl5","B","6 m","","Carex spp",0.1,""
"207","2024-08-02","Teklanika ","Tekl5","B","6 m","","Equisetum pratense",4,""
"208","2024-07-30","Nugget Creek","NuCr2","C","3 m","","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]",33,""
"209","2024-07-30","Nugget Creek","NuCr2","C","3 m","","Calamagrostis canadensis",8,""
"210","2024-07-30","Nugget Creek","NuCr2","C","3 m","","Vaccinium vitis-idaea",8,""
"211","2024-07-30","Nugget Creek","NuCr2","C","3 m","","Epilobium angustifolium [Chamerion angustifolium]",1,""
"212","2024-07-30","Nugget Creek","NuCr2","C","3 m","","Coarse woody debris",15,""
"213","2024-07-30","Nugget Creek","NuCr2","C","3 m","","Fine Woody Debris",2,""
"214","2024-07-30","Nugget Creek","NuCr2","C","3 m","","Grass litter",2,""
"215","2024-07-25","Haystack","Hays5","B","6 m","","Calamagrostis canadensis",4,""
"216","2024-07-25","Haystack","Hays5","B","6 m","","Salix spp",6,"Rooted out of plot"
"217","2024-07-25","Haystack","Hays5","B","6 m","","Coarse woody debris",8,""
"218","2024-07-25","Haystack","Hays5","B","6 m","","Fine Woody Debris",15,""
"219","2024-07-25","Haystack","Hays5","B","6 m","","Vaccinium vitis-idaea",0.1,""
"220","2024-07-30","Nugget Creek","NuCr1","A","3 m","","Salix spp",70,""
"221","2024-07-30","Nugget Creek","NuCr1","A","3 m","","Coarse woody debris",25,""
"222","2024-07-30","Nugget Creek","NuCr1","A","3 m","","Epilobium angustifolium [Chamerion angustifolium]",2,""
"223","2024-07-30","Nugget Creek","NuCr1","A","3 m","","Carex spp",1,""
"224","2024-07-30","Nugget Creek","NuCr1","A","3 m","","Fine Woody Debris",1,""
"225","2024-07-30","Nugget Creek","NuCr1","A","3 m","","Betula neoalaskana",0.1,""
"226","2024-07-30","Nugget Creek","NuCr1","A","3 m","","Picea mariana",0.1,""
"227","2024-07-30","Nugget Creek","NuCr1","A","3 m","","Calamagrostis canadensis",1,""
"228","2024-07-16","Shovel Creek","ShCr1","A","3 m","","Vaccinium uliginosum",8,""
"229","2024-07-16","Shovel Creek","ShCr1","A","3 m","","Vaccinium vitis-idaea",4,""
"230","2024-07-16","Shovel Creek","ShCr1","A","3 m","","Oxycoccus microcarpos [Vaccinium oxycoccos]",3,""
"231","2024-07-16","Shovel Creek","ShCr1","A","3 m","","Equisetum sylvaticum",12,""
"232","2024-07-16","Shovel Creek","ShCr1","A","3 m","","Lycopodium annotinum",0.1,""
"233","2024-07-16","Shovel Creek","ShCr1","A","3 m","","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]",60,""
"234","2024-07-16","Shovel Creek","ShCr1","A","3 m","","Coarse woody debris",5,""
"235","2024-07-16","Shovel Creek","ShCr1","A","3 m","","Picea mariana",0.1,"Very small, difficult to identify to species"
"236","2024-07-16","Shovel Creek","ShCr1","A","3 m","","Betula neoalaskana",0.1,""
"237","2024-07-16","Shovel Creek","ShCr1","A","3 m","","Fine Woody Debris",2,""
"238","2024-07-16","Shovel Creek","ShCr1","A","3 m","","Polygonum alpinum",0.1,""
"239","2024-08-03","Teklanika ","Tekl3","C","6 m","","Arctostaphylos rubra [Arctous rubra]",2,""
"240","2024-08-03","Teklanika ","Tekl3","C","6 m","","Rosa acicularis",3,""
"241","2024-08-03","Teklanika ","Tekl3","C","6 m","","Epilobium angustifolium [Chamerion angustifolium]",6,""
"242","2024-08-03","Teklanika ","Tekl3","C","6 m","","Equisetum scirpoides",1,""
"243","2024-08-03","Teklanika ","Tekl3","C","6 m","","Calamagrostis canadensis",0.1,""
"244","2024-08-03","Teklanika ","Tekl3","C","6 m","","Equisetum arvense",4,""
"245","2024-08-03","Teklanika ","Tekl3","C","6 m","","Vaccinium uliginosum",0.1,""
"246","2024-08-03","Teklanika ","Tekl3","C","6 m","","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]",1,""
"247","2024-08-03","Teklanika ","Tekl3","C","6 m","","Betula nana",23,""
"248","2024-08-03","Teklanika ","Tekl3","C","6 m","","Salix spp",5,""
"249","2024-08-03","Teklanika ","Tekl3","C","6 m","","Iris setosa",1,""
"250","2024-08-03","Teklanika ","Tekl3","C","6 m","","Potentilla fruticose [Dasiphora fruticosa]",0.1,""
"251","2024-08-03","Teklanika ","Tekl3","C","6 m","","Coarse woody debris",0.1,""
"252","2024-08-03","Teklanika ","Tekl3","C","6 m","","Rubus chamaemorus",0.1,""
"253","2024-07-23","Hess Creek","HeCr6","A","9 m","","Arctostaphylos rubra [Arctous rubra]",3,""
"254","2024-07-23","Hess Creek","HeCr6","A","9 m","","Rubus chamaemorus",1,""
"255","2024-07-23","Hess Creek","HeCr6","A","9 m","","Vaccinium uliginosum",16,""
"256","2024-07-23","Hess Creek","HeCr6","A","9 m","","Carex spp",0.1,""
"257","2024-07-23","Hess Creek","HeCr6","A","9 m","","Salix spp",0.1,""
"258","2024-07-23","Hess Creek","HeCr6","A","9 m","","Equisetum arvense",1,""
"259","2024-07-23","Hess Creek","HeCr6","A","9 m","","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]",13,""
"260","2024-07-23","Hess Creek","HeCr6","A","9 m","","Vaccinium vitis-idaea",2,""
"261","2024-07-23","Hess Creek","HeCr6","A","9 m","","Picea mariana",1,""
"262","2024-07-23","Hess Creek","HeCr6","A","9 m","","Equisetum scirpoides",15,""
"263","2024-07-23","Hess Creek","HeCr6","A","9 m","","Calamagrostis canadensis",0.1,""
"264","2024-07-23","Hess Creek","HeCr6","A","9 m","","Coarse woody debris",0.1,""
"265","2024-07-23","Hess Creek","HeCr6","A","9 m","","Fine Woody Debris",1,""
"266","2024-07-15","Lost Horse","LoHo3","A","3 m","","Vaccinium uliginosum",0.1,""
"267","2024-08-01","Munson Creek","MuCr1","B","3 m","","Rosa acicularis",10,""
"268","2024-08-01","Munson Creek","MuCr1","B","3 m","","Vaccinium uliginosum",8,""
"269","2024-08-01","Munson Creek","MuCr1","B","3 m","","Salix spp",2,""
"270","2024-08-01","Munson Creek","MuCr1","B","3 m","","Rubus chamaemorus",0.1,""
"271","2024-08-01","Munson Creek","MuCr1","B","3 m","","Equisetum sylvaticum",0.1,""
"272","2024-08-01","Munson Creek","MuCr1","B","3 m","","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]",5,""
"273","2024-08-01","Munson Creek","MuCr1","B","3 m","","Calamagrostis canadensis",18,""
"274","2024-08-01","Munson Creek","MuCr1","B","3 m","","Ledum palustre subsp. decumbens [Rhododendron tomentosum]",1,""
"275","2024-08-01","Munson Creek","MuCr1","B","3 m","","Epilobium angustifolium [Chamerion angustifolium]",1,""
"276","2024-08-01","Munson Creek","MuCr1","B","3 m","","Fine Woody Debris",0.1,""
"277","2024-08-01","Munson Creek","MuCr1","B","3 m","","Coarse woody debris",0.1,""
"278","2024-08-01","Munson Creek","MuCr1","B","3 m","","Vaccinium vitis-idaea",0.1,""
"279","2024-07-22","Hess Creek","HeCr1","A","6 m","","Coarse woody debris",5,""
"280","2024-07-22","Hess Creek","HeCr1","A","6 m","","Fine Woody Debris",2,""
"281","2024-07-22","Hess Creek","HeCr1","A","6 m","","Rubus idaeus",4,""
"282","2024-07-22","Hess Creek","HeCr1","A","6 m","","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]",2,""
"283","2024-07-22","Hess Creek","HeCr1","A","6 m","","Rosa acicularis",1,""
"284","2024-07-22","Hess Creek","HeCr1","A","6 m","","Calamagrostis canadensis",30,""
"285","2024-07-22","Hess Creek","HeCr1","A","6 m","","Grass litter",25,""
"286","2024-07-22","Hess Creek","HeCr1","A","6 m","","Alnus viridis",40,""
"287","2024-08-06","Dry Creek","DrCr4","B","6 m","","Epilobium angustifolium [Chamerion angustifolium]",10,""
"288","2024-08-06","Dry Creek","DrCr4","B","6 m","","Equisetum arvense",1,""
"289","2024-08-06","Dry Creek","DrCr4","B","6 m","","Equisetum scirpoides",1,""
"290","2024-08-06","Dry Creek","DrCr4","B","6 m","","Galium boreale",2,""
"291","2024-08-06","Dry Creek","DrCr4","B","6 m","","Vaccinium vitis-idaea",1,""
"292","2024-08-06","Dry Creek","DrCr4","B","6 m","","Calamagrostis stricta",30,""
"293","2024-08-06","Dry Creek","DrCr4","B","6 m","","Fine Woody Debris",0.1,""
