"","date","project","fire_scar","site","plot","location","site_notes","shrub_regen_present","shrub_regen_species","shrub_regen_count","shrub_notes","s_bd1","s_bd2","s_bd3"
"34","2024-07-30","CCE","Nugget Creek","NuCr1","A","3 m","","yes","Salix",13,"",1.23,1.55,1.72
"35","2024-07-16","CCE","Shovel Creek","ShCr1","A","3 m","","no",NA,NA,NA,NA,NA,NA
"36","2024-08-03","CCE","Teklanika ","Tekl3","C","6 m","","yes","Salix",6,"",0.37,0.22,0.2
"37","2024-08-03","CCE","Teklanika ","Tekl3","C","6 m","","yes","Salix",3,"",0.3,0.15,0.29
"38","2024-07-23","CCE","Hess Creek","HeCr6","A","9 m","","no",NA,NA,NA,NA,NA,NA
"39","2024-07-15","CCE","Lost Horse","LoHo3","A","3 m","","no",NA,NA,NA,NA,NA,NA
"40","2024-08-01","CCE","Munson Creek","MuCr1","B","3 m","","yes","Salix",1,"",1.04,NA,NA
"41","2024-07-22","CCE","Hess Creek","HeCr1","A","6 m","","yes","Alder",10,"Some above dbh",1.97,1.28,1.59
"42","2024-08-06","CCE","Dry Creek","DrCr4","B","6 m","","no",NA,NA,NA,NA,NA,NA
"43","2024-07-29","CCE","McCoy Creek","McCr2","B","6 m","","no",NA,NA,NA,NA,NA,NA
"44","2024-08-06","CCE","Dry Creek","DrCr6","C","6 m","","no",NA,NA,NA,NA,NA,NA
"45","2024-08-06","CCE","Dry Creek","DrCr4","A","3 m","","no",NA,NA,NA,NA,NA,NA
"46","2024-07-28","CCE","McCoy Creek","McCr5","A","6 m","","no",NA,NA,NA,NA,NA,NA
"47","2024-08-02","CCE","Teklanika ","Tekl6","C","6 m","","yes","Salix",2,"",0.27,0.26,NA
"48","2024-07-23","CCE","Hess Creek","HeCr6","C","3 m","","no",NA,NA,NA,NA,NA,NA
"49","2024-07-15","CCE","Lost Horse","LoHo2","B","3 m","","no",NA,NA,NA,NA,NA,NA
"50","2024-08-03","CCE","Teklanika ","Tekl3","A","6 m","","yes","Salix",4,"",0.28,0.17,0.11
"51","2024-07-28","CCE","McCoy Creek","McCr5","B","3 m","","no",NA,NA,NA,NA,NA,NA
"52","2024-08-04","CCE","Munson Creek","MuCr5","A","6 m","","yes","Salix",6,"",1.1,0.71,0.56
"53","2024-08-03","CCE","Teklanika ","Tekl1","A","3 m","","yes","Salix",2,"",0.25,0.11,NA
"54","2024-08-03","CCE","Teklanika ","Tekl1","A","3 m","","yes","Salix",5,"",0.22,0.2,0.23
"55","2024-08-03","CCE","Teklanika ","Tekl1","A","3 m","","yes","Salix",2,"",0.14,0.21,NA
"56","2024-07-30","CCE","Nugget Creek","NuCr2","B","6 m","","no",NA,NA,NA,NA,NA,NA
"57","2024-07-23","CCE","Hess Creek","HeCr4","B","9 m","","no",NA,NA,NA,NA,NA,NA
"58","2024-07-14","CCE","Haystack","Hays1","C","9 m","","no",NA,NA,NA,NA,NA,NA
"59","2024-08-03","CCE","Teklanika ","Tekl2","B","6 m","","no",NA,NA,NA,NA,NA,NA
"60","2024-07-15","CCE","Lost Horse","LoHo3","C","3 m","","no",NA,NA,NA,NA,NA,NA
"61","2024-07-30","CCE","Nugget Creek","NuCr3","B","3 m","","yes","Salix",3,"",0.65,0.46,0.57
"62","2024-07-30","CCE","Nugget Creek","NuCr3","B","3 m","","yes","Salix",2,"",0.69,1.21,NA
"63","2024-07-18","CCE","Lost Horse","LoHo6","B","3 m","","no",NA,NA,NA,NA,NA,NA
"64","2024-07-25","CCE","Haystack","Hays6","A","6 m","","yes","Salix",11,"",0.8,1.52,0.93
"65","2024-07-15","CCE","Lost Horse","LoHo2","B","9 m","","no",NA,NA,NA,NA,NA,NA
"66","2024-07-14","CCE","Haystack","Hays2","B","3 m","","no",NA,NA,NA,NA,NA,NA
"67","2024-07-17","CCE","Shovel Creek","ShCr6","B","6 m","","no",NA,NA,NA,NA,NA,NA
"68","2024-07-22","CCE","Hess Creek","HeCr2","C","9 m","","no",NA,NA,NA,NA,NA,NA
"69","2024-07-22","CCE","Hess Creek","HeCr1","B","3 m","","no",NA,NA,NA,NA,NA,NA
"70","2024-07-31","CCE","Nugget Creek","NuCr4","A","6 m","","no",NA,NA,NA,NA,NA,NA
"71","2024-07-28","CCE","McCoy Creek","McCr4","A","6 m","","no",NA,NA,NA,NA,NA,NA
"72","2024-08-06","CCE","Dry Creek","DrCr5","B","6 m","","no",NA,NA,NA,NA,NA,NA
"73","2024-08-06","CCE","Dry Creek","DrCr5","C","3 m","","no",NA,NA,NA,NA,NA,NA
"74","2024-07-25","CCE","Haystack","Hays4","C","6 m","","no",NA,NA,NA,NA,NA,NA
"75","2024-07-15","CCE","Lost Horse","LoHo1","B","9 m","","no",NA,NA,NA,NA,NA,NA
"76","2024-08-02","CCE","Teklanika ","Tekl6","A","3 m","","no",NA,NA,NA,NA,NA,NA
"77","2024-07-18","CCE","Lost Horse","LoHo6","A","9 m","","no",NA,NA,NA,NA,NA,NA
"78","2024-07-14","CCE","Haystack","Hays2","A","6 m","","no",NA,NA,NA,NA,NA,NA
"79","2024-07-25","CCE","Haystack","Hays4","B","6 m","","no",NA,NA,NA,NA,NA,NA
"80","2024-07-30","CCE","Nugget Creek","NuCr3","B","6 m","","yes","Salix",1,"",0.77,NA,NA
"81","2024-07-31","CCE","Nugget Creek","NuCr5","A","6 m","","no",NA,NA,NA,NA,NA,NA
"82","2024-07-16","CCE","Shovel Creek","ShCr3","C","6 m","","no",NA,NA,NA,NA,NA,NA
"83","2024-08-07","CCE","McCoy Creek","McCr3","A","6 m","","no",NA,NA,NA,NA,NA,NA
"84","2024-07-23","CCE","Hess Creek","HeCr6","B","6 m","","no",NA,NA,NA,NA,NA,NA
"85","2024-07-18","CCE","Lost Horse","LoHo6","A","3 m","","no",NA,NA,NA,NA,NA,NA
"86","2024-07-17","CCE","Shovel Creek","ShCr5","C","3 m","","no",NA,NA,NA,NA,NA,NA
"87","2024-07-18","CCE","Lost Horse","LoHo6","C","6 m","","no",NA,NA,NA,NA,NA,NA
"88","2024-08-02","CCE","Teklanika ","Tekl5","B","3 m","","no",NA,NA,NA,NA,NA,NA
"89","2024-07-15","CCE","Lost Horse","LoHo1","A","6 m","","no",NA,NA,NA,NA,NA,NA
"90","2024-07-30","CCE","Nugget Creek","NuCr1","A","6 m","","yes","Salix",1,"",1.83,NA,NA
"91","2024-07-16","CCE","Shovel Creek","ShCr2","B","3 m","","no",NA,NA,NA,NA,NA,NA
"92","2024-07-25","CCE","Haystack","Hays6","C","3 m","","no",NA,NA,NA,NA,NA,NA
"93","2024-07-16","CCE","Shovel Creek","ShCr3","A","6 m","","no",NA,NA,NA,NA,NA,NA
"94","2024-07-17","CCE","Shovel Creek","ShCr5","C","9 m","","no",NA,NA,NA,NA,NA,NA
"95","2024-07-25","CCE","Haystack","Hays4","C","9 m","","no",NA,NA,NA,NA,NA,NA
"96","2024-08-03","CCE","Teklanika ","Tekl2","C","6 m","","no",NA,NA,NA,NA,NA,NA
"97","2024-07-16","CCE","Shovel Creek","ShCr4","A","6 m","","no",NA,NA,NA,NA,NA,NA
"98","2024-07-28","CCE","McCoy Creek","McCr1","B","3 m","","no",NA,NA,NA,NA,NA,NA
"99","2024-07-15","CCE","Lost Horse","LoHo3","B","6 m","","no",NA,NA,NA,NA,NA,NA
"100","2024-07-22","CCE","Shovel Creek","ShCr6","C","6 m","","yes","Salix",1,"",0.58,NA,NA
"101","2024-07-22","CCE","Shovel Creek","ShCr6","C","6 m","","yes","Salix",1,"",0.57,NA,NA
"102","2024-07-22","CCE","Shovel Creek","ShCr6","C","6 m","","yes","Salix",1,"",0.45,NA,NA
"103","2024-07-22","CCE","Shovel Creek","ShCr6","C","6 m","","yes","Salix",3,"",0.45,0.57,0.46
"104","2024-07-22","CCE","Shovel Creek","ShCr6","C","6 m","","yes","Salix",1,"",0.12,NA,NA
"105","2024-07-22","CCE","Shovel Creek","ShCr6","C","6 m","","yes","Salix",1,"",0.34,NA,NA
"106","2024-07-22","CCE","Shovel Creek","ShCr6","C","6 m","","yes","Salix",1,"",0.12,NA,NA
"107","2024-07-22","CCE","Shovel Creek","ShCr6","C","6 m","","yes","Salix",1,"",0.11,NA,NA
"108","2024-07-17","CCE","Shovel Creek","ShCr6","C","9 m","","no",NA,NA,NA,NA,NA,NA
"109","2024-08-02","CCE","Teklanika ","Tekl4","A","3 m","","yes","Salix",4,"",0.37,0.35,0.3
"110","2024-08-02","CCE","Teklanika ","Tekl4","A","3 m","","yes","Salix",3,"",0.19,0.2,0.24
"111","2024-07-16","CCE","Shovel Creek","ShCr2","C","9 m","","no",NA,NA,NA,NA,NA,NA
"112","2024-08-01","CCE","Munson Creek","MuCr3","C","6 m","","no",NA,NA,NA,NA,NA,NA
"113","2024-08-02","CCE","Teklanika ","Tekl4","C","3 m","","yes","Salix",12,"",0.15,0.29,0.19
"114","2024-07-18","CCE","Lost Horse","LoHo4 ","C","3 m","","yes","Salix",4,"",0.37,0.26,0.3
"115","2024-07-18","CCE","Lost Horse","LoHo4 ","C","3 m","","yes","Salix",16,"",0.64,0.44,0.35
"116","2024-07-18","CCE","Lost Horse","LoHo4 ","B","6 m","","yes","Salix",6,"",0.44,0.33,0.25
"117","2024-07-18","CCE","Lost Horse","LoHo4 ","B","6 m","","yes","Salix",12,"",0.3,0.52,0.22
"118","2024-07-18","CCE","Lost Horse","LoHo4 ","B","6 m","","yes","Salix",10,"",0.42,0.29,0.39
"119","2024-08-06","CCE","Dry Creek","DrCr4","A","6 m","","no",NA,NA,NA,NA,NA,NA
"120","2024-07-25","CCE","Haystack","Hays4","A","9 m","","no",NA,NA,NA,NA,NA,NA
"121","2024-07-22","CCE","Hess Creek","HeCr3","A","9 m","","no",NA,NA,NA,NA,NA,NA
"122","2024-08-02","CCE","Teklanika ","Tekl6","B","6 m","","yes","Salix",1,"",0.15,NA,NA
"123","2024-08-01","CCE","Munson Creek","MuCr1","C","6 m","","no",NA,NA,NA,NA,NA,NA
"124","2024-07-25","CCE","Haystack","Hays5","C","6 m","","yes","Salix",1,"",1.29,NA,NA
"125","2024-07-25","CCE","Haystack","Hays5","C","6 m","","yes","Salix",7,"",0.64,1.15,0.93
"126","2024-08-02","CCE","Teklanika ","Tekl5","A","6 m","","no",NA,NA,NA,NA,NA,NA
"127","2024-07-22","CCE","Hess Creek","HeCr3","B","9 m","","yes","Salix",1,"",0.15,NA,NA
"128","2024-07-22","CCE","Hess Creek","HeCr2","A","6 m","","yes","Salix",1,"",0.82,NA,NA
"129","2024-07-22","CCE","Hess Creek","HeCr2","A","6 m","","yes","Salix",1,"",0.52,NA,NA
"130","2024-07-22","CCE","Hess Creek","HeCr2","A","6 m","","yes","Salix",2,"",1.46,1.2,NA
"131","2024-07-23","CCE","Hess Creek","HeCr5","C","3 m","","yes","Salix",1,"",0.1,NA,NA
"132","2024-07-25","CCE","Haystack","Hays4","A","6 m","","no",NA,NA,NA,NA,NA,NA
"133","2024-07-31","CCE","Nugget Creek","NuCr6","B","3 m","","yes","Salix",1,"",0.14,NA,NA
"134","2024-08-01","CCE","Munson Creek","MuCr2","B","9 m","","no",NA,NA,NA,NA,NA,NA
"135","2024-08-07","CCE","McCoy Creek","McCr3","B","6 m","","no",NA,NA,NA,NA,NA,NA
"136","2024-07-15","CCE","Lost Horse","LoHo1","A","9 m","","no",NA,NA,NA,NA,NA,NA
"137","2024-07-16","CCE","Shovel Creek","ShCr1","B","9 m","","no",NA,NA,NA,NA,NA,NA
"138","2024-07-17","CCE","Shovel Creek","ShCr5","C","6 m","","no",NA,NA,NA,NA,NA,NA
"139","2024-07-23","CCE","Hess Creek","HeCr5","B","3 m","","no",NA,NA,NA,NA,NA,NA
"140","2024-07-14","CCE","Haystack","Hays3","C","9 m","","no",NA,NA,NA,NA,NA,NA
"141","2024-07-18","CCE","Lost Horse","LoHo4 ","A","6 m","","no",NA,NA,NA,NA,NA,NA
"142","2024-07-15","CCE","Lost Horse","LoHo3","A","3 m","","no",NA,NA,NA,NA,NA,NA
"143","2024-07-18","CCE","Lost Horse","LoHo4 ","B","3 m","","no",NA,NA,NA,NA,NA,NA
"144","2024-07-14","CCE","Haystack","Hays3","C","9 m","","no",NA,NA,NA,NA,NA,NA
"145","2024-08-05","CCE","Dry Creek","DrCr1","C","6 m","Betula neoalaskana seedlings barely beginning to sprout so unclear whether neoalaskana or nana. Seedlings as pictured in photo under plants section.","no",NA,NA,NA,NA,NA,NA
"146","2024-07-14","CCE","Haystack","Hays1","C","3 m","","no",NA,NA,NA,NA,NA,NA
"147","2024-07-14","CCE","Haystack","Hays1","A","3 m","","no",NA,NA,NA,NA,NA,NA
"148","2024-07-16","CCE","Shovel Creek","ShCr1","B","6 m","","no",NA,NA,NA,NA,NA,NA
"149","2024-07-25","CCE","Haystack","Hays5","A","6 m","","no",NA,NA,NA,NA,NA,NA
"150","2024-07-16","CCE","Shovel Creek","ShCr3","C","3 m","","no",NA,NA,NA,NA,NA,NA
"151","2024-07-28","CCE","McCoy Creek","McCr4","C","3 m","Spruce spp unclear, too small to tell","no",NA,NA,NA,NA,NA,NA
"152","2024-07-30","CCE","Nugget Creek","NuCr1","B","3 m","","yes","Salix",3,"",0.35,0.94,0.24
"153","2024-07-30","CCE","Nugget Creek","NuCr1","B","3 m","","yes","Salix",2,"",0.32,0.37,NA
"154","2024-07-30","CCE","Nugget Creek","NuCr1","B","3 m","","yes","Salix",1,"",0.57,NA,NA
"155","2024-07-30","CCE","Nugget Creek","NuCr1","B","3 m","","yes","Salix",1,"",0.64,NA,NA
"156","2024-08-01","CCE","Munson Creek","MuCr1","A","9 m","Quadrat placed at 9m only to capture seedlings. No other data gathered at this spot. ","no",NA,NA,NA,NA,NA,NA
"157","2024-08-05","CCE","Dry Creek","DrCr1","B","6 m","","yes","Salix",1,"",0.64,NA,NA
"158","2024-08-01","CCE","Munson Creek","MuCr3","B","6 m","","no",NA,NA,NA,NA,NA,NA
"159","2024-07-22","CCE","Hess Creek","HeCr2","B","9 m","","no",NA,NA,NA,NA,NA,NA
"160","2024-08-01","CCE","Munson Creek","MuCr1","A","3 m","","no",NA,NA,NA,NA,NA,NA
"161","2024-07-23","CCE","Hess Creek","HeCr5","A","9 m","","no",NA,NA,NA,NA,NA,NA
"162","2024-07-16","CCE","Shovel Creek","ShCr1","A","6 m","","no",NA,NA,NA,NA,NA,NA
"163","2024-08-04","CCE","Munson Creek","MuCr4","A","6 m","","no",NA,NA,NA,NA,NA,NA
"164","2024-07-18","CCE","Lost Horse","LoHo4 ","C","9 m","","no",NA,NA,NA,NA,NA,NA
"165","2024-07-25","CCE","Haystack","Hays6","C","6 m","","no",NA,NA,NA,NA,NA,NA
"166","2024-07-23","CCE","Hess Creek","HeCr5","A","3 m","","no",NA,NA,NA,NA,NA,NA
"167","2024-07-31","CCE","Nugget Creek","NuCr5","B","6 m","","no",NA,NA,NA,NA,NA,NA
"168","2024-07-16","CCE","Shovel Creek","ShCr4","A","9 m","","no",NA,NA,NA,NA,NA,NA
"169","2024-07-16","CCE","Shovel Creek","ShCr4","B","6 m","","no",NA,NA,NA,NA,NA,NA
"170","2024-07-18","CCE","Lost Horse","LoHo5","C","6 m","","no",NA,NA,NA,NA,NA,NA
"171","2024-08-04","CCE","Munson Creek","MuCr4","B","3 m","","no",NA,NA,NA,NA,NA,NA
"172","2024-07-28","CCE","McCoy Creek","McCr4","C","6 m","","no",NA,NA,NA,NA,NA,NA
"173","2024-07-16","CCE","Shovel Creek","ShCr3","A","9 m","","no",NA,NA,NA,NA,NA,NA
"174","2024-08-06","CCE","Dry Creek","DrCr5","B","3 m","","no",NA,NA,NA,NA,NA,NA
"175","2024-07-23","CCE","Hess Creek","HeCr5","A","6 m","LC soil sample at 7.3","no",NA,NA,NA,NA,NA,NA
"176","2024-07-18","CCE","Lost Horse","LoHo4 ","A","3 m","","no",NA,NA,NA,NA,NA,NA
"177","2024-07-25","CCE","Haystack","Hays5","B","9 m","","no",NA,NA,NA,NA,NA,NA
"178","2024-07-18","CCE","Lost Horse","LoHo5","A","6 m","","no",NA,NA,NA,NA,NA,NA
"179","2024-08-02","CCE","Teklanika ","Tekl4","A","6 m","","yes","Salix",18,"",0.28,0.2,0.34
"180","2024-07-17","CCE","Shovel Creek","ShCr5","B","6 m","","no",NA,NA,NA,NA,NA,NA
"181","2024-08-05","CCE","Dry Creek","DrCr2","A","6 m","","yes",NA,NA,NA,NA,NA,NA
"182","2024-07-15","CCE","Lost Horse","LoHo2","A","6 m","","no",NA,NA,NA,NA,NA,NA
"183","2024-07-14","CCE","Haystack","Hays2","C","9 m","Photo taken from far side","yes","Salix",51,"",1.48,1.45,1.63
"184","2024-07-15","CCE","Lost Horse","LoHo2","C","9 m","","no",NA,NA,NA,NA,NA,NA
"185","2024-07-18","CCE","Lost Horse","LoHo5","A","9 m","","yes","Salix",5,"",0.57,0.25,0.52
"186","2024-08-06","CCE","Dry Creek","DrCr5","A","6 m","","no",NA,NA,NA,NA,NA,NA
"187","2024-07-28","CCE","McCoy Creek","McCr1","A","3 m","","no",NA,NA,NA,NA,NA,NA
"188","2024-08-02","CCE","Teklanika ","Tekl4","B","6 m","","no",NA,NA,NA,NA,NA,NA
"189","2024-07-14","CCE","Haystack","Hays2","C","6 m","","no",NA,NA,NA,NA,NA,NA
"190","2024-08-05","CCE","Dry Creek","DrCr2","A","3 m","","yes","Salix",5,"",0.62,0.54,0.32
"191","2024-07-23","CCE","Hess Creek","HeCr5","C","9 m","","no",NA,NA,NA,NA,NA,NA
"192","2024-07-22","CCE","Hess Creek","HeCr2","B","6 m","","no",NA,NA,NA,NA,NA,NA
"193","2024-07-25","CCE","Haystack","Hays5","C","3 m","","yes","Salix",3,"",1.45,1.28,1.62
"194","2024-07-17","CCE","Shovel Creek","ShCr6","A","9 m","","no",NA,NA,NA,NA,NA,NA
"195","2024-07-23","CCE","Hess Creek","HeCr4","A","3 m","","no",NA,NA,NA,NA,NA,NA
"196","2024-08-02","CCE","Teklanika ","Tekl5","C","6 m","","no",NA,NA,NA,NA,NA,NA
"197","2024-07-31","CCE","Nugget Creek","NuCr6","A","3 m","","no",NA,NA,NA,NA,NA,NA
"198","2024-07-18","CCE","Lost Horse","LoHo6","B","9 m","","no",NA,NA,NA,NA,NA,NA
"199","2024-07-16","CCE","Shovel Creek","ShCr4","B","9 m","","no",NA,NA,NA,NA,NA,NA
"200","2024-07-22","CCE","Hess Creek","HeCr1","C","9 m","","no",NA,NA,NA,NA,NA,NA
"201","2024-07-16","CCE","Shovel Creek","ShCr3","B","9 m","","no",NA,NA,NA,NA,NA,NA
"202","2024-07-31","CCE","Nugget Creek","NuCr6","B","6 m","","no",NA,NA,NA,NA,NA,NA
"203","2024-07-28","CCE","McCoy Creek","McCr5","B","6 m","","no",NA,NA,NA,NA,NA,NA
"204","2024-07-22","CCE","Hess Creek","HeCr2","A","3 m","","no",NA,NA,NA,NA,NA,NA
"205","2024-07-25","CCE","Haystack","Hays6","A","3 m","","no",NA,NA,NA,NA,NA,NA
"206","2024-07-22","CCE","Hess Creek","HeCr1","A","9 m","","no",NA,NA,NA,NA,NA,NA
"207","2024-07-22","CCE","Hess Creek","HeCr3","B","6 m","","yes","Salix",1,"",0.11,NA,NA
"208","2024-08-04","CCE","Munson Creek","MuCr4","B","6 m","","no",NA,NA,NA,NA,NA,NA
"209","2024-08-05","CCE","Dry Creek","DrCr3","B","3 m","","yes","Salix",8,"",0.46,0.51,0.23
"210","2024-07-25","CCE","Haystack","Hays4","A","8","","no",NA,NA,NA,NA,NA,NA
"211","2024-07-15","CCE","Lost Horse","LoHo3","A","9 m","","yes","Salix",1,"",0.4,NA,NA
"212","2024-07-30","CCE","Nugget Creek","NuCr1","C","3 m","","yes","Salix",3,"",0.12,0.48,0.8
"213","2024-07-16","CCE","Shovel Creek","ShCr1","C","9 m","","no",NA,NA,NA,NA,NA,NA
"214","2024-07-18","CCE","Lost Horse","LoHo4 ","B","9 m","","yes","Salix",9,"",0.6,0.32,0.25
"215","2024-08-01","CCE","Munson Creek","MuCr1","B","6 m","","yes","Salix",6,"",0.84,0.53,0.36
"216","2024-08-01","CCE","Munson Creek","MuCr1","B","6 m","","yes","Salix",4,"",0.59,0.67,0.64
"217","2024-08-01","CCE","Munson Creek","MuCr1","B","6 m","","yes","Salix",6,"",0.55,0.47,0.5
"218","2024-08-01","CCE","Munson Creek","MuCr1","B","6 m","","yes","Salix",7,"",0.49,0.63,0.96
"219","2024-07-22","CCE","Hess Creek","HeCr3","A","6 m","","yes","Salix",1,"",0.46,NA,NA
"220","2024-07-22","CCE","Hess Creek","HeCr3","A","6 m","","yes","Salix",1,"",0.52,NA,NA
"221","2024-07-22","CCE","Hess Creek","HeCr3","A","6 m","","yes","Salix",1,"",0.31,NA,NA
"222","2024-07-22","CCE","Hess Creek","HeCr3","A","6 m","","yes","Salix",1,"",0.25,NA,NA
"223","2024-07-25","CCE","Haystack","Hays4","C","3 m","","no",NA,NA,NA,NA,NA,NA
"224","2024-07-28","CCE","McCoy Creek","McCr5","A","3 m","","no",NA,NA,NA,NA,NA,NA
"225","2024-08-07","CCE","McCoy Creek","McCr3","C","6 m","","no",NA,NA,NA,NA,NA,NA
"226","2024-07-17","CCE","Shovel Creek","ShCr5","A","9 m","","no",NA,NA,NA,NA,NA,NA
"227","2024-08-05","CCE","Dry Creek","DrCr3","C","3 m","","yes","Salix",3,"",0.37,0.39,0.4
"228","2024-08-05","CCE","Dry Creek","DrCr3","C","3 m","","yes","Salix",4,"",0.77,0.35,0.65
"229","2024-08-05","CCE","Dry Creek","DrCr3","C","3 m","","yes","Salix",2,"",0.47,0.76,NA
"230","2024-08-05","CCE","Dry Creek","DrCr3","C","3 m","","yes","Salix",13,"",0.65,0.1,0.56
"231","2024-08-03","CCE","Teklanika ","Tekl1","C","3 m","","no",NA,NA,NA,NA,NA,NA
"232","2024-07-22","CCE","Hess Creek","HeCr3","B","3 m","","yes","Salix",3,"",0.77,0.43,0.61
"233","2024-07-22","CCE","Hess Creek","HeCr3","B","3 m","","yes","Salix",1,"",0.3,NA,NA
"234","2024-07-22","CCE","Hess Creek","HeCr3","B","3 m","","yes","Salix",1,"",0.36,NA,NA
"235","2024-07-22","CCE","Hess Creek","HeCr3","B","3 m","","yes","Salix",1,"",0.24,NA,NA
"236","2024-07-22","CCE","Hess Creek","HeCr3","B","3 m","","yes","Salix",2,"",0.25,0.17,NA
"237","2024-07-22","CCE","Hess Creek","HeCr3","B","3 m","","yes","Salix",1,"",0.25,NA,NA
"238","2024-07-22","CCE","Hess Creek","HeCr3","B","3 m","","yes","Salix",2,"",0.17,0.15,NA
"239","2024-07-18","CCE","Lost Horse","LoHo4 ","C","6 m","","yes","Salix",3,"",0.56,0.6,0.75
"240","2024-08-02","CCE","Teklanika ","Tekl5","C","3 m","","no",NA,NA,NA,NA,NA,NA
"241","2024-07-16","CCE","Shovel Creek","ShCr4","C","3 m","","no",NA,NA,NA,NA,NA,NA
"242","2024-07-18","CCE","Lost Horse","LoHo6","C","9 m","","no",NA,NA,NA,NA,NA,NA
"243","2024-08-06","CCE","Dry Creek","DrCr6","C","3 m","","no",NA,NA,NA,NA,NA,NA
"244","2024-07-30","CCE","Nugget Creek","NuCr2","A","3 m","","no",NA,NA,NA,NA,NA,NA
"245","2024-07-18","CCE","Lost Horse","LoHo5","C","3 m","","no",NA,NA,NA,NA,NA,NA
"246","2024-07-17","CCE","Shovel Creek","ShCr6","A","6 m","","no",NA,NA,NA,NA,NA,NA
"247","2024-07-23","CCE","Hess Creek","HeCr6","B","3 m","","no",NA,NA,NA,NA,NA,NA
"248","2024-07-22","CCE","Hess Creek","HeCr2","A","9 m","","no",NA,NA,NA,NA,NA,NA
"249","2024-07-30","CCE","Nugget Creek","NuCr1","C","6 m","","no",NA,NA,NA,NA,NA,NA
"250","2024-07-28","CCE","McCoy Creek","McCr1","B","6 m","","no",NA,NA,NA,NA,NA,NA
