"","fulcrum_parent_id","date","fire_scar","site","plot","location","location_other","site_notes","plant_species","plant_species_other","plant_species_cover","veg_cover_notes","photos"
"31","0218b68f-d03b-4985-9823-9b625d9cdac9","2024-07-31","Nugget Creek","NuCr4","A","3 m",NA,"","Epilobium angustifolium [Chamerion angustifolium]","",0.1,"","0fd5a394-d4fe-4d2c-9b33-2989197c31aa"
"32","0218b68f-d03b-4985-9823-9b625d9cdac9","2024-07-31","Nugget Creek","NuCr4","A","3 m",NA,"","Betula nana","",0.1,"","0fd5a394-d4fe-4d2c-9b33-2989197c31aa"
"33","02af34d0-63b6-41cd-b186-fd2935f5feb8","2024-08-03","Teklanika ","Tekl3","C","3 m",NA,"","Rubus chamaemorus","",0.1,"","a8ab38f2-b919-494f-9aa2-40fc6da11fe1"
"34","02af34d0-63b6-41cd-b186-fd2935f5feb8","2024-08-03","Teklanika ","Tekl3","C","3 m",NA,"","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]","",1,"","a8ab38f2-b919-494f-9aa2-40fc6da11fe1"
"35","02af34d0-63b6-41cd-b186-fd2935f5feb8","2024-08-03","Teklanika ","Tekl3","C","3 m",NA,"","Equisetum scirpoides","",2,"","a8ab38f2-b919-494f-9aa2-40fc6da11fe1"
"36","02af34d0-63b6-41cd-b186-fd2935f5feb8","2024-08-03","Teklanika ","Tekl3","C","3 m",NA,"","Equisetum arvense","",4,"","a8ab38f2-b919-494f-9aa2-40fc6da11fe1"
"37","02af34d0-63b6-41cd-b186-fd2935f5feb8","2024-08-03","Teklanika ","Tekl3","C","3 m",NA,"","Vaccinium uliginosum","",1,"","a8ab38f2-b919-494f-9aa2-40fc6da11fe1"
"38","02af34d0-63b6-41cd-b186-fd2935f5feb8","2024-08-03","Teklanika ","Tekl3","C","3 m",NA,"","Potentilla fruticose [Dasiphora fruticosa]","",1,"","a8ab38f2-b919-494f-9aa2-40fc6da11fe1"
"39","02af34d0-63b6-41cd-b186-fd2935f5feb8","2024-08-03","Teklanika ","Tekl3","C","3 m",NA,"","Arctostaphylos rubra [Arctous rubra]","",0.1,"","a8ab38f2-b919-494f-9aa2-40fc6da11fe1"
"40","02af34d0-63b6-41cd-b186-fd2935f5feb8","2024-08-03","Teklanika ","Tekl3","C","3 m",NA,"","","Irisitosa spp",0.1,"","a8ab38f2-b919-494f-9aa2-40fc6da11fe1"
"41","02af34d0-63b6-41cd-b186-fd2935f5feb8","2024-08-03","Teklanika ","Tekl3","C","3 m",NA,"","Calamagrostis canadensis","",2,"","a8ab38f2-b919-494f-9aa2-40fc6da11fe1"
"42","02af34d0-63b6-41cd-b186-fd2935f5feb8","2024-08-03","Teklanika ","Tekl3","C","3 m",NA,"","Epilobium angustifolium [Chamerion angustifolium]","",2,"","a8ab38f2-b919-494f-9aa2-40fc6da11fe1"
"43","02af34d0-63b6-41cd-b186-fd2935f5feb8","2024-08-03","Teklanika ","Tekl3","C","3 m",NA,"","Betula nana","",3,"","a8ab38f2-b919-494f-9aa2-40fc6da11fe1"
"44","02af34d0-63b6-41cd-b186-fd2935f5feb8","2024-08-03","Teklanika ","Tekl3","C","3 m",NA,"","Salix spp","",7,"","a8ab38f2-b919-494f-9aa2-40fc6da11fe1"
"45","02af34d0-63b6-41cd-b186-fd2935f5feb8","2024-08-03","Teklanika ","Tekl3","C","3 m",NA,"","Coarse woody debris","",1,"","a8ab38f2-b919-494f-9aa2-40fc6da11fe1"
"46","02af34d0-63b6-41cd-b186-fd2935f5feb8","2024-08-03","Teklanika ","Tekl3","C","3 m",NA,"","Fine Woody Debris","",3,"","a8ab38f2-b919-494f-9aa2-40fc6da11fe1"
"47","02af34d0-63b6-41cd-b186-fd2935f5feb8","2024-08-03","Teklanika ","Tekl3","C","3 m",NA,"","Picea mariana","",0.1,"","a8ab38f2-b919-494f-9aa2-40fc6da11fe1"
"48","02f4c376-577e-45ac-8736-033362b663ab","2024-07-29","McCoy Creek","MCCR6","A","6 m",NA,"","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]","",11,"","9cc70ea4-c108-4771-a2b7-e84d6ddcbfd3"
"49","02f4c376-577e-45ac-8736-033362b663ab","2024-07-29","McCoy Creek","MCCR6","A","6 m",NA,"","Vaccinium uliginosum","",3,"","9cc70ea4-c108-4771-a2b7-e84d6ddcbfd3"
"50","02f4c376-577e-45ac-8736-033362b663ab","2024-07-29","McCoy Creek","MCCR6","A","6 m",NA,"","Vaccinium vitis-idaea","",2,"","9cc70ea4-c108-4771-a2b7-e84d6ddcbfd3"
"51","02f4c376-577e-45ac-8736-033362b663ab","2024-07-29","McCoy Creek","MCCR6","A","6 m",NA,"","Salix spp","",4,"Not rooted in plot","9cc70ea4-c108-4771-a2b7-e84d6ddcbfd3"
"52","02f4c376-577e-45ac-8736-033362b663ab","2024-07-29","McCoy Creek","MCCR6","A","6 m",NA,"","Carex spp","",6,"","9cc70ea4-c108-4771-a2b7-e84d6ddcbfd3"
"53","02f4c376-577e-45ac-8736-033362b663ab","2024-07-29","McCoy Creek","MCCR6","A","6 m",NA,"","Fine Woody Debris","",4,"","9cc70ea4-c108-4771-a2b7-e84d6ddcbfd3"
"54","02f4c376-577e-45ac-8736-033362b663ab","2024-07-29","McCoy Creek","MCCR6","A","6 m",NA,"","Coarse woody debris","",2,"","9cc70ea4-c108-4771-a2b7-e84d6ddcbfd3"
"55","02f4c376-577e-45ac-8736-033362b663ab","2024-07-29","McCoy Creek","MCCR6","A","6 m",NA,"","Betula nana","",0.1,"","9cc70ea4-c108-4771-a2b7-e84d6ddcbfd3"
"56","02f4c376-577e-45ac-8736-033362b663ab","2024-07-29","McCoy Creek","MCCR6","A","6 m",NA,"","Calamagrostis canadensis","",0.1,"","9cc70ea4-c108-4771-a2b7-e84d6ddcbfd3"
"57","03929814-0704-48d9-9749-227f89601f93","2024-07-28","McCoy Creek","MCCR1","C","6 m",NA,"","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]","",3,"","daf77923-3568-4c6d-a860-a7ff4273a626"
"58","03929814-0704-48d9-9749-227f89601f93","2024-07-28","McCoy Creek","MCCR1","C","6 m",NA,"","Vaccinium uliginosum","",2,"","daf77923-3568-4c6d-a860-a7ff4273a626"
"59","03929814-0704-48d9-9749-227f89601f93","2024-07-28","McCoy Creek","MCCR1","C","6 m",NA,"","Vaccinium vitis-idaea","",0.1,"","daf77923-3568-4c6d-a860-a7ff4273a626"
"60","03929814-0704-48d9-9749-227f89601f93","2024-07-28","McCoy Creek","MCCR1","C","6 m",NA,"","Eriophorum vaginatum","",1,"","daf77923-3568-4c6d-a860-a7ff4273a626"
"61","03929814-0704-48d9-9749-227f89601f93","2024-07-28","McCoy Creek","MCCR1","C","6 m",NA,"","Rubus chamaemorus","",6,"","daf77923-3568-4c6d-a860-a7ff4273a626"
"62","03929814-0704-48d9-9749-227f89601f93","2024-07-28","McCoy Creek","MCCR1","C","6 m",NA,"","Coarse woody debris","",2,"","daf77923-3568-4c6d-a860-a7ff4273a626"
"63","03929814-0704-48d9-9749-227f89601f93","2024-07-28","McCoy Creek","MCCR1","C","6 m",NA,"","Fine Woody Debris","",3,"","daf77923-3568-4c6d-a860-a7ff4273a626"
"64","03929814-0704-48d9-9749-227f89601f93","2024-07-28","McCoy Creek","MCCR1","C","6 m",NA,"","Picea mariana","",0.1,"","daf77923-3568-4c6d-a860-a7ff4273a626"
"65","0431c890-27f2-472e-b859-7849389ffd26","2024-08-05","Dry Creek","DrCr2","B","3 m",NA,"","Calamagrostis canadensis","",4,"","b1685512-b4fe-4fe0-9b1e-44a3de77a90f"
"66","0431c890-27f2-472e-b859-7849389ffd26","2024-08-05","Dry Creek","DrCr2","B","3 m",NA,"","Carex spp","",3,"","b1685512-b4fe-4fe0-9b1e-44a3de77a90f"
"67","0431c890-27f2-472e-b859-7849389ffd26","2024-08-05","Dry Creek","DrCr2","B","3 m",NA,"","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]","",12,"","b1685512-b4fe-4fe0-9b1e-44a3de77a90f"
"68","0431c890-27f2-472e-b859-7849389ffd26","2024-08-05","Dry Creek","DrCr2","B","3 m",NA,"","Betula nana","",35,"","b1685512-b4fe-4fe0-9b1e-44a3de77a90f"
"69","0431c890-27f2-472e-b859-7849389ffd26","2024-08-05","Dry Creek","DrCr2","B","3 m",NA,"","Vaccinium uliginosum","",24,"","b1685512-b4fe-4fe0-9b1e-44a3de77a90f"
"70","0431c890-27f2-472e-b859-7849389ffd26","2024-08-05","Dry Creek","DrCr2","B","3 m",NA,"","Coarse woody debris","",0.1,"","b1685512-b4fe-4fe0-9b1e-44a3de77a90f"
"71","0431c890-27f2-472e-b859-7849389ffd26","2024-08-05","Dry Creek","DrCr2","B","3 m",NA,"","Equisetum scirpoides","",0.1,"","b1685512-b4fe-4fe0-9b1e-44a3de77a90f"
"72","0431c890-27f2-472e-b859-7849389ffd26","2024-08-05","Dry Creek","DrCr2","B","3 m",NA,"","Picea mariana","",0.1,"","b1685512-b4fe-4fe0-9b1e-44a3de77a90f"
"73","0431c890-27f2-472e-b859-7849389ffd26","2024-08-05","Dry Creek","DrCr2","B","3 m",NA,"","Salix spp","",0.1,"Not rooted in plot","b1685512-b4fe-4fe0-9b1e-44a3de77a90f"
"74","04691bea-eba4-4b96-b7b0-b3ddcc1936da","2024-07-31","Nugget Creek","NuCr6","C","3 m",NA,"","Epilobium angustifolium [Chamerion angustifolium]","",25,"","e465872b-f747-4c88-8f8d-0a46bf1ef88f"
"75","04691bea-eba4-4b96-b7b0-b3ddcc1936da","2024-07-31","Nugget Creek","NuCr6","C","3 m",NA,"","Coarse woody debris","",27,"","e465872b-f747-4c88-8f8d-0a46bf1ef88f"
"76","04691bea-eba4-4b96-b7b0-b3ddcc1936da","2024-07-31","Nugget Creek","NuCr6","C","3 m",NA,"","Fine Woody Debris","",2,"","e465872b-f747-4c88-8f8d-0a46bf1ef88f"
"77","0615be44-3049-496f-8f7c-cb8e3b23867b","2024-07-17","Shovel Creek","ShCr6","B","3 m",NA,"","Cornus canadensis","",6,"","2eb52aab-1b7e-4f84-bbe4-203256cb2b06"
"78","0615be44-3049-496f-8f7c-cb8e3b23867b","2024-07-17","Shovel Creek","ShCr6","B","3 m",NA,"","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]","",4,"","2eb52aab-1b7e-4f84-bbe4-203256cb2b06"
"79","0615be44-3049-496f-8f7c-cb8e3b23867b","2024-07-17","Shovel Creek","ShCr6","B","3 m",NA,"","Vaccinium uliginosum","",5,"","2eb52aab-1b7e-4f84-bbe4-203256cb2b06"
"80","0615be44-3049-496f-8f7c-cb8e3b23867b","2024-07-17","Shovel Creek","ShCr6","B","3 m",NA,"","Vaccinium vitis-idaea","",8,"","2eb52aab-1b7e-4f84-bbe4-203256cb2b06"
"81","0615be44-3049-496f-8f7c-cb8e3b23867b","2024-07-17","Shovel Creek","ShCr6","B","3 m",NA,"","Spiraea beauverdiana (stevenii)","",3,"","2eb52aab-1b7e-4f84-bbe4-203256cb2b06"
"82","0615be44-3049-496f-8f7c-cb8e3b23867b","2024-07-17","Shovel Creek","ShCr6","B","3 m",NA,"","Calamagrostis canadensis","",4,"","2eb52aab-1b7e-4f84-bbe4-203256cb2b06"
"83","0615be44-3049-496f-8f7c-cb8e3b23867b","2024-07-17","Shovel Creek","ShCr6","B","3 m",NA,"","Litter - herbaceous","",2,"","2eb52aab-1b7e-4f84-bbe4-203256cb2b06"
"84","0615be44-3049-496f-8f7c-cb8e3b23867b","2024-07-17","Shovel Creek","ShCr6","B","3 m",NA,"","Betula nana","",25,"","2eb52aab-1b7e-4f84-bbe4-203256cb2b06"
"85","0615be44-3049-496f-8f7c-cb8e3b23867b","2024-07-17","Shovel Creek","ShCr6","B","3 m",NA,"","Coarse woody debris","",2,"","2eb52aab-1b7e-4f84-bbe4-203256cb2b06"
"86","0615be44-3049-496f-8f7c-cb8e3b23867b","2024-07-17","Shovel Creek","ShCr6","B","3 m",NA,"","Fine Woody Debris","",3,"","2eb52aab-1b7e-4f84-bbe4-203256cb2b06"
"87","072e69e8-f02c-46bc-a0db-f72e491f0c22","2024-08-03","Teklanika ","Tekl2","A","3 m",NA,"","Equisetum arvense","",6,"","c5b46eb6-be77-4b14-8b81-456279ffcc1c"
"88","072e69e8-f02c-46bc-a0db-f72e491f0c22","2024-08-03","Teklanika ","Tekl2","A","3 m",NA,"","Betula neoalaskana","",0.1,"","c5b46eb6-be77-4b14-8b81-456279ffcc1c"
"89","072e69e8-f02c-46bc-a0db-f72e491f0c22","2024-08-03","Teklanika ","Tekl2","A","3 m",NA,"","Carex spp","",2,"","c5b46eb6-be77-4b14-8b81-456279ffcc1c"
"90","072e69e8-f02c-46bc-a0db-f72e491f0c22","2024-08-03","Teklanika ","Tekl2","A","3 m",NA,"","Epilobium angustifolium [Chamerion angustifolium]","",17,"","c5b46eb6-be77-4b14-8b81-456279ffcc1c"
"91","072e69e8-f02c-46bc-a0db-f72e491f0c22","2024-08-03","Teklanika ","Tekl2","A","3 m",NA,"","Coarse woody debris","",10,"","c5b46eb6-be77-4b14-8b81-456279ffcc1c"
"92","072e69e8-f02c-46bc-a0db-f72e491f0c22","2024-08-03","Teklanika ","Tekl2","A","3 m",NA,"","Fine Woody Debris","",0.1,"","c5b46eb6-be77-4b14-8b81-456279ffcc1c"
"93","072e69e8-f02c-46bc-a0db-f72e491f0c22","2024-08-03","Teklanika ","Tekl2","A","3 m",NA,"","Equisetum scirpoides","",0.1,"","c5b46eb6-be77-4b14-8b81-456279ffcc1c"
"94","07c7248e-3d93-4ce8-93d2-64c862359dad","2024-07-16","Shovel creek","ShCr2","C","6 m",NA,"","Vaccinium uliginosum","",2,"","5051f965-c04d-45a9-8f65-6cf38fa9945e"
"95","07c7248e-3d93-4ce8-93d2-64c862359dad","2024-07-16","Shovel creek","ShCr2","C","6 m",NA,"","Vaccinium vitis-idaea","",2,"","5051f965-c04d-45a9-8f65-6cf38fa9945e"
"96","07c7248e-3d93-4ce8-93d2-64c862359dad","2024-07-16","Shovel creek","ShCr2","C","6 m",NA,"","Epilobium angustifolium [Chamerion angustifolium]","",3,"","5051f965-c04d-45a9-8f65-6cf38fa9945e"
"97","07c7248e-3d93-4ce8-93d2-64c862359dad","2024-07-16","Shovel creek","ShCr2","C","6 m",NA,"","Salix spp","",2,"","5051f965-c04d-45a9-8f65-6cf38fa9945e"
"98","07c7248e-3d93-4ce8-93d2-64c862359dad","2024-07-16","Shovel creek","ShCr2","C","6 m",NA,"","Calamagrostis canadensis","",4,"","5051f965-c04d-45a9-8f65-6cf38fa9945e"
"99","07c7248e-3d93-4ce8-93d2-64c862359dad","2024-07-16","Shovel creek","ShCr2","C","6 m",NA,"","Coarse woody debris","",14,"","5051f965-c04d-45a9-8f65-6cf38fa9945e"
"100","07c7248e-3d93-4ce8-93d2-64c862359dad","2024-07-16","Shovel creek","ShCr2","C","6 m",NA,"","Fine Woody Debris","",3,"","5051f965-c04d-45a9-8f65-6cf38fa9945e"
"101","091d78a5-d2eb-4794-9b0d-5c3f9e500dbb","2024-07-25","Haystack","HAYS5","A","9 m",NA,"","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]","",4,"","0b2becf3-2fa6-4136-9af1-f3aa4b7b593e"
"102","091d78a5-d2eb-4794-9b0d-5c3f9e500dbb","2024-07-25","Haystack","HAYS5","A","9 m",NA,"","Cornus canadensis","",1,"","0b2becf3-2fa6-4136-9af1-f3aa4b7b593e"
"103","091d78a5-d2eb-4794-9b0d-5c3f9e500dbb","2024-07-25","Haystack","HAYS5","A","9 m",NA,"","Betula nana","",1,"","0b2becf3-2fa6-4136-9af1-f3aa4b7b593e"
"104","091d78a5-d2eb-4794-9b0d-5c3f9e500dbb","2024-07-25","Haystack","HAYS5","A","9 m",NA,"","Calamagrostis canadensis","",0.1,"","0b2becf3-2fa6-4136-9af1-f3aa4b7b593e"
"105","091d78a5-d2eb-4794-9b0d-5c3f9e500dbb","2024-07-25","Haystack","HAYS5","A","9 m",NA,"","Coarse woody debris","",0.1,"","0b2becf3-2fa6-4136-9af1-f3aa4b7b593e"
"106","091d78a5-d2eb-4794-9b0d-5c3f9e500dbb","2024-07-25","Haystack","HAYS5","A","9 m",NA,"","Fine Woody Debris","",1,"","0b2becf3-2fa6-4136-9af1-f3aa4b7b593e"
"107","091d78a5-d2eb-4794-9b0d-5c3f9e500dbb","2024-07-25","Haystack","HAYS5","A","9 m",NA,"","Vaccinium vitis-idaea","",0.1,"","0b2becf3-2fa6-4136-9af1-f3aa4b7b593e"
"108","09fc1387-555d-4107-89f2-d9352a5407cb","2024-07-22","Hess Creek","HeCr1","C","3 m",NA,"","Rosa acicularis","",10,"","3d0a51d6-6f16-4c6a-bb3f-84fc33fc6ceb"
"109","09fc1387-555d-4107-89f2-d9352a5407cb","2024-07-22","Hess Creek","HeCr1","C","3 m",NA,"","Coarse woody debris","",2,"","3d0a51d6-6f16-4c6a-bb3f-84fc33fc6ceb"
"110","09fc1387-555d-4107-89f2-d9352a5407cb","2024-07-22","Hess Creek","HeCr1","C","3 m",NA,"","Fine Woody Debris","",0.1,"","3d0a51d6-6f16-4c6a-bb3f-84fc33fc6ceb"
"111","09fc1387-555d-4107-89f2-d9352a5407cb","2024-07-22","Hess Creek","HeCr1","C","3 m",NA,"","Calamagrostis canadensis","",55,"","3d0a51d6-6f16-4c6a-bb3f-84fc33fc6ceb"
"112","09fc1387-555d-4107-89f2-d9352a5407cb","2024-07-22","Hess Creek","HeCr1","C","3 m",NA,"","","Grass litter",10,"","3d0a51d6-6f16-4c6a-bb3f-84fc33fc6ceb"
"113","09fc1387-555d-4107-89f2-d9352a5407cb","2024-07-22","Hess Creek","HeCr1","C","3 m",NA,"","Epilobium angustifolium [Chamerion angustifolium]","",1,"","3d0a51d6-6f16-4c6a-bb3f-84fc33fc6ceb"
"114","09fc1387-555d-4107-89f2-d9352a5407cb","2024-07-22","Hess Creek","HeCr1","C","3 m",NA,"","Betula nana","",0.1,"","3d0a51d6-6f16-4c6a-bb3f-84fc33fc6ceb"
"115","09fc1387-555d-4107-89f2-d9352a5407cb","2024-07-22","Hess Creek","HeCr1","C","3 m",NA,"","Rubus idaeus","",0.1,"","3d0a51d6-6f16-4c6a-bb3f-84fc33fc6ceb"
"116","09fc1387-555d-4107-89f2-d9352a5407cb","2024-07-22","Hess Creek","HeCr1","C","3 m",NA,"","Unknown grass 1","",2,"","3d0a51d6-6f16-4c6a-bb3f-84fc33fc6ceb"
"117","0adeadea-e095-4a24-a035-a7eecba932dc","2024-08-02","Teklanika ","Tekl5","A","3 m",NA,"","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]","",2,"","a0666e3a-5d89-41c2-a9d2-24647b08cde8"
"118","0adeadea-e095-4a24-a035-a7eecba932dc","2024-08-02","Teklanika ","Tekl5","A","3 m",NA,"","Eriophorum vaginatum","",5,"","a0666e3a-5d89-41c2-a9d2-24647b08cde8"
"119","0adeadea-e095-4a24-a035-a7eecba932dc","2024-08-02","Teklanika ","Tekl5","A","3 m",NA,"","Salix spp","",6,"","a0666e3a-5d89-41c2-a9d2-24647b08cde8"
"120","0adeadea-e095-4a24-a035-a7eecba932dc","2024-08-02","Teklanika ","Tekl5","A","3 m",NA,"","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]","",2,"","a0666e3a-5d89-41c2-a9d2-24647b08cde8"
"121","0adeadea-e095-4a24-a035-a7eecba932dc","2024-08-02","Teklanika ","Tekl5","A","3 m",NA,"","Vaccinium uliginosum","",1,"","a0666e3a-5d89-41c2-a9d2-24647b08cde8"
"122","0adeadea-e095-4a24-a035-a7eecba932dc","2024-08-02","Teklanika ","Tekl5","A","3 m",NA,"","","Equisetum palustre ",2,"","a0666e3a-5d89-41c2-a9d2-24647b08cde8"
"123","0adeadea-e095-4a24-a035-a7eecba932dc","2024-08-02","Teklanika ","Tekl5","A","3 m",NA,"","Coarse woody debris","",0.1,"","a0666e3a-5d89-41c2-a9d2-24647b08cde8"
"124","0af66da9-3731-48c6-a28a-12d96c86a79d","2024-08-03","Teklanika ","Tekl1","B","6 m",NA,"","Saussurea angustifolia","",3,"","725b2ca7-7b9e-4ddb-b9fa-75dbabbab5dd"
"125","0af66da9-3731-48c6-a28a-12d96c86a79d","2024-08-03","Teklanika ","Tekl1","B","6 m",NA,"","Calamagrostis canadensis","",0.1,"","725b2ca7-7b9e-4ddb-b9fa-75dbabbab5dd"
"126","0af66da9-3731-48c6-a28a-12d96c86a79d","2024-08-03","Teklanika ","Tekl1","B","6 m",NA,"","Equisetum scirpoides","",0.1,"","725b2ca7-7b9e-4ddb-b9fa-75dbabbab5dd"
"127","0af66da9-3731-48c6-a28a-12d96c86a79d","2024-08-03","Teklanika ","Tekl1","B","6 m",NA,"","Salix spp","",6,"","725b2ca7-7b9e-4ddb-b9fa-75dbabbab5dd"
"128","0af66da9-3731-48c6-a28a-12d96c86a79d","2024-08-03","Teklanika ","Tekl1","B","6 m",NA,"","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]","",1,"","725b2ca7-7b9e-4ddb-b9fa-75dbabbab5dd"
