fire,site,plot,unique_site_id,date,official_fire_scar,latitude,longitude,lat_NAD83,lon_NAD83,elevation,slope,aspect,moisture_class,moisture_numeric,recent_burn,second_burn,triple_burn,reburn_age_original_estimate,triple_age,std_age_max,std_age_min,std_age_avg,StdAge,reburn_class_original,Stdage_final,reburn_class_final,pre_fire_vegetation,site_notes,dens.trees,basal.area.trees,dens.shrubs,basal.area.shrubs,ForestType,prefire.trees.biomass,prefire.trees.carbon,combustion.trees.biomass,combustion.trees.carbon,postfire.trees.biomass,postfire.trees.carbon,prefire.shrubs.biomass,prefire.shrubs.carbon,combustion.shrubs.biomass,combustion.shrubs.carbon,postfire.shrubs.biomass,postfire.shrubs.carbon,prefire.snags.biomass,prefire.snags.carbon,combustion.snags.biomass,combustion.snags.carbon,postfire.snags.biomass,postfire.snags.carbon,post.cwd.carbon,pre.cwd.carbon,combustion.cwd.carbon,prefire.above,postfire.above,combustion.above,thaw_d,residualSOL_depth,burn_depth,prefireSOL_depth,residualSOL.C,SOL.C.Combusted,prefireSOL.C,totalC.combusted,prefire.carbon.total,postfire.carbon.total
Aggie,110,A,45,7/18/2021,Aggie Creek,65.23412,-148.13985,1709239.886,273797.1952,367,2.5,206,mesic-subhygric,5,2015,NA,NA,100,NA,101,54,83,83,LONG,83,LONG,Black spruce,Starts at tenge of tussock patch. High severity. Deep burning. Spruce and birch regeneration.low drainage. ,1.5,4.331470871,NA,NA,PIMA,1174.3538,587.1769,523.3914643,261.6957321,650.9623357,325.4811679,0,0,0,0,0,0,0,0,0,0,0,0,28,112,84,699.1769,353.4811679,345.6957321,NA,13.66666667,18.42222222,32.08888889,5602.293475,3726.137507,9328.430982,4071.833239,10027.60788,5955.774643
Aggie,110,B,45,7/18/2021,Aggie Creek,65.23412,-148.13985,1709239.886,273797.1952,367,2.5,206,mesic-subhygric,5,2015,NA,NA,100,NA,101,54,83,83,LONG,83,LONG,Black spruce,Starts at tenge of tussock patch. High severity. Deep burning. Spruce and birch regeneration.low drainage. ,2.05,12.73483852,NA,NA,PIMA,3368.5096,1684.2548,1353.015649,676.5078247,2015.493951,1007.746975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1684.2548,1007.746975,676.5078247,NA,11.75,13.7,25.45,4698.579995,2611.859703,7310.439697,3288.367528,8994.694497,5706.32697
Aggie,110,C,45,7/18/2021,Aggie Creek,65.23412,-148.13985,1709239.886,273797.1952,367,2.5,206,mesic-subhygric,5,2015,NA,NA,100,NA,101,54,83,83,LONG,83,LONG,Black spruce,Starts at tenge of tussock patch. High severity. Deep burning. Spruce and birch regeneration.low drainage. ,1.45,5.472261703,NA,NA,PIMA,1358.72685,679.363425,632.4725335,316.2362667,726.2543165,363.1271583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679.363425,363.1271583,316.2362667,70.33333333,10.41666667,16.75555556,27.17222222,4083.84488,3329.766926,7413.611806,3646.003193,8092.975231,4446.972038
Aggie,111,A,40,7/17/2021,Aggie Creek,65.23943,-148.13654,1709843.016,273899.2616,344,9,23,mesic-subxeric,3,2015,NA,NA,100,NA,104,90,97.7,97.7,LONG,97.7,LONG,Black spruce; unburned birch and spruce nearby,Most trees down;  severe burn; a little grassy; lots of birch and spruce regeneration ,0.75,7.282997169,NA,NA,PIMA,1765.2266,882.6133,539.082695,269.5413475,1226.143905,613.0719525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,882.6133,613.0719525,269.5413475,43.33333333,9.791666667,24.97777778,34.76944445,4155.412407,5420.150471,9575.562878,5689.691818,10458.17618,4768.484359
Aggie,111,B,40,7/17/2021,Aggie Creek,65.23943,-148.13654,1709843.016,273899.2616,344,9,23,mesic-subxeric,3,2015,NA,NA,100,NA,104,90,97.7,97.7,LONG,97.7,LONG,Black spruce; unburned birch and spruce nearby,Most trees down;  severe burn; a little grassy; lots of birch and spruce regeneration ,0.75,11.47859416,NA,NA,PIMA,2965.107,1482.5535,750.7883254,375.3941627,2214.318675,1107.159337,0,0,0,0,0,0,0,0,0,0,0,0,28,112,84,1594.5535,1135.159337,459.3941627,34.33333333,12.33333333,20.64444444,32.97777778,5436.170598,4275.902584,9712.073182,4735.296746,11306.62668,6571.329935
Aggie,93,A,38,7/17/2021,Aggie Creek,65.23635,-148.1286,1709533.869,274299.5037,358,11,38,mesic,4,2015,NA,NA,100,NA,98,86,94,94,LONG,94,LONG,Black spruce,Low combustion of trees; rocky; most organic hit rock before mineral; generally small org layers; ,0.95,6.459114496,NA,NA,PIMA,1728.69045,864.345225,330.0078378,165.0039189,1398.682612,699.3413061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,864.345225,699.3413061,165.0039189,48,17.33333333,15.2,32.53333333,6927.891628,3011.181996,9939.073624,3176.185915,10803.41885,7627.232934
Aggie,93,B,38,7/17/2021,Aggie Creek,65.23635,-148.1286,1709533.869,274299.5037,358,11,38,mesic,4,2015,NA,NA,100,NA,98,86,94,94,LONG,94,LONG,Black spruce,Low combustion of trees; rocky; most organic hit rock before mineral; generally small org layers; ,0.7,3.42551409,NA,NA,PIMA,869.52045,434.760225,144.5074288,72.2537144,725.0130212,362.5065106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434.760225,362.5065106,72.2537144,23,8.583333333,14.14444445,22.72777778,3056.763943,2736.731978,5793.495921,2808.985692,6228.256146,3419.270454
Aggie,93,C,38,7/17/2021,Aggie Creek,65.23635,-148.1286,1709533.869,274299.5037,358,11,38,mesic,4,2015,NA,NA,100,NA,98,86,94,94,LONG,94,LONG,Black spruce,Low combustion of trees; rocky; most organic hit rock before mineral; generally small org layers; ,0.95,14.64767575,NA,NA,PIMA,3662.4028,1831.2014,647.3227604,323.6613802,3015.08004,1507.54002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1831.2014,1507.54002,323.6613802,20,10.95833333,12.47777778,23.43611111,4399.62478,2486.2909,6885.91568,2809.95228,8717.11708,5907.1648
Aggie,94,A,39,7/17/2021,Aggie Creek,65.23642,-148.1326,1709525.124,274112.4304,369,10.5,334,mesic-subhygric,5,2015,NA,NA,100,NA,91,87,89,89,LONG,89,LONG,Black spruce - a few live ones ,Humid layer is thick. Patches of sphagnum. Small back spruce. Rocky soils. Some spruce regeneration and birch. Low severity. ,1.3,4.830198705,NA,NA,PIMA,1290.71635,645.358175,384.4765002,192.2382501,906.2398498,453.1199249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645.358175,453.1199249,192.2382501,58,16.04166667,19.53333333,35.575,7259.081663,3996.031308,11255.11297,4188.269558,11900.47115,7712.201588
Aggie,94,B,39,7/17/2021,Aggie Creek,65.23642,-148.1326,1709525.124,274112.4304,369,10.5,334,mesic-subhygric,5,2015,NA,NA,100,NA,91,87,89,89,LONG,89,LONG,Black spruce - a few live ones ,Humid layer is thick. Patches of sphagnum. Small back spruce. Rocky soils. Some spruce regeneration and birch. Low severity. ,2.45,3.019463239,NA,NA,PIMA,1076.950312,538.475156,308.6383251,154.3191625,768.3119869,384.1559934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538.475156,384.1559934,154.3191625,55,25.54166667,14.36666667,39.90833333,12475.16908,2787.486243,15262.65532,2941.805406,15801.13048,12859.32507
Aggie,94,C,39,7/17/2021,Aggie Creek,65.23642,-148.1326,1709525.124,274112.4304,369,10.5,334,mesic-subhygric,5,2015,NA,NA,100,NA,91,87,89,89,LONG,89,LONG,Black spruce - a few live ones ,Humid layer is thick. Patches of sphagnum. Small back spruce. Rocky soils. Some spruce regeneration and birch. Low severity. ,2,5.132576998,NA,NA,PIMA,1476.433306,738.2166529,337.640677,168.8203385,1138.792629,569.3963144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,738.2166529,569.3963144,168.8203385,36,17.45833333,17.86666667,35.325,8010.677682,3593.061918,11603.7396,3761.882256,12341.95625,8580.073997
Aggie,99,A,42,7/18/2021,Aggie Creek,65.24432,-148.14642,1710345.158,273390.9624,285,3,58,subhygric,6,2015,NA,NA,100,NA,102,83,91.3,91.3,LONG,91.3,LONG,Black spruce and tussocks,Soils collected inter tussock; hit ice; unburned sphagnum; low severity,0.7,0.118202424,4.7,0.332223423,PIMA,70.8036,35.4018,19.3254151,9.662707551,51.4781849,25.73909245,6.118120353,3.059060176,6.118120353,3.059060176,0,0,0,0,0,0,0,0,0,0,0,38.46086018,25.73909245,12.72176773,37,29.91666667,12.14444445,42.06111111,9047.970765,2271.690022,11319.66079,2284.41179,11358.12165,9073.709857
Aggie,99,B,42,7/18/2021,Aggie Creek,65.24432,-148.14642,1710345.158,273390.9624,285,3,58,subhygric,6,2015,NA,NA,100,NA,102,83,91.3,91.3,LONG,91.3,LONG,Black spruce and tussocks,Soils collected inter tussock; hit ice; unburned sphagnum; low severity,0.9,0.775580686,2,0.251327412,PIMA,266.969,133.4845,69.22821438,34.61410719,197.7407856,98.87039281,5.265560132,2.632780066,5.265560132,2.632780066,0,0,0,0,0,0,0,0,38.03424774,152.136991,114.1027432,288.254271,136.9046406,151.3496305,47,22.375,12.47777778,34.85277778,6451.924296,2337.834715,8789.759011,2489.184346,9078.013282,6588.828936
Aggie,99,C,42,7/18/2021,Aggie Creek,65.24432,-148.14642,1710345.158,273390.9624,285,3,58,subhygric,6,2015,NA,NA,100,NA,102,83,91.3,91.3,LONG,91.3,LONG,Black spruce and tussocks,Soils collected inter tussock; hit ice; unburned sphagnum; low severity,1.65,6.90639875,0.6,0.117809725,PIMA,1885.7879,942.89395,498.9049521,249.452476,1386.882948,693.441474,2.749738031,1.374869015,2.749738031,1.374869015,0,0,0,0,0,0,0,0,0,0,0,944.268819,693.441474,250.827345,35.33333333,23.04166667,13.81111111,36.85277778,6676.2653,2671.279303,9347.544603,2922.106648,10291.81342,7369.706774
BearFish,68274,B,57,7/19/2022,Bearnose Hill,66.52227216,-143.8054394,1875375.674,453133.9751,168,0,0,xeric,1,2019,1969,NA,50,NA,103,102,102.3,102.3,MID,102.3,LONG,Aspen with large white spruce,All trees killed,0.15,6.440657639,NA,NA,POTR,1853.931933,926.9659663,162.5330241,81.26651205,1691.398909,845.6994543,0,0,0,0,0,0,0,0,0,0,0,0,34.13600074,136.544003,102.4080022,1063.509969,879.835455,183.6745143,NA,0,7.654302243,7.654302243,0,3016.487792,3016.487792,3200.162306,4079.997761,879.835455
BearFish,68274,C,57,7/19/2022,Bearnose Hill,66.52227216,-143.8054394,1875375.674,453133.9751,168,0,0,xeric,1,2019,1969,NA,50,NA,103,102,102.3,102.3,MID,102.3,LONG,Aspen with large white spruce,All trees killed,0.15,26.48716036,0.1,1.809557368,MIXED,11112.87364,5556.436822,2035.886236,1017.943118,9076.987407,4538.493703,111.647913,55.8239565,68.8695817,34.43479085,42.77833129,21.38916565,0,0,0,0,0,0,0,0,0,5612.260779,4559.882869,1052.377909,NA,0,9.595389425,9.595389425,0,3816.728762,3816.728762,4869.106671,9428.98954,4559.882869
BearFish,68303,A,58,7/19/2022,Bearnose Hill,66.52526618,-143.8088417,1875681.313,452933.0731,165,0,0,subxeric,2,2019,1969,NA,50,NA,100,97,98,98,MID,98,LONG,Aspen ,Severe burn all aspen dead and wind blown to ground. Whole fire uneven ground wo tussock looks liKE particle size impacts from drainage,0.3,15.45074537,0.3,0.53014376,POTR,4569.37274,2284.68637,482.0290131,241.0145066,4087.343727,2043.671864,26.05074902,13.02537451,14.30934149,7.154670743,11.74140753,5.870703767,0,0,0,0,0,0,0,0,0,2297.711745,2049.542568,248.1691773,NA,0,6.989108908,6.989108908,0,2754.341418,2754.341418,3002.510596,5052.053163,2049.542568
BearFish,6887,C,56,7/19/2022,Bearnose Hill,66.52469084,-143.8005356,1875674.793,453309.1033,168,0,0,subxeric,2,2019,1969,NA,50,NA,120,85,103.3,103.3,MID,103.3,LONG,Aspen,Aspen pre fire salix understory no spruce in area,0.35,15.02859386,1,5.430242902,POTR,4567.884713,2283.942356,133.0799109,66.53995545,4434.804802,2217.402401,300.5340885,150.2670442,51.09793477,25.54896739,249.4361537,124.7180769,1924.48644,962.2432199,0,0,1924.48644,962.2432199,0,0,0,3396.45262,3304.363698,92.08892284,NA,1.125,5.815995547,6.940995547,632.1286401,2292.028588,2924.157228,2384.117511,6320.609848,3936.492338
BearFish,68274,A,57,7/19/2022,Bearnose Hill,66.52227216,-143.8054394,1875375.674,453133.9751,168,0,0,xeric,1,2019,1969,NA,50,NA,103,102,102.3,102.3,MID,102.3,LONG,Aspen with large white spruce,All trees killed,0.35,18.0044675,0.3,1.158462291,POTR,5886.082746,2943.041373,380.3811082,190.1905541,5505.701638,2752.850819,61.51021741,30.7551087,6.194988912,3.097494456,55.3152285,27.65761425,0,0,0,0,0,0,0,0,0,2973.796482,2780.508433,193.2880486,NA,0,7.104707551,7.104707551,0,2799.897745,2799.897745,2993.185794,5773.694227,2780.508433
BearFish,68303,C,58,7/19/2022,Bearnose Hill,66.52526618,-143.8088417,1875681.313,452933.0731,165,0,0,subxeric,2,2019,1969,NA,50,NA,100,97,98,98,MID,98,LONG,Aspen ,Severe burn all aspen dead and wind blown to ground. Whole fire uneven ground wo tussock looks liKE particle size impacts from drainage,0.2,16.7643238,NA,NA,POTR,5292.023919,2646.01196,128.1863039,64.09315197,5163.837615,2581.918808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2646.01196,2581.918808,64.09315197,NA,0.125,7.194697051,7.319697051,89.96632602,2835.361752,2925.328078,2899.454904,5571.340038,2671.885134
BearFish,6846,A,55,7/19/2022,Bearnose Hill,66.52510621,-143.7934236,1875768.976,453615.6332,172,0,0,subhygric,6,2019,1969,NA,50,NA,98,90,93.7,93.7,MID,93.7,LONG,"Aspen. White spruce survived 1969 fire. Birch, regen for all species","Low severity, living birch and one spruce",0.1,12.67082857,0.4,1.01787602,PIGL,4773.293377,2386.646689,526.6939768,263.3469884,4246.599401,2123.2997,51.56940626,25.78470313,25.71180027,12.85590014,25.85760599,12.92880299,0,0,0,0,0,0,0,0,0,2412.431392,2136.228503,276.2028885,NA,0,27.19952492,27.19952492,0,5949.247581,5949.247581,6225.45047,8361.678974,2136.228503
BearFish,6846,B,55,7/19/2022,Bearnose Hill,66.52510621,-143.7934236,1875768.976,453615.6332,172,0,0,subhygric,6,2019,1969,NA,50,NA,98,90,93.7,93.7,MID,93.7,LONG,"Aspen. White spruce survived 1969 fire. Birch, regen for all species","Low severity, living birch and one spruce",0.25,23.88749244,NA,NA,MIXED,9812.623641,4906.311821,1330.418862,665.2094311,8482.204779,4241.10239,0,0,0,0,0,0,448.7408728,224.3704364,0,0,448.7408728,224.3704364,0,0,0,5130.682257,4465.472826,665.2094311,NA,5.7,3.294323684,8.994323684,2845.642763,1310.373076,4156.015839,1975.582507,9286.698097,7311.11559
BearFish,68303,B,58,7/19/2022,Bearnose Hill,66.52526618,-143.8088417,1875681.313,452933.0731,165,0,0,subxeric,2,2019,1969,NA,50,NA,100,97,98,98,MID,98,LONG,Aspen ,Severe burn all aspen dead and wind blown to ground. Whole fire uneven ground wo tussock looks liKE particle size impacts from drainage,0.2,13.11614933,NA,NA,POTR,4033.250565,2016.625283,175.4847747,87.74238736,3857.765791,1928.882895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016.625283,1928.882895,87.74238736,NA,0,7.319697051,7.319697051,0,2884.623065,2884.623065,2972.365452,4901.248348,1928.882895
BearFish,68469,A,59,7/19/2022,Bearnose Hill,66.52399791,-143.8054985,1875564.818,453102.0415,165,0,0,xeric,1,2019,1969,NA,50,NA,97,74,82,82,MID,82,LONG,Aspen ,Productive aspen with some salix under severe burned,0.15,10.34094492,0.9,1.01787602,POTR,3159.363701,1579.68185,210.9317703,105.4658851,2948.431931,1474.215965,48.32650162,24.16325081,34.23925141,17.11962571,14.0872502,7.043625102,0,0,0,0,0,0,0,0,0,1603.845101,1481.25959,122.5855108,NA,0,7.678121076,7.678121076,0,3025.874568,3025.874568,3148.460078,4629.719668,1481.25959
BearFish,68469,B,59,7/19/2022,Bearnose Hill,66.52399791,-143.8054985,1875564.818,453102.0415,165,0,0,xeric,1,2019,1969,NA,50,NA,97,74,82,82,MID,82,LONG,Aspen ,Productive aspen with some salix under severe burned,0.2,13.17780308,NA,NA,POTR,4022.753864,2011.376932,243.3183059,121.659153,3779.435558,1889.717779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011.376932,1889.717779,121.659153,NA,0,7.331198801,7.331198801,0,2889.155795,2889.155795,3010.814948,4900.532727,1889.717779
BearFish,68469,C,59,7/19/2022,Bearnose Hill,66.52399791,-143.8054985,1875564.818,453102.0415,165,0,0,xeric,1,2019,1969,NA,50,NA,97,74,82,82,MID,82,LONG,Aspen ,Productive aspen with some salix under severe burned,0.15,12.9135166,0.4,2.642079422,POTR,4061.050051,2030.525025,102.4747521,51.23737606,3958.575298,1979.287649,146.3846226,73.19231132,146.3846226,73.19231132,0,0,0,0,0,0,0,0,0,0,0,2103.717336,1979.287649,124.4296874,NA,0,7.678121076,7.678121076,0,3025.874568,3025.874568,3150.304255,5129.591904,1979.287649
BearFish,6846,C,55,7/19/2022,Bearnose Hill,66.52510621,-143.7934236,1875768.976,453615.6332,172,0,0,subhygric,6,2019,1969,NA,50,NA,98,90,93.7,93.7,MID,93.7,LONG,"Aspen. White spruce survived 1969 fire. Birch, regen for all species","Low severity, living birch and one spruce",0.1,3.943484178,NA,NA,POTR,1128.110411,564.0552055,101.1882943,50.59414715,1026.922117,513.4610584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564.0552055,513.4610584,50.59414715,NA,6,1.145949064,7.145949064,3275.169921,451.6076385,3726.77756,502.2017857,4290.832765,3788.630979
BearFish,6887,B,56,7/19/2022,Bearnose Hill,66.52469084,-143.8005356,1875674.793,453309.1033,168,0,0,subxeric,2,2019,1969,NA,50,NA,120,85,103.3,103.3,MID,103.3,LONG,Aspen,Aspen pre fire salix understory no spruce in area,0.55,17.6196224,0.2,0.50893801,POTR,5143.445426,2571.722713,204.3596274,102.1798137,4939.085799,2469.542899,25.78470313,12.89235156,1.439880993,0.719940497,24.34482214,12.17241107,0,0,0,0,0,0,0,0,0,2584.615065,2481.71531,102.8997542,NA,0,7.052125789,7.052125789,0,2779.175773,2779.175773,2882.075527,5363.790837,2481.71531
BearFish,6887,A,56,7/19/2022,Bearnose Hill,66.52469084,-143.8005356,1875674.793,453309.1033,168,0,0,subxeric,2,2019,1969,NA,50,NA,120,85,103.3,103.3,MID,103.3,LONG,Aspen,Aspen pre fire salix understory no spruce in area,0.2,5.30693539,0.8,1.159247689,POTR,1448.569167,724.2845835,136.8729871,68.43649355,1311.69618,655.8480899,56.21277719,28.10638859,16.34833126,8.174165632,39.86444593,19.93222296,0,0,0,0,0,0,0,0,0,752.3909721,675.7803129,76.61065918,NA,4,3.352407356,7.352407356,2190.845293,1321.151889,3511.997181,1397.762548,4264.388154,2866.625606
BigTractor,101,B,62,7/20/2022,Tractor Trail 2,66.36802578,-143.6217759,1859702.503,463900.2245,274,0,0,subxeric,2,2019,1996,NA,23,NA,23,20,22,22,SHORT,23,SHORT,White spruce,Severe fire near edge of unburned spruce stand,0.05,0.000392699,NA,NA,MIXED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335.893468,1033.715915,697.8224467,1033.715915,335.893468,697.8224467,NA,1.375,22.7178927,24.0928927,0,9036.426834,9036.426834,9734.249281,10070.14275,335.893468
BigTractor,101,C,62,7/20/2022,Tractor Trail 2,66.36802578,-143.6217759,1859702.503,463900.2245,274,0,0,subxeric,2,2019,1996,NA,23,NA,23,20,22,22,SHORT,23,SHORT,White spruce,Severe fire near edge of unburned spruce stand,0.2,2.225032997,NA,NA,BENE,623.227132,311.613566,37.22229011,18.61114505,586.0048419,293.002421,0,0,0,0,0,0,0,0,0,0,0,0,519.2659053,1622.935405,1103.6695,1934.548971,812.2683263,1122.280645,NA,0.75,8.677882958,9.427882958,428.8177723,3419.871227,3848.688999,4542.151872,5783.23797,1241.086099
BigTractor,101,A,62,7/20/2022,Tractor Trail 2,66.36802578,-143.6217759,1859702.503,463900.2245,274,0,0,subxeric,2,2019,1996,NA,23,NA,23,20,22,22,SHORT,23,SHORT,White spruce,Severe fire near edge of unburned spruce stand,0.05,0.50893801,NA,NA,PIGL,104.6735003,52.33675014,22.13886249,11.06943124,82.5346378,41.2673189,0,0,0,0,0,0,0,0,0,0,0,0,423.703548,1694.814192,1271.110644,1747.150942,464.9708669,1282.180075,NA,0,14.77048564,14.77048564,0,4169.965144,4169.965144,5452.145219,5917.116086,464.9708669
