,,Sample,Sample ID,Sample Amount,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon
172_1_27_2025 3_02_21 PM_012,INT7 - 1,172,172,7.957,1.98,317.055,0.049,0.61,Ordnr,Nitrogen,0.021,3.2,15357.556,0.982,12.35,Ordnr,Carbon,1
288_1_27_2025 3_08_21 PM_013,INT7 - 1,288,288,19.847,2,269.269,0.041,0.21,Ordnr,Nitrogen,0.021,3.26,12720.062,0.806,4.06,Ordnr,Carbon,1
163_1_27_2025 3_14_22 PM_014,INT7 - 1,163,163,19.849,2,527.972,0.08,0.4,Ordnr,Nitrogen,0.022,3.14,23503.966,1.546,7.79,Ordnr,Carbon,1
127_1_27_2025 3_20_22 PM_015,INT7 - 1,127,127,20.036,1.98,105.431,0.017,0.08,Ordnr,Nitrogen,0.03,3.36,3456.84,0.206,1.03,Ordnr,Carbon,1
145_1_27_2025 3_26_23 PM_016,INT7 - 1,145,145,19.927,2,78.786,0.013,0.06,Ordnr,Nitrogen,0.024,3.36,3311.648,0.197,0.99,Ordnr,Carbon,1
318_1_27_2025 3_32_24 PM_017,INT7 - 1,318,318,8.16,1.96,86.92,0.014,0.17,Ordnr,Nitrogen,0.022,3.34,4039.856,0.243,2.98,Ordnr,Carbon,1
157_1_27_2025 3_38_24 PM_018,INT7 - 1,157,157,7.935,2,409.501,0.062,0.79,Ordnr,Nitrogen,0.022,3.2,18639.614,1.206,15.2,Ordnr,Carbon,1
222_1_27_2025 3_44_25 PM_019,INT7 - 1,222,222,7.965,1.98,264.335,0.041,0.51,Ordnr,Nitrogen,0.021,3.24,12631.016,0.8,10.04,Ordnr,Carbon,1
247_1_27_2025 3_50_27 PM_020,INT7 - 1,247,247,7.997,1.98,130.845,0.021,0.26,Ordnr,Nitrogen,0.025,3.34,5225.604,0.318,3.98,Ordnr,Carbon,1
327_1_27_2025 3_56_27 PM_021,INT7 - 1,327,327,19.948,2,57.403,0.01,0.05,Ordnr,Nitrogen,0.023,3.38,2538.114,0.148,0.74,Ordnr,Carbon,1
146_1_27_2025 4_02_29 PM_022,INT7 - 1,146,146,20.085,1.98,121.683,0.019,0.1,Ordnr,Nitrogen,0.021,3.34,5838.441,0.358,1.78,Ordnr,Carbon,1
332_1_27_2025 4_08_30 PM_023,INT7 - 1,332,332,8.142,1.96,118.736,0.019,0.23,Ordnr,Nitrogen,0.022,3.32,5458.085,0.333,4.09,Ordnr,Carbon,1
BRS2_1_27_2025 4_14_31 PM_024,INT7 - 1,BRS2,BRS2,12.111,1.98,148.965,0.023,0.19,Ordnr,Nitrogen,0.024,3.34,6330.683,0.389,3.21,Ordnr,Carbon,1
317_1_27_2025 4_20_32 PM_025,INT7 - 1,317,317,8.106,1.98,264.181,0.041,0.5,Ordnr,Nitrogen,0.016,3.2,16932.158,1.089,13.44,Ordnr,Carbon,1
312_1_27_2025 4_26_33 PM_026,INT7 - 1,312,312,8.099,1.98,167.493,0.026,0.32,Ordnr,Nitrogen,0.021,3.3,8116.983,0.504,6.22,Ordnr,Carbon,1
330_1_27_2025 4_32_35 PM_027,INT7 - 1,330,330,7.86,1.98,24.643,0.005,0.06,Ordnr,Nitrogen,0.023,3.38,1088.925,0.057,0.73,Ordnr,Carbon,1
169_1_27_2025 4_38_36 PM_028,INT7 - 1,169,169,7.91,1.98,272.277,0.042,0.53,Ordnr,Nitrogen,0.021,3.24,13042.726,0.827,10.46,Ordnr,Carbon,1
320_1_27_2025 4_44_37 PM_029,INT7 - 1,320,320,7.961,1.98,69.189,0.011,0.14,Ordnr,Nitrogen,0.017,3.34,4148.418,0.25,3.14,Ordnr,Carbon,1
326_1_27_2025 4_50_39 PM_030,INT7 - 1,326,326,20.043,1.98,86.831,0.014,0.07,Ordnr,Nitrogen,0.02,3.36,4305.35,0.26,1.3,Ordnr,Carbon,1
310_1_27_2025 4_56_39 PM_031,INT7 - 1,310,310,20.045,2,73.723,0.012,0.06,Ordnr,Nitrogen,0.028,3.38,2596.047,0.152,0.76,Ordnr,Carbon,1
315_1_27_2025 5_02_40 PM_032,INT7 - 1,315,315,8.079,1.96,61.442,0.01,0.13,Ordnr,Nitrogen,0.02,3.36,3076.55,0.182,2.25,Ordnr,Carbon,1
337_1_27_2025 5_08_41 PM_033,INT7 - 1,337,337,7.938,1.98,29.784,0.006,0.07,Ordnr,Nitrogen,0.02,3.38,1511.848,0.084,1.06,Ordnr,Carbon,1
306_1_27_2025 5_14_42 PM_034,INT7 - 1,306,306,8.137,1.98,58.545,0.01,0.12,Ordnr,Nitrogen,0.024,3.38,2408.466,0.14,1.72,Ordnr,Carbon,1
244_1_27_2025 5_20_43 PM_035,INT7 - 1,244,244,7.831,2,158,0.025,0.32,Ordnr,Nitrogen,0.015,3.3,10435.183,0.655,8.37,Ordnr,Carbon,1
BRS3_1_27_2025 5_26_45 PM_036,INT7 - 1,BRS3,BRS3,32.036,2,391.689,0.06,0.19,Ordnr,Nitrogen,0.025,3.24,15895.464,1.019,3.18,Ordnr,Carbon,1
231_1_27_2025 5_32_46 PM_037,INT7 - 1,231,231,7.872,1.98,50.87,0.009,0.11,Ordnr,Nitrogen,0.013,3.36,3818.274,0.229,2.91,Ordnr,Carbon,1
340_1_27_2025 5_38_47 PM_038,INT7 - 1,340,340,8.176,1.98,32.87,0.006,0.07,Ordnr,Nitrogen,0.022,3.38,1474.147,0.081,1,Ordnr,Carbon,1
199_1_27_2025 5_44_48 PM_039,INT7 - 1,199,199,19.902,2,68.224,0.011,0.06,Ordnr,Nitrogen,0.019,3.38,3561.719,0.213,1.07,Ordnr,Carbon,1
294_1_27_2025 5_50_49 PM_040,INT7 - 1,294,294,8.084,1.98,53.427,0.009,0.11,Ordnr,Nitrogen,0.02,3.36,2682.014,0.157,1.95,Ordnr,Carbon,1
295_1_27_2025 5_56_50 PM_041,INT7 - 1,295,295,7.944,1.98,28.489,0.005,0.07,Ordnr,Nitrogen,0.023,3.38,1218.382,0.066,0.82,Ordnr,Carbon,1
160_1_27_2025 6_02_51 PM_042,INT7 - 1,160,160,7.882,2,535.811,0.081,1.03,Ordnr,Nitrogen,0.021,3.14,25402.247,1.681,21.33,Ordnr,Carbon,1
344_1_27_2025 6_08_53 PM_043,INT7 - 1,344,344,7.911,1.98,27.208,0.005,0.06,Ordnr,Nitrogen,0.023,3.38,1193.648,0.064,0.81,Ordnr,Carbon,1
324_1_27_2025 6_14_54 PM_044,INT7 - 1,324,324,7.94,2,27.871,0.005,0.07,Ordnr,Nitrogen,0.017,3.4,1646.305,0.092,1.16,Ordnr,Carbon,1
341_1_27_2025 6_20_55 PM_045,INT7 - 1,341,341,8.182,1.98,19.651,0.004,0.05,Ordnr,Nitrogen,0.024,3.4,804.063,0.04,0.48,Ordnr,Carbon,1
200_1_27_2025 6_26_56 PM_046,INT7 - 1,200,200,8.001,2,16.645,0.004,0.04,Ordnr,Nitrogen,0.016,3.38,1052.202,0.055,0.69,Ordnr,Carbon,1
321_1_27_2025 6_32_57 PM_047,INT7 - 1,321,321,7.872,1.98,32.095,0.006,0.07,Ordnr,Nitrogen,0.011,3.36,2919.4,0.172,2.19,Ordnr,Carbon,1
300_1_27_2025 6_38_59 PM_048,INT7 - 1,300,300,8.078,1.98,39.624,0.007,0.09,Ordnr,Nitrogen,0.016,3.36,2512.012,0.147,1.81,Ordnr,Carbon,1
BRS4_1_27_2025 6_45_00 PM_049,INT7 - 1,BRS4,BRS4,9.953,2,124.725,0.02,0.2,Ordnr,Nitrogen,0.023,3.36,5383.433,0.328,3.3,Ordnr,Carbon,1
