,,Sample,Sample ID,Sample Amount,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon
115_1_28_2025 11_09_47 AM_017,INT7 - 1,115,115,20.01,1.98,289.48,0.044,0.22,Ordnr,Nitrogen,0.016,3.2,17643.624,1.144,5.72,Ordnr,Carbon,1
114_1_28_2025 11_15_48 AM_018,INT7 - 1,114,114,19.87,1.98,367.282,0.056,0.28,Ordnr,Nitrogen,0.017,3.16,21278.623,1.4,7.05,Ordnr,Carbon,1
112_1_28_2025 11_21_49 AM_019,INT7 - 1,112,112,20.178,1.96,151.766,0.023,0.12,Ordnr,Nitrogen,0.024,3.32,6354.763,0.392,1.94,Ordnr,Carbon,1
102_1_28_2025 11_27_50 AM_020,INT7 - 1,102,102,19.93,2,253.351,0.039,0.2,Ordnr,Nitrogen,0.02,3.26,12916.389,0.822,4.12,Ordnr,Carbon,1
100_1_28_2025 11_33_50 AM_021,INT7 - 1,100,100,20.086,2,315.087,0.048,0.24,Ordnr,Nitrogen,0.017,3.2,18642.729,1.214,6.04,Ordnr,Carbon,1
129_1_28_2025 11_39_51 AM_022,INT7 - 1,129,129,19.956,1.98,283.273,0.044,0.22,Ordnr,Nitrogen,0.019,3.24,14978.053,0.961,4.82,Ordnr,Carbon,1
126_1_28_2025 11_45_53 AM_023,INT7 - 1,126,126,20.068,1.98,129.23,0.02,0.1,Ordnr,Nitrogen,0.019,3.32,6784.601,0.42,2.09,Ordnr,Carbon,1
BRS2_1_28_2025 11_51_54 AM_024,INT7 - 1,BRS2,BRS2,12.12,1.98,153.489,0.024,0.2,Ordnr,Nitrogen,0.024,3.32,6481.956,0.4,3.3,Ordnr,Carbon,1
124_1_28_2025 11_57_55 AM_025,INT7 - 1,124,124,20.004,1.98,109.703,0.017,0.09,Ordnr,Nitrogen,0.025,3.34,4314.447,0.262,1.31,Ordnr,Carbon,1
5_1_28_2025 12_03_55 PM_026,INT7 - 1,5,5,7.978,2,540.295,0.083,1.04,Ordnr,Nitrogen,0.024,3.16,22063.676,1.457,18.26,Ordnr,Carbon,1
27_1_28_2025 12_09_56 PM_027,INT7 - 1,27,27,7.984,1.98,114.753,0.018,0.22,Ordnr,Nitrogen,0.016,3.32,7322.736,0.454,5.69,Ordnr,Carbon,1
53_1_28_2025 12_15_58 PM_028,INT7 - 1,53,53,8.082,1.96,172.193,0.027,0.33,Ordnr,Nitrogen,0.016,3.26,10996.429,0.694,8.59,Ordnr,Carbon,1
3_1_28_2025 12_21_59 PM_029,INT7 - 1,3,3,8.051,1.98,506.885,0.078,0.96,Ordnr,Nitrogen,0.02,3.14,24754.044,1.653,20.53,Ordnr,Carbon,1
132_1_28_2025 12_27_59 PM_030,INT7 - 1,132,132,8.114,1.98,289.669,0.044,0.55,Ordnr,Nitrogen,0.022,3.26,12967.902,0.825,10.17,Ordnr,Carbon,1
120_1_28_2025 12_34_00 PM_031,INT7 - 1,120,120,20.056,1.98,196.983,0.03,0.15,Ordnr,Nitrogen,0.02,3.28,9611.375,0.603,3.01,Ordnr,Carbon,1
118_1_28_2025 12_40_02 PM_032,INT7 - 1,118,118,19.928,1.98,93.262,0.015,0.07,Ordnr,Nitrogen,0.028,3.36,3355.722,0.202,1.01,Ordnr,Carbon,1
147_1_28_2025 12_46_03 PM_033,INT7 - 1,147,147,20.11,1.98,109.571,0.017,0.08,Ordnr,Nitrogen,0.022,3.34,5039.698,0.308,1.53,Ordnr,Carbon,1
135_1_28_2025 12_52_03 PM_034,INT7 - 1,135,135,8.009,2,129.443,0.02,0.25,Ordnr,Nitrogen,0.016,3.32,7899.808,0.491,6.14,Ordnr,Carbon,1
133_1_28_2025 12_58_04 PM_035,INT7 - 1,133,133,20.016,2,180.963,0.028,0.14,Ordnr,Nitrogen,0.019,3.3,9545.703,0.599,2.99,Ordnr,Carbon,1
BRS3_1_28_2025 1_04_05 PM_036,INT7 - 1,BRS3,BRS3,31.941,2,407.076,0.062,0.2,Ordnr,Nitrogen,0.025,3.22,16283.926,1.05,3.29,Ordnr,Carbon,1
130_1_28_2025 1_10_06 PM_037,INT7 - 1,130,130,19.966,1.98,182.571,0.028,0.14,Ordnr,Nitrogen,0.021,3.3,8759.054,0.547,2.74,Ordnr,Carbon,1
155_1_28_2025 1_16_08 PM_038,INT7 - 1,155,155,20.167,1.98,499.368,0.076,0.38,Ordnr,Nitrogen,0.022,3.16,22386.458,1.48,7.34,Ordnr,Carbon,1
152_1_28_2025 1_22_09 PM_039,INT7 - 1,152,152,20.055,1.98,174.551,0.027,0.13,Ordnr,Nitrogen,0.019,3.3,9012.029,0.564,2.81,Ordnr,Carbon,1
150_1_28_2025 1_28_10 PM_040,INT7 - 1,150,150,19.941,2,112.247,0.017,0.09,Ordnr,Nitrogen,0.021,3.34,5289.211,0.324,1.62,Ordnr,Carbon,1
149_1_28_2025 1_34_11 PM_041,INT7 - 1,149,149,19.908,1.98,192.925,0.03,0.15,Ordnr,Nitrogen,0.021,3.3,9020.804,0.564,2.83,Ordnr,Carbon,1
18_1_28_2025 1_40_12 PM_042,INT7 - 1,18,18,20.076,1.98,51.76,0.008,0.04,Ordnr,Nitrogen,0.02,3.36,2529.514,0.15,0.75,Ordnr,Carbon,1
29_1_28_2025 1_46_14 PM_043,INT7 - 1,29,29,20.012,2,112.156,0.017,0.09,Ordnr,Nitrogen,0.015,3.32,7638.066,0.475,2.37,Ordnr,Carbon,1
191_1_28_2025 1_52_15 PM_044,INT7 - 1,191,191,20.033,2,243.914,0.038,0.19,Ordnr,Nitrogen,0.017,3.24,14567.662,0.933,4.66,Ordnr,Carbon,1
71_1_28_2025 1_58_15 PM_045,INT7 - 1,71,71,19.816,2,71.772,0.011,0.06,Ordnr,Nitrogen,0.041,3.38,1734.795,0.101,0.51,Ordnr,Carbon,1
59_1_28_2025 2_04_16 PM_046,INT7 - 1,59,59,19.955,2,184.285,0.028,0.14,Ordnr,Nitrogen,0.023,3.32,8171.609,0.509,2.55,Ordnr,Carbon,1
44_1_28_2025 2_10_17 PM_047,INT7 - 1,44,44,20.052,1.98,146.256,0.023,0.11,Ordnr,Nitrogen,0.017,3.3,8513.325,0.531,2.65,Ordnr,Carbon,1
BRS4_1_28_2025 2_41_42 PM_048,INT7 - 1,BRS4,BRS4,10.156,1.98,119.343,0.019,0.18,Ordnr,Nitrogen,0.022,3.34,5318.863,0.326,3.21,Ordnr,Carbon,1
54_1_28_2025 2_47_42 PM_049,INT7 - 1,54,54,20.069,1.98,58.133,0.009,0.05,Ordnr,Nitrogen,0.018,3.36,3205.067,0.192,0.96,Ordnr,Carbon,1
277_1_28_2025 2_53_43 PM_050,INT7 - 1,277,277,19.956,2,210.98,0.032,0.16,Ordnr,Nitrogen,0.025,3.3,8584.344,0.536,2.69,Ordnr,Carbon,1
301_1_28_2025 2_59_44 PM_051,INT7 - 1,301,301,19.929,1.98,35.771,0.006,0.03,Ordnr,Nitrogen,0.017,3.38,2151.063,0.127,0.63,Ordnr,Carbon,1
291_1_28_2025 3_05_45 PM_052,INT7 - 1,291,291,20.136,1.98,237.971,0.037,0.18,Ordnr,Nitrogen,0.024,3.28,9806.851,0.616,3.06,Ordnr,Carbon,1
228_1_28_2025 3_11_47 PM_053,INT7 - 1,228,228,20.074,1.98,88.066,0.014,0.07,Ordnr,Nitrogen,0.018,3.34,4891.254,0.299,1.49,Ordnr,Carbon,1
224_1_28_2025 3_17_48 PM_054,INT7 - 1,224,224,8.151,1.98,341.321,0.052,0.64,Ordnr,Nitrogen,0.022,3.22,15740.441,1.013,12.43,Ordnr,Carbon,1
225_1_28_2025 3_23_49 PM_055,INT7 - 1,225,225,8.145,1.98,364.869,0.056,0.69,Ordnr,Nitrogen,0.021,3.2,17028.071,1.102,13.52,Ordnr,Carbon,1
265_1_28_2025 3_29_50 PM_056,INT7 - 1,265,265,8.165,1.98,174.189,0.027,0.33,Ordnr,Nitrogen,0.019,3.3,9043.042,0.566,6.93,Ordnr,Carbon,1
207_1_28_2025 3_35_51 PM_057,INT7 - 1,207,207,7.904,1.98,148.461,0.023,0.29,Ordnr,Nitrogen,0.021,3.32,7197.662,0.446,5.64,Ordnr,Carbon,1
221_1_28_2025 3_41_52 PM_058,INT7 - 1,221,221,7.856,1.98,225.164,0.035,0.44,Ordnr,Nitrogen,0.023,3.28,9881.723,0.621,7.9,Ordnr,Carbon,1
285_1_28_2025 3_47_54 PM_059,INT7 - 1,285,285,8.183,1.98,145.562,0.023,0.28,Ordnr,Nitrogen,0.016,3.3,8923.484,0.558,6.82,Ordnr,Carbon,1
BRS5_1_28_2025 3_53_55 PM_060,INT7 - 1,BRS5,BRS5,16.973,2,207.824,0.032,0.19,Ordnr,Nitrogen,0.023,3.32,8988.06,0.562,3.31,Ordnr,Carbon,1
216_1_28_2025 3_59_56 PM_061,INT7 - 1,216,216,8.012,1.98,271.652,0.042,0.52,Ordnr,Nitrogen,0.014,3.18,19823.371,1.297,16.19,Ordnr,Carbon,1
275_1_28_2025 4_05_58 PM_062,INT7 - 1,275,275,8.17,1.98,263.045,0.04,0.49,Ordnr,Nitrogen,0.017,3.22,15471.92,0.995,12.17,Ordnr,Carbon,1
271_1_28_2025 4_11_58 PM_063,INT7 - 1,271,271,8.158,1.98,196.418,0.03,0.37,Ordnr,Nitrogen,0.019,3.28,10366.176,0.652,8,Ordnr,Carbon,1
269_1_28_2025 4_18_00 PM_064,INT7 - 1,269,269,8.148,1.98,333.765,0.051,0.63,Ordnr,Nitrogen,0.019,3.18,17842.816,1.158,14.21,Ordnr,Carbon,1
254_1_28_2025 4_24_01 PM_065,INT7 - 1,254,254,7.98,2,362.858,0.056,0.7,Ordnr,Nitrogen,0.017,3.16,21221.464,1.396,17.5,Ordnr,Carbon,1
283_1_28_2025 4_30_02 PM_066,INT7 - 1,283,283,8.105,1.98,189.321,0.029,0.36,Ordnr,Nitrogen,0.017,3.28,10881.981,0.686,8.47,Ordnr,Carbon,1
274_1_28_2025 4_36_03 PM_067,INT7 - 1,274,274,8.033,1.98,97.445,0.015,0.19,Ordnr,Nitrogen,0.022,3.34,4476.611,0.273,3.39,Ordnr,Carbon,1
250_1_28_2025 4_42_04 PM_068,INT7 - 1,250,250,7.828,1.98,134.942,0.021,0.27,Ordnr,Nitrogen,0.017,3.32,7962.003,0.495,6.33,Ordnr,Carbon,1
214_1_28_2025 4_48_05 PM_069,INT7 - 1,214,214,8.122,1.98,266.417,0.041,0.5,Ordnr,Nitrogen,0.013,3.18,19801.062,1.295,15.95,Ordnr,Carbon,1
210_1_28_2025 4_54_06 PM_070,INT7 - 1,210,210,8.035,1.98,209.264,0.032,0.4,Ordnr,Nitrogen,0.019,3.28,10922.863,0.689,8.58,Ordnr,Carbon,1
205_1_28_2025 5_00_08 PM_071,INT7 - 1,205,205,8.133,1.98,560.839,0.086,1.05,Ordnr,Nitrogen,0.022,3.12,25984.823,1.744,21.44,Ordnr,Carbon,1
BRS6_1_28_2025 5_06_09 PM_072,INT7 - 1,BRS6,BRS6,35.027,2,435.804,0.067,0.19,Ordnr,Nitrogen,0.025,3.2,17689.137,1.147,3.28,Ordnr,Carbon,1
242_1_28_2025 5_12_10 PM_073,INT7 - 1,242,242,8.085,1.98,112.423,0.017,0.22,Ordnr,Nitrogen,0.014,3.32,7790.823,0.484,5.99,Ordnr,Carbon,1
204_1_28_2025 5_18_12 PM_074,INT7 - 1,204,204,8.153,1.98,268.339,0.041,0.51,Ordnr,Nitrogen,0.02,3.24,13327.846,0.849,10.42,Ordnr,Carbon,1
255_1_28_2025 5_24_13 PM_075,INT7 - 1,255,255,20.135,2,241.207,0.037,0.18,Ordnr,Nitrogen,0.017,3.24,14243.79,0.911,4.53,Ordnr,Carbon,1
248_1_28_2025 5_30_14 PM_076,INT7 - 1,248,248,8.082,1.98,182.848,0.028,0.35,Ordnr,Nitrogen,0.015,3.26,12333.531,0.783,9.69,Ordnr,Carbon,1
237_1_28_2025 5_36_15 PM_077,INT7 - 1,237,237,8.023,1.98,107.923,0.017,0.21,Ordnr,Nitrogen,0.017,3.32,6426.496,0.397,4.94,Ordnr,Carbon,1
230_1_28_2025 5_42_16 PM_078,INT7 - 1,230,230,8.175,1.98,65.465,0.01,0.13,Ordnr,Nitrogen,0.014,3.34,4695.321,0.286,3.5,Ordnr,Carbon,1
260_1_28_2025 5_48_17 PM_079,INT7 - 1,260,260,19.939,2,254.681,0.039,0.2,Ordnr,Nitrogen,0.02,3.26,12711.375,0.808,4.05,Ordnr,Carbon,1
304_1_28_2025 5_54_18 PM_080,INT7 - 1,304,304,19.983,1.98,201.551,0.031,0.16,Ordnr,Nitrogen,0.027,3.32,7502.364,0.466,2.33,Ordnr,Carbon,1
309_1_28_2025 6_00_19 PM_081,INT7 - 1,309,309,19.995,1.98,190.786,0.029,0.15,Ordnr,Nitrogen,0.023,3.3,8293.655,0.517,2.59,Ordnr,Carbon,1
144_1_28_2025 6_06_20 PM_082,INT7 - 1,144,144,19.813,2,233.274,0.036,0.18,Ordnr,Nitrogen,0.02,3.28,11513.572,0.728,3.68,Ordnr,Carbon,1
234_1_28_2025 6_12_21 PM_083,INT7 - 1,234,234,20.044,2,36.505,0.006,0.03,Ordnr,Nitrogen,0.021,3.38,1737.523,0.101,0.5,Ordnr,Carbon,1
BRS7_1_28_2025 6_18_22 PM_084,INT7 - 1,BRS7,BRS7,20.13,2,256.934,0.04,0.2,Ordnr,Nitrogen,0.024,3.3,10738.033,0.677,3.36,Ordnr,Carbon,1
142_1_28_2025 6_24_23 PM_085,INT7 - 1,142,142,19.978,2,78.705,0.012,0.06,Ordnr,Nitrogen,0.021,3.36,3668.711,0.222,1.11,Ordnr,Carbon,1
298_1_28_2025 6_30_25 PM_086,INT7 - 1,298,298,8.136,1.98,45.738,0.007,0.09,Ordnr,Nitrogen,0.021,3.36,2226.849,0.131,1.61,Ordnr,Carbon,1
117_1_28_2025 6_36_25 PM_087,INT7 - 1,117,117,19.895,2,258.621,0.04,0.2,Ordnr,Nitrogen,0.022,3.26,11732.154,0.743,3.73,Ordnr,Carbon,1
167_1_28_2025 6_42_26 PM_088,INT7 - 1,167,167,8.074,1.98,200.704,0.031,0.38,Ordnr,Nitrogen,0.021,3.3,9336.45,0.585,7.24,Ordnr,Carbon,1
307_1_28_2025 6_48_28 PM_089,INT7 - 1,307,307,20.102,1.98,77.675,0.012,0.06,Ordnr,Nitrogen,0.029,3.36,2721.818,0.162,0.81,Ordnr,Carbon,1
158_1_28_2025 6_54_29 PM_090,INT7 - 1,158,158,8.01,1.98,247.053,0.038,0.47,Ordnr,Nitrogen,0.023,3.28,10827.935,0.683,8.52,Ordnr,Carbon,1
286_1_28_2025 7_00_30 PM_091,INT7 - 1,286,286,8.091,1.98,118.992,0.018,0.23,Ordnr,Nitrogen,0.019,3.32,6320.188,0.39,4.82,Ordnr,Carbon,1
197_1_28_2025 7_06_31 PM_092,INT7 - 1,197,197,7.998,1.98,68.978,0.011,0.14,Ordnr,Nitrogen,0.017,3.34,4003.743,0.243,3.03,Ordnr,Carbon,1
329_1_28_2025 7_12_32 PM_093,INT7 - 1,329,329,7.927,1.98,32.616,0.005,0.07,Ordnr,Nitrogen,0.024,3.38,1365.829,0.078,0.98,Ordnr,Carbon,1
239_1_28_2025 7_18_34 PM_094,INT7 - 1,239,239,7.923,1.96,323.704,0.05,0.63,Ordnr,Nitrogen,0.018,3.18,18479.062,1.202,15.18,Ordnr,Carbon,1
176_1_28_2025 7_24_35 PM_095,INT7 - 1,176,176,8.154,1.98,250.233,0.038,0.47,Ordnr,Nitrogen,0.018,3.22,14294.538,0.915,11.22,Ordnr,Carbon,1
BRS8_1_28_2025 7_30_36 PM_096,INT7 - 1,BRS8,BRS8,16.828,2,213.472,0.033,0.2,Ordnr,Nitrogen,0.024,3.32,8873.731,0.555,3.3,Ordnr,Carbon,1
